Actual,xgboost,linear,l1,l2,poly2,poly3,regtree,forest
2363.0,2304.753,2182.6725485796887,2172.864117665824,2156.4326303477774,2451.6145694297156,2315.198362927884,2304.75,2302.7905555555562
2965.0,3130.6575,3233.9850624552146,3233.4126707741143,3225.2760525182093,3107.7334620024194,3163.9094241671264,3130.6666666666665,3136.7037864357867
2872.0,2959.0002,3109.9365448832286,3114.3412208484624,3117.406074593002,2946.738740663568,2955.284751433879,2959.0,2958.1000637695643
5392.0,5482.7476,5212.561572634284,5235.438327065045,5255.092918933868,5375.021453798719,5497.725693572313,5482.75,5483.009862443111
5525.0,5482.7476,5212.561572634284,5235.438327065045,5255.092918933868,5375.021453798719,5497.725693572313,5482.75,5483.009862443111
2384.0,2419.0022,2609.958291157909,2682.4051974315316,2733.91080289216,2271.7358740473574,2427.2248356230557,2419.0,2428.9327355699847
1983.0,1995.2214,2378.685039008984,2324.4838530007382,2313.766588381699,1939.1577546912013,2002.3517473451793,1995.2222222222222,1993.5103493867248
2682.0,2719.5137,2573.216966067579,2554.414932971331,2555.4942767283874,2700.400827333273,2712.0140721686184,2719.5,2715.79361904762
2252.0,2287.6738,2109.584967915809,2083.6763813800117,2075.007554605774,2244.645338606293,2179.6574489809573,2287.6666666666665,2289.0109296536803
2512.0,2584.4268,2494.3216650834456,2503.444525216135,2523.8386956369304,2660.541310486122,2741.871876399964,2584.5,2604.9345396825393
3210.0,3195.22,3298.6607516215718,3382.4896293496713,3408.9032575902347,3298.9337326232635,3195.2222288437188,3195.222222222222,3193.4449652175313
5414.0,5482.7476,5212.561572634284,5235.438327065045,5255.092918933868,5375.021453798719,5497.725693572313,5482.75,5483.009862443111
2264.0,2151.9468,2030.6896669316757,2032.7059736248157,2043.3519735143173,2122.484713874379,2228.210561621934,2287.6666666666665,2421.3625202020207
1578.0,1614.8009,1451.421042705444,1383.0067498180997,1352.7931441364744,1632.9454780915403,1610.3988055996597,1614.8,1612.5746439393943
