Actual,xgboost,linear,l1,l2,poly2,poly3,regtree,forest
2363.0,2306.0056,2176.5369991244906,2169.050759211329,2149.4455632778927,2353.7809438824042,2336.8544084674213,2306.0,2313.293892857143
2965.0,3104.199,3249.0793326651537,3251.100958115713,3241.5452137223956,3109.29722021865,3103.929497545818,3104.2,3104.7663412698416
2872.0,2954.5706,3067.86382321357,3070.815730918789,3074.6373496036476,2952.9055695813004,2959.4330435900483,2954.5714285714284,2956.060650571651
5392.0,5510.3345,5212.948490294896,5234.916128727556,5258.8366504926535,5397.938015022024,5544.609974337975,5510.333333333333,5508.769784271284
5525.0,5510.3345,5212.948490294896,5234.916128727556,5258.8366504926535,5397.938015022024,5544.609974337975,5510.333333333333,5508.769784271284
2384.0,2419.0005,2642.173062133602,2712.4361168780188,2781.316992256043,2379.4357478914026,2434.0068854375277,2419.0,2419.507392857143
1983.0,1999.1422,2334.1759175394936,2280.730362164445,2264.950630403441,1915.3394347776339,2002.7118549181614,1999.142857142857,1996.9565179265182
2682.0,2718.0046,2561.5764812490734,2543.1189837230186,2545.7761541362916,2672.8867317130207,2701.593789251754,2718.0,2706.177166666667
2252.0,2274.0022,2115.9130692045355,2092.2364978692885,2083.180260973414,2168.1481297383143,2188.378085186938,2274.0,2277.551559523809
2512.0,2577.9805,2488.174489836546,2496.583239521232,2523.1338113297415,2676.8566137693124,2786.5413816554938,2578.0,2639.316666666666
3210.0,3157.0012,3282.4863254305774,3363.4828696176182,3399.0858328344284,3270.1946115435276,3156.9999987429474,3157.0,3162.7952882395375
5414.0,5510.3345,5212.948490294896,5234.916128727556,5258.8366504926535,5397.938015022024,5544.609974337975,5510.333333333333,5508.769784271284
2264.0,2176.11,2042.511077792008,2045.7007536675019,2060.537918166864,2083.642155156471,2198.7318178585265,2355.0,2356.4982499999996
1578.0,1603.996,1442.8490934504161,1378.965390456985,1339.7588440776863,1594.7035126433038,1605.3231432905886,1604.0,1604.2979166666669
2253.0,2306.0056,2176.5369991244906,2169.050759211329,2149.4455632778927,2353.7809438824042,2336.8544084674213,2306.0,2313.293892857143
3693.0,3734.0012,3606.901877635207,3660.7368327872655,3729.151121388347,3806.4040773982706,3750.568259416381,3734.0,3737.9622619047614
5083.0,5002.199,4901.310999582837,4907.3836484176545,4885.148402440806,4895.570022961445,5018.9619600831065,5002.2,5000.115657675659
1495.0,1603.996,1442.8490934504161,1378.965390456985,1339.7588440776863,1594.7035126433038,1605.3231432905886,1604.0,1604.2979166666669
1883.0,1851.4905,1815.1105140824284,1783.3121321089284,1779.7123944340137,1938.7869208562915,1811.8104289940093,1851.5,1847.9816666666666
3292.0,3313.3345,3234.6404570031946,3256.390091135322,3289.1975710320203,3303.2726562971657,3342.7977441160474,3313.3333333333335,3313.3413444333446
1908.0,1851.4905,1815.1105140824284,1783.3121321089284,1779.7123944340137,1938.7869208562915,1811.8104289940093,1851.5,1847.9816666666666
3062.0,2977.6672,2933.8379018810874,2947.465725374962,2985.729704492619,3011.3930769961735,2956.8780699654017,2977.6666666666665,2975.3365854700846
2059.0,1999.1422,2334.1759175394936,2280.730362164445,2264.950630403441,1915.3394347776339,2002.7118549181614,1999.142857142857,1996.9565179265182
3946.0,4011.5208,3694.7427447096916,3701.983443969443,3704.141106885273,3920.414906224949,4136.019569551805,4011.5,4054.3149761904765
4736.0,3904.9983,4767.267199632533,4781.395074323458,4790.36955433221,4392.037374614243,3785.004150390625,3905.0,4093.216871794872
3790.0,3706.8599,3517.4111838989647,3598.005320281165,3696.1434039240157,3941.277373890378,3408.0023193359375,3746.5,3775.5160753968253
3653.0,3767.3005,3814.9140975243317,3874.0527208787043,3901.6854636669123,3692.2443074480107,3827.9560546875,3767.3,3766.3021761449345
5116.0,4998.7485,4916.018656445216,4919.418774622229,4893.140584203658,4902.899619901,5071.1746826171875,4998.75,5002.757003968255
2354.0,2378.2524,2688.94885662273,2727.599100432937,2774.3224754361345,2452.0028665703576,2434.8731689453125,2378.25,2378.0216017316015
2277.0,2334.668,2171.143616072828,2164.086617788693,2142.7066645968334,2370.8031342008326,2476.6416015625,2334.6666666666665,2334.424476190476
5449.0,5427.9976,5511.110972083898,5467.047206692543,5406.795658518387,5507.875177894108,5693.120849609375,6119.0,5687.410053571429
3643.0,3746.5144,3589.755644699191,3642.975449139645,3717.24124795233,3822.706926799423,3683.2100830078125,3746.5,3750.1515952380946
3343.0,3329.8643,3284.0411722614117,3275.2275325032515,3287.9775497508635,3385.4372351047787,3356.256591796875,3303.0,3311.109285714286
3421.0,3097.0012,3171.659250033339,3198.9266300209183,3209.710572307158,3054.806490885312,3062.233642578125,3097.0,3094.7176190476193
5037.0,5499.0,5438.766511283671,5422.077077834063,5385.697814490071,5582.274020146753,5440.6527099609375,5499.0,5493.093072281477
2236.0,2339.9976,2098.7991552726016,2119.1164889302127,2121.608820568519,2239.9035045908677,2341.123779296875,2340.0,2338.0876904761903
4983.0,4998.7485,4916.018656445216,4919.418774622229,4893.140584203658,4902.899619901,5071.1746826171875,4998.75,5002.757003968255
2248.0,2290.7495,2167.0810808605966,2116.0031752068835,2082.1313227820156,2320.1216988199158,2282.1605224609375,2290.75,2288.9778452380956
2816.0,2776.1672,2549.202549310832,2576.8046632835667,2593.068206826616,2736.012998154896,2759.984375,2776.1666666666665,2776.2972319624823
3744.0,3736.6665,3662.100105499416,3687.945577998127,3738.339091980646,3766.1468706388987,3769.7623291015625,3736.6666666666665,3736.6580952380955
1814.0,1755.0033,1878.5833167360142,1827.1850377587452,1798.1060243010488,1892.7048190850037,1819.5616455078125,1755.0,1773.0951666666663
5681.0,5464.001,5217.670593670764,5239.083248676814,5261.828940590309,5391.273778238101,5483.6524658203125,5464.0,5465.075731929836
3020.0,2941.5,3071.9504041492874,3079.4629664954027,3085.625437113029,2940.2807876461447,2905.8385009765625,2941.5,2940.3809467893216
3985.0,3991.9968,3694.407104871794,3701.5849332327525,3702.267802593571,3880.484427785137,4066.580810546875,3992.0,4014.9576666666667
2315.0,2266.67,2094.73662006037,2071.0330463484033,2061.0334787537013,2176.591256947635,2150.2813720703125,2266.6666666666665,2266.3306666666667
2885.0,2941.5,3071.9504041492874,3079.4629664954027,3085.625437113029,2940.2807876461447,2905.8385009765625,2941.5,2940.3809467893216
5302.0,6118.921,5290.015054470989,5284.053377535294,5282.926784618623,5143.474575456668,5972.7760009765625,6119.0,5676.389561688312
3169.0,3063.3997,3244.0037108335655,3243.8967588793985,3230.8084163354742,3053.1729018036713,3107.762939453125,3063.4,3065.07288003663
3002.0,2936.001,3053.901128823991,3059.171002281647,3060.819444903572,2930.4998789848178,2688.8154296875,2936.0,2934.5348118548113
5337.0,5419.716,5415.017126474289,5396.399751708984,5349.48991147421,5580.76730794413,5539.40087890625,5419.714285714285,5421.2707169219675
2381.0,2417.9995,2654.8586680081607,2726.5071446283937,2807.825307951476,2224.414718200045,2162.160888671875,2418.0,2415.0192380952385
1573.0,1584.0023,1453.0452359917836,1397.4238497626238,1361.1286134594202,1615.0734089288744,1391.134765625,1584.0,1582.5188095238095
3122.0,3048.7556,3252.7075395230295,3257.9297937524652,3252.0705620077033,3112.957747626351,3577.53125,3048.75,3048.6999960317457
2355.0,2318.3184,2276.8542047390583,2249.4285611017067,2195.579626404401,2603.4302704372676,2441.181884765625,2264.0,2342.0890595238097
2702.0,2685.4673,2582.355720549889,2566.409132950196,2565.536317203844,2703.5220235760207,2838.516357421875,2685.5,2666.4446666666668
4085.0,4192.7944,4216.26153895123,4200.435455152027,4181.8963101719555,4437.519769418053,4509.843017578125,4192.8,4191.818097402599
3775.0,3732.4448,3784.456559899634,3844.7941035109206,3862.977493016012,3667.924588935217,3830.702392578125,3732.4444444444443,3726.50551029818
1852.0,1880.9965,1794.9419291984304,1769.1042652976894,1777.602040292736,1906.8129676832468,2074.08544921875,1881.0,1880.378928571429
1893.0,1805.5847,1981.4490045416987,1901.8674855173094,1842.1879699578158,1820.7334618486348,1862.930419921875,1814.0,1865.9092937340438
2682.0,2826.335,2525.497360274074,2554.7273665269613,2579.760088405177,2692.043588543136,2688.949462890625,2826.3333333333335,2812.4114213564217
4915.0,5038.749,4886.613357924371,4891.956115954296,4868.430554975815,4846.775466857594,4570.569580078125,5038.75,5013.641785714285
5533.0,5419.716,5415.017126474289,5396.399751708984,5349.48991147421,5580.76730794413,5539.40087890625,5419.714285714285,5421.2707169219675
7623.0,6841.289,6952.324155377308,6881.623789797236,6803.709365099868,6880.894874439342,6707.4501953125,6841.285714285715,6893.6966520701535
2734.0,2685.4673,2582.355720549889,2566.409132950196,2565.536317203844,2703.5220235760207,2838.516357421875,2685.5,2666.4446666666668
5720.0,5419.716,5415.017126474289,5396.399751708984,5349.48991147421,5580.76730794413,5539.40087890625,5419.714285714285,5421.2707169219675
4210.0,4092.0073,3781.1113080729483,3762.373429507151,3733.129918506099,3959.095235458808,3950.281005859375,4092.0,4088.387146825397
3959.0,3732.4448,3784.456559899634,3844.7941035109206,3862.977493016012,3667.924588935217,3830.702392578125,3732.4444444444443,3726.50551029818
4201.0,4192.7944,4216.26153895123,4200.435455152027,4181.8963101719555,4437.519769418053,4509.843017578125,4192.8,4191.818097402599
4137.0,4192.7944,4216.26153895123,4200.435455152027,4181.8963101719555,4437.519769418053,4509.843017578125,4192.8,4191.818097402599
2727.0,2708.0576,2675.6092582215224,2632.7907430600053,2597.829282036384,2667.2293861688813,3208.821533203125,2708.0,2691.856166666667
4131.0,4091.378,4850.218180528551,4837.2562722677185,4821.913818941942,4357.102099665615,4445.222900390625,4091.3333333333335,4111.359380952381
3014.0,2985.6628,2924.252413756536,2938.08954848526,2982.00974403716,3007.446005006437,2794.63134765625,2985.6666666666665,2985.643078421579
1954.0,2016.9994,2364.702710127758,2311.4628005150917,2307.51479807529,1963.009285751934,2001.3394775390625,2017.0,2016.9656201576204
3360.0,3280.0142,3263.346157756452,3283.7731794918436,3295.8647534531992,3338.6471472029807,3337.21875,3280.0,3292.0491190476196
2256.0,2293.9888,2259.0926242445094,2211.8462070641617,2155.503676828722,2332.073968358949,2282.042205810547,2294.0,2292.7863650793647
3801.0,3740.2239,3818.2392002600627,3888.668437184726,3902.863552901983,3662.7755571035377,3746.1597290039062,3740.222222222222,3736.7618353751504
7836.0,6820.835,6891.851732663976,6811.050089346474,6736.97812702012,6860.00065449535,6799.619293212891,6820.833333333333,6810.951517316014
6212.0,7262.9673,6786.216707868834,6733.035124711729,6699.181004439781,7027.996073032642,7348.855285644531,7263.0,6996.800828282827
3286.0,3280.0142,3263.346157756452,3283.7731794918436,3295.8647534531992,3338.6471472029807,3337.21875,3280.0,3292.0491190476196
5361.0,5481.0005,5139.335352848411,5151.651436658391,5187.720163538104,5320.537139466178,5506.90771484375,5481.0,5477.727017982019
1963.0,2016.9994,2364.702710127758,2311.4628005150917,2307.51479807529,1963.009285751934,2001.3394775390625,2017.0,2016.9656201576204
2273.0,2293.9888,2259.0926242445094,2211.8462070641617,2155.503676828722,2332.073968358949,2282.042205810547,2294.0,2292.7863650793647
2934.0,2998.9956,2928.578353977873,2940.865274560072,2991.887060355859,3021.793704654585,2971.7755737304688,2999.0,2999.561015873016
6751.0,6820.835,6891.851732663976,6811.050089346474,6736.97812702012,6860.00065449535,6799.619293212891,6820.833333333333,6810.951517316014
3008.0,3077.2498,3234.647374697508,3240.8095309887467,3234.4770408255554,3107.224448127672,3144.466827392578,3077.25,3062.557995670995
3863.0,3740.2239,3818.2392002600627,3888.668437184726,3902.863552901983,3662.7755571035377,3746.1597290039062,3740.222222222222,3736.7618353751504
8097.0,7262.9673,6786.216707868834,6733.035124711729,6699.181004439781,7027.996073032642,7348.855285644531,7263.0,6996.800828282827
4973.0,5024.24,4861.850064402623,4868.327282565526,4845.033464326974,4857.303364225605,5052.188385009766,5024.25,5029.647309523811
5665.0,5481.0005,5139.335352848411,5151.651436658391,5187.720163538104,5320.537139466178,5506.90771484375,5481.0,5477.727017982019
2904.0,2950.0034,3091.4709551939104,3100.065618849909,3105.1891754886365,2939.6455600739573,2960.5487365722656,2950.0,2948.0556909756906
2847.0,2771.0156,2545.4580407369394,2579.526155832462,2611.4032385643914,2733.2058058054827,2780.600616455078,2771.0,2773.996832695083
2702.0,2727.1184,2699.4705139063353,2654.370705446865,2611.4924911726303,2694.394722578756,2914.1522521972656,2727.0,2722.7023333333327
3085.0,3198.2466,3272.2262858030936,3368.128974167279,3409.077615977736,3316.3890656975273,3161.7072143554688,3198.25,3198.902710317461
3354.0,3559.4578,3157.711132961309,3205.7582148570964,3258.06763087286,3256.3230455757584,3393.347198486328,3559.5,3547.2243333333336
2591.0,2512.1658,2488.200464316049,2498.3407761773706,2535.8982460119523,2668.4599731780763,2744.637237548828,2512.0,2618.6290476190475
3122.0,3198.2466,3272.2262858030936,3368.128974167279,3409.077615977736,3316.3890656975273,3161.7072143554688,3198.25,3198.902710317461
3661.0,4047.6702,4893.50605896747,4877.257452376043,4854.826420065929,4395.220512765583,4072.55859375,4047.6666666666665,4087.1415873015862
2920.0,2878.004,3125.762262978571,3103.534601349642,3086.6434209884264,2953.4382531027804,2677.2802734375,2878.0,2902.6130388222887
2309.0,2323.9978,2146.314571612753,2135.3484502086158,2112.2629402541434,2331.9511649403867,2064.75146484375,2324.0,2336.9881666666665
4286.0,4047.6702,4893.50605896747,4877.257452376043,4854.826420065929,4395.220512765583,4072.55859375,4047.6666666666665,4087.1415873015862
2860.0,2781.9998,2523.6419490320204,2549.1767160099425,2567.239358492954,2719.1927649879945,2577.5732421875,2782.0,2780.701829365079
2340.0,2236.012,2071.383592770324,2088.505243695825,2090.787058835256,2204.4770680924266,1900.98681640625,2236.0,2261.9278333333336
2890.0,2965.5063,3009.125922255358,2997.5562518590523,3010.0462416988103,2949.589764682627,2726.34033203125,2965.5,2971.929758297258
2885.0,2781.9998,2523.6419490320204,2549.1767160099425,2567.239358492954,2719.1927649879945,2577.5732421875,2782.0,2780.701829365079
2111.0,1990.6249,2329.710246902274,2284.238864210898,2251.059910636932,1923.0983249613419,2143.69921875,1990.625,1991.1414505772004
4400.0,4403.9995,4160.832360261442,4173.8885565071105,4187.485188937138,4435.976364686314,4542.97412109375,4404.0,4321.683944444445
4146.0,4177.2837,4235.763339103869,4220.731763019901,4208.9610703560265,4340.693061386308,4748.37353515625,4177.285714285715,4182.3391858419345
