Actual,xgboost,linear,l1,l2,poly2,poly3,regtree,forest
2363.0,2304.769,2214.2301604853346,2205.5822262762485,2182.506075101265,2416.5306435396487,2312.301802866161,2304.75,2304.1916507936508
2965.0,3130.6533,3230.059434882658,3228.6103301560997,3219.014202978631,3139.238053072011,3168.8002378977835,3130.6666666666665,3123.9162999500522
2872.0,2954.5762,3113.233103453864,3117.367122121488,3121.662411465706,2956.9720164535684,2950.9860046245158,2954.5714285714284,2954.801519119769
5392.0,5510.3286,5144.891652248511,5163.4233298811905,5194.678667220438,5281.819923591829,5514.832867380232,5510.333333333333,5511.554954545453
5525.0,5510.3286,5144.891652248511,5163.4233298811905,5194.678667220438,5281.819923591829,5514.832867380232,5510.333333333333,5511.554954545453
2384.0,2419.0024,2572.2374655753483,2640.4906497147767,2713.871573837383,2289.0913631912845,2427.2828354872763,2419.0,2425.069661782661
1983.0,1999.1451,2390.0670838425503,2339.549569939356,2324.742970463295,1921.8389226817235,2005.0595681257546,1999.142857142857,1996.4677879897893
2682.0,2719.484,2576.076188386409,2559.4836588256712,2557.8004343336615,2690.6957112042874,2708.8802531324327,2719.5,2714.513059523809
2252.0,2287.676,2126.5747169021433,2103.5912109030523,2088.2222661514406,2227.341586067254,2188.6012976057827,2287.6666666666665,2285.5750238095234
2512.0,2584.5396,2481.1522747089493,2490.0201098270663,2519.3072721503386,2663.8118194743,2741.3291941657662,2584.5,2607.5314126984126
3210.0,3195.2214,3291.973737903454,3369.8286773823984,3410.510522102575,3280.146040847001,3195.222220849246,3195.222222222222,3187.465103354979
5414.0,5510.3286,5144.891652248511,5163.4233298811905,5194.678667220438,5281.819923591829,5514.832867380232,5510.333333333333,5511.554954545453
2264.0,2182.2092,2031.6508032246838,2034.1276619044456,2049.7291039681177,2100.516843273508,2241.4776991792023,2287.6666666666665,2366.239011904762
1578.0,1614.7949,1491.0641408740212,1427.7646740941145,1385.5866340988541,1631.3932102957042,1610.8600578904152,1614.8,1617.0285530303029
2253.0,2304.769,2214.2301604853346,2205.5822262762485,2182.506075101265,2416.5306435396487,2312.301802866161,2304.75,2304.1916507936508
3693.0,3734.0508,3566.164322221335,3621.7390945586194,3691.521072385147,3830.8715439272055,3808.316506911069,3734.0,3739.235849206348
5083.0,4957.497,4877.969538024898,4878.9854463303745,4857.877470171365,4866.3528517647355,4976.279825095087,4957.5,4960.504480158729
1495.0,1614.7949,1491.0641408740212,1427.7646740941145,1385.5866340988541,1631.3932102957042,1610.8600578904152,1614.8,1617.0285530303029
1883.0,1847.996,1845.6416986808272,1814.1935730181303,1816.671640097752,1887.9633468819375,1791.7343660257757,1848.0,1849.5328531746034
3292.0,3313.3503,3211.586764414529,3235.3101956346054,3260.436066386248,3322.650789570558,3302.5687902383506,3313.3333333333335,3314.154085359085
1908.0,1847.996,1845.6416986808272,1814.1935730181303,1816.671640097752,1887.9633468819375,1791.7343660257757,1848.0,1849.5328531746034
3062.0,2977.6543,2930.653746193215,2945.912557749685,2988.8854403325586,3019.016368740122,2957.880908295512,2977.6666666666665,2971.4235050505044
2059.0,1999.1451,2390.0670838425503,2339.549569939356,2324.742970463295,1921.8389226817235,2005.0595681257546,1999.142857142857,1996.4677879897893
3946.0,4025.0813,3679.5609063669235,3684.5027780787186,3688.592371160852,3935.182868131844,4135.857033859938,4025.0,4018.7716666666656
4736.0,3980.4888,4689.97277872124,4702.089451291746,4722.595147745014,4205.293148966375,3757.6306762695312,3980.5,3969.817000000001
3790.0,3690.8936,3457.6199466138787,3541.5732074690295,3649.8967949833404,3862.8855796420394,3371.5027465820312,3746.5,3737.185182539681
3653.0,3767.2996,3840.6054838239033,3898.3042034350165,3919.4002115619696,3670.5373810271994,3793.0488891601562,3767.3,3768.8843647439166
5116.0,4945.7964,4881.465547326254,4880.454949274739,4857.346856034328,4841.233110336834,5005.01318359375,4945.8,4945.7028401875905
2354.0,2394.202,2667.7397583340953,2709.3627341172923,2751.9156495329007,2508.900025185794,2468.984130859375,2394.2,2395.8345566378066
2277.0,2311.6267,2215.214704668364,2206.710595312912,2181.0648913579453,2412.9062470066856,2355.1175537109375,2311.6,2313.748174963925
5449.0,5619.897,5539.296331556814,5491.955025858993,5411.907040026823,5468.944768736183,5785.90576171875,6119.0,5830.992553751803
3643.0,3746.5227,3562.7762226501454,3619.7311434323838,3692.12463949025,3842.715905348028,3702.0845947265625,3746.5,3745.825182539681
3343.0,3362.6501,3325.5705425646556,3320.8628107015447,3306.4758335253955,3365.6804932305095,3357.595458984375,3310.285714285714,3310.5510288600285
3421.0,3096.9976,3123.6783495795207,3148.6499850102027,3174.549927555232,2927.1806994623767,3089.6420288085938,3097.0,3095.6732380952376
5037.0,5499.0005,5434.140055520547,5413.797089895639,5369.679195519913,5609.382508702212,5468.372985839844,5499.0,5489.404027459382
2236.0,2294.997,2110.0584286320955,2128.552659349558,2138.8370468510348,2252.1129757206218,2292.5381469726562,2295.0,2297.3110238095237
4983.0,4945.7964,4881.465547326254,4880.454949274739,4857.346856034328,4841.233110336834,5005.01318359375,4945.8,4945.7028401875905
2248.0,2290.7495,2234.034488135885,2184.660969256629,2130.76887208245,2338.073814421179,2262.7521362304688,2290.75,2290.8468809523806
2816.0,2791.4473,2557.5766607901205,2583.7368640071054,2608.9415418297103,2733.5355254278256,2796.5704345703125,2791.4444444444443,2794.8477977553493
3744.0,3736.666,3667.932498686414,3697.889079395738,3734.3524839971597,3791.490692524545,3753.0776977539062,3736.6666666666665,3735.2872976190474
1814.0,1755.043,1932.378621986898,1880.6696011634467,1853.043056089943,1878.495784604209,1783.1619262695312,1755.0,1769.7583809523812
5681.0,5464.0103,5137.491010879265,5157.273655949291,5192.699642723688,5280.207821905657,5515.9532470703125,5464.0,5463.7033826035085
3020.0,2941.5027,3110.251168984414,3117.0790046280035,3121.2738813152937,2955.48847933831,2956.9451293945312,2941.5,2939.8037730880233
3985.0,4012.0273,3676.3528577738143,3681.992125631101,3686.8822670408153,3904.255356188587,4145.673156738281,4012.0,4029.946761904761
2315.0,2266.6765,2128.8782120996184,2106.5030332932747,2088.5410275755403,2231.0619462510076,2146.1917724609375,2266.6666666666665,2266.804932539682
2885.0,2941.5027,3110.251168984414,3117.0790046280035,3121.2738813152937,2955.48847933831,2956.9451293945312,2941.5,2939.8037730880233
5302.0,6118.8203,5242.647286915531,5235.431591912646,5234.927487230598,5179.155294412238,6025.33056640625,6119.0,5818.012409437786
3169.0,3096.6653,3228.8346256157874,3226.807920973557,3216.7777720621416,3085.8258992221818,3081.673828125,3096.6666666666665,3105.1457062104573
3002.0,2936.0034,3094.715210019878,3100.2342398937762,3102.8473329438175,2950.717084706659,2934.7697143554688,2936.0,2934.064642718394
5337.0,5419.7085,5401.506842917719,5379.544969431823,5342.200903215744,5598.286571631514,5344.682067871094,5419.714285714285,5428.402866383616
2381.0,2419.7485,2623.822494211401,2690.7836819046643,2748.7939648512984,2282.088168471717,2435.3404541015625,2419.75,2428.416819264069
1573.0,1595.6726,1478.327572791908,1416.7362818433376,1386.4806016672646,1609.819140748441,1617.4296875,1595.6666666666667,1595.38127020202
3122.0,3104.4985,3241.9597710415364,3239.0648959079554,3228.5157903158533,3137.9125990164175,3140.7822265625,3104.5,3093.870481962482
2355.0,2313.416,2287.1795670218035,2252.4048818489864,2210.3545641673354,2522.695386587351,2505.804443359375,2305.8333333333335,2307.1984985569984
2702.0,2707.9436,2575.6878735043592,2558.18401198024,2559.119045447648,2684.7472183383215,2712.4346923828125,2708.0,2710.6181785714284
4085.0,4192.869,4210.622105377835,4194.24005539787,4181.32239615917,4461.282602886771,4207.934753417969,4192.8,4194.94310894661
3775.0,3732.4417,3823.0038585806597,3882.229939176863,3896.56437691047,3636.359422005582,3777.5859375,3732.4444444444443,3735.155436089238
1852.0,1863.1608,1841.8137214563885,1813.8145105044496,1817.6485267887965,1892.160159402818,1825.4591674804688,1863.1666666666667,1858.5091937229438
1893.0,1769.6113,2002.9404127946145,1921.1603119495776,1877.9623638556313,1822.546192475449,1661.7445068359375,1774.6666666666667,1785.1636998556992
2682.0,2806.3418,2570.10237001717,2595.810209787536,2611.36557075545,2739.691686779319,2799.5785522460938,2806.3333333333335,2806.5652085553343
4915.0,4985.4917,4876.894002915013,4875.120939325585,4850.719141027375,4873.851314080894,5079.494201660156,4985.5,4986.358770451771
5533.0,5419.7085,5401.506842917719,5379.544969431823,5342.200903215744,5598.286571631514,5344.682067871094,5419.714285714285,5428.402866383616
7623.0,6841.285,6899.4464815856645,6823.187098964223,6757.680510987597,6867.38860228665,6854.1019287109375,6841.285714285715,6834.245532217781
2734.0,2707.9436,2575.6878735043592,2558.18401198024,2559.119045447648,2684.7472183383215,2712.4346923828125,2708.0,2710.6181785714284
5720.0,5419.7085,5401.506842917719,5379.544969431823,5342.200903215744,5598.286571631514,5344.682067871094,5419.714285714285,5428.402866383616
4210.0,4091.946,3766.572611044243,3743.4889260141936,3719.997552504221,3941.603907102399,4039.4636840820312,4092.0,4096.809738095238
