Actual,xgboost,linear,svm,l1,l2,poly2,poly3,regtree,forest
5357.0,5472.613,5434.546818995717,3126.154678776062,5411.380373007436,5363.582127145084,5622.249675633444,5537.655212402344,5472.625,5469.9965863997095
4915.0,4985.489,4884.417583235803,3122.7081228075117,4878.467800364522,4851.279290004535,4829.717673990817,4956.465759277344,4985.5,4984.802316600067
6105.0,7031.827,6918.146239520518,3126.819330723159,6834.302380888648,6762.340554850822,6942.519386658343,7019.207580566406,7031.833333333333,7095.341788961039
2354.0,2394.2188,2689.927650624777,3119.166530707888,2734.037273806398,2771.9184180087195,2500.2746028798865,2389.8547973632812,2394.2,2395.699526695526
3906.0,3771.118,3847.983320544894,3125.451457788873,3909.8833867218345,3920.2747027229434,3642.5274708586658,3733.8865356445312,3771.1111111111113,3772.0270591630588
3360.0,3302.0483,3240.056886384693,3122.690931085837,3266.9498464493136,3284.2212551492685,3305.9946887448314,3277.214599609375,3302.0,3301.045617826619
1579.0,1556.0001,1380.9612739321565,3118.1591679185035,1344.485439905995,1346.6724077255876,1535.949974840143,1574.5593872070312,1556.0,1563.8999523809523
3480.0,3771.118,3847.983320544894,3125.451457788873,3909.8833867218345,3920.2747027229434,3642.5274708586658,3733.8865356445312,3771.1111111111113,3772.0270591630588
4286.0,3844.5466,4804.036945072647,3123.049458565615,4784.169827347525,4767.129486429772,4267.515748659091,4037.3882446289062,3844.5,3850.9379285714276
3744.0,3736.6106,3687.2220442185844,3126.1339389803725,3721.287440687838,3751.975095573416,3792.3401921645564,3757.5958251953125,3736.6666666666665,3734.805809523809
2920.0,2878.0718,3216.0835719614515,3125.2652838728936,3199.3844751590223,3168.050890723016,2817.423689002797,2977.740234375,2878.0,2915.889800782552
1954.0,2010.2489,2378.2556675259602,3125.0711173136515,2331.7356067874334,2326.7290852902825,1933.275579961948,2031.6447143554688,2010.25,2011.0599102906892
7216.0,7031.827,6918.146239520518,3126.819330723159,6834.302380888648,6762.340554850822,6942.519386658343,7019.207580566406,7031.833333333333,7095.341788961039
3785.0,3717.3071,3584.257966292558,3126.1311516586115,3642.712462283447,3707.426098857015,3853.780519269989,3845.1204223632812,3717.0,3712.5061190476185
2578.0,2551.758,2482.6096201123564,3122.1557685914004,2493.59895109472,2527.0492532912995,2664.7669178237265,2742.262451171875,2551.5,2572.193257936508
2315.0,2269.7612,2138.408540204491,3118.6575257212307,2117.8363352605866,2103.8444095835557,2229.962883590182,2266.9197998046875,2269.75,2270.23292063492
2340.0,2260.3354,2115.8251004416215,3118.3334228691065,2133.5593298731965,2143.445216441917,2273.728299107446,2240.6339721679688,2260.3333333333335,2263.9167857142857
5390.0,5472.613,5434.546818995717,3126.154678776062,5411.380373007436,5363.582127145084,5622.249675633444,5537.655212402344,5472.625,5469.9965863997095
3693.0,3717.3071,3584.257966292558,3126.1311516586115,3642.712462283447,3707.426098857015,3853.780519269989,3845.1204223632812,3717.0,3712.5061190476185
1608.0,1589.8328,1483.925351858179,3118.161860268016,1423.0604183103842,1391.2214044419889,1629.104484133888,1568.8173828125,1589.8333333333333,1590.924992840493
4998.0,4951.03,4987.381661161828,3122.711125123301,4957.042778768911,4895.828286720936,4844.764569577572,4843.7264404296875,4951.0,4954.547928571428
3263.0,3080.9846,3236.3484438401883,3118.91787729574,3231.6957814910966,3221.4104312237705,3103.341423664766,3080.3679809570312,3081.0,3079.8569264069265
4736.0,3980.3796,4701.072867146622,3123.04649004663,4705.594848943134,4722.580489713369,4212.361746911265,3801.1177978515625,3980.5,3946.8228928571425
8097.0,6737.5083,6815.1821615944955,3126.8164894447787,6755.727402484259,6717.7915581344205,7005.441840023763,6728.254455566406,6737.5,6807.028785714285
2890.0,2965.472,3034.9951158217455,3211.381597189269,3021.953074941187,3034.7957903062297,2929.0544751127454,3167.3388671875,2965.5,2967.788880952382
1963.0,2019.664,2403.0924167071726,3210.805228871543,2349.580509551047,2325.0466505788945,1896.2145098522014,2010.317626953125,2019.6666666666667,2019.4224267121763
3257.0,3189.9973,3296.5129302395335,3206.999999995421,3376.119761002509,3416.685679660306,3266.5690233928326,3081.673583984375,3190.0,3191.469981291585
3286.0,3314.3472,3212.323363447794,3207.7509226899783,3234.698035404409,3275.24431602602,3303.142283688576,3305.837646484375,3314.3333333333335,3312.605166666667
5361.0,5503.9995,5219.39720080339,3212.297628211363,5237.835132796657,5247.634160746079,5400.547186797645,5605.627685546875,5504.0,5506.400552364303
3069.0,3012.6423,3097.096081729157,3211.384992052462,3057.3637378914764,3055.162454520467,2888.9997454600525,3305.178955078125,2965.5,2967.788880952382
4997.0,4951.3516,4962.169947479265,3207.7557281200807,4937.445048044513,4899.970889091271,4827.120073258178,4995.218994140625,4951.333333333333,4932.68119047619
3209.0,4190.0674,4702.721783407457,3208.1168013791707,4742.796864919449,4757.966882524298,4642.01747434905,4668.5859375,4232.333333333333,4214.8767777777775
2018.0,2019.664,2403.0924167071726,3210.805228871543,2349.580509551047,2325.0466505788945,1896.2145098522014,2010.317626953125,2019.6666666666667,2019.4224267121763
1908.0,1870.1956,1886.41699931124,3206.61159748912,1854.542241673841,1835.3793723571125,1932.5801369594992,1877.404541015625,1870.2,1869.8500508658008
3216.0,3265.4827,3192.5189226029006,3203.229158735343,3219.436328201896,3222.6990902589587,3114.259763640701,3154.559814453125,3265.5,3242.650338383839
3639.0,3771.6658,3666.8978149363165,3211.9401627242164,3694.3256403313253,3744.544930033565,3757.9952393011336,3770.684326171875,3771.6666666666665,3760.816238095239
4052.0,3989.6924,3709.1943399988313,3207.465711141784,3714.4745960791015,3712.3663684807407,3933.2963962690847,4325.07275390625,3989.6666666666665,4003.70119047619
2682.0,2719.4944,2580.4206643332227,3207.182267260663,2562.3254700142697,2565.495176298685,2690.527993103329,2689.966552734375,2719.5,2720.20625
2458.0,2373.4055,2695.6479460518613,3203.5076038527645,2739.6597675272014,2785.577037804239,2457.705487890067,2443.9521484375,2373.4,2373.4115952380957
1772.0,1870.1956,1886.41699931124,3206.61159748912,1854.542241673841,1835.3793723571125,1932.5801369594992,1877.404541015625,1870.2,1869.8500508658008
1666.0,1580.1691,1493.9435137301289,3202.435733405427,1430.3252996972124,1386.4454225638046,1596.1352604872081,1611.59716796875,1580.1666666666667,1578.2903388278385
1507.0,1580.0056,1431.842547822719,3202.4325704689504,1394.9146367469239,1366.0787583495685,1564.4003065096767,1607.8359375,1580.0,1582.0201666666671
1937.0,2019.664,2403.0924167071726,3210.805228871543,2349.580509551047,2325.0466505788945,1896.2145098522014,2010.317626953125,2019.6666666666667,2019.4224267121763
2512.0,2584.5642,2518.319698425811,3207.1787333678753,2526.9148070639803,2545.1285120844486,2697.508801788892,2816.644287109375,2584.5,2605.4535000000005
2248.0,2290.747,2187.9471787521115,3202.9665300065594,2138.108528037642,2116.561226505378,2336.8687278712314,2283.839599609375,2290.75,2287.120856060606
2965.0,3265.4827,3192.5189226029006,3203.229158735343,3219.436328201896,3222.6990902589587,3114.259763640701,3154.559814453125,3265.5,3242.650338383839
3811.0,3704.5112,3604.796849028905,3211.9368942391634,3658.914977381036,3724.178265819328,3803.691810649805,3643.611572265625,3704.5,3698.75303030303
4076.0,4104.1367,3833.3962718136545,3207.472772012334,3785.2959219796803,3753.099696909215,3913.546302136936,4349.132080078125,4104.0,4113.072972222222
2885.0,2779.7495,2548.3983455544912,3198.30550507683,2576.0142033285774,2602.4086760017162,2716.5419591112004,2737.968505859375,2779.75,2781.0330238927736
2916.0,2564.071,2650.880034188478,3198.3090288400035,2653.2136909395595,2645.007920003649,2794.1146935438737,2629.901123046875,2779.75,2781.0330238927736
2734.0,2707.9502,2577.7841351350053,3198.678171299402,2562.2018978593405,2557.272496633879,2700.0668117432506,2686.5511474609375,2708.0,2705.90569047619
2391.0,2386.8032,2685.809355811927,3195.5065524155593,2723.268871043885,2764.29057926506,2507.3055829243094,2424.5830078125,2386.8,2385.1223849206335
2878.0,2920.056,3195.825121526428,3201.9677436094694,3180.0107105144816,3151.3502640916267,2888.3975237047125,2974.9415283203125,2920.0,2933.253325396825
5602.0,5436.2217,5436.849589856964,3202.896552595046,5418.733813086381,5376.244631366408,5557.139614424785,5383.0732421875,5436.222222222223,5431.134522495478
4505.0,3917.9785,4921.2902920995275,3199.6112624022594,4878.12448804222,4824.766107910595,3989.634273579897,3245.871826171875,3932.8,3945.250083333333
6212.0,7679.999,6849.326162485166,3203.59099863221,6801.3816422076125,6757.443904550324,7429.229176838999,7553.3328857421875,7680.0,7601.177066378066
2363.0,2304.7515,2208.4166354845147,3194.6251365122807,2203.6161589756157,2181.2648199176056,2427.6876753146935,2353.4127197265625,2304.75,2304.2696904761906
4973.0,4974.3926,4891.9045025190135,3199.2413714485438,4891.936793511457,4869.90228727843,4909.321377667977,4967.3616943359375,4974.4,4979.521603174604
2288.0,2276.5273,2135.32073643104,3194.9698940492535,2112.6043658953986,2093.529396547836,2230.629685894877,2118.6024169921875,2276.5,2276.29602958153
4983.0,4974.3926,4891.9045025190135,3199.2413714485438,4891.936793511457,4869.90228727843,4909.321377667977,4967.3616943359375,4974.4,4979.521603174604
5681.0,5448.672,5158.790313535517,3203.244323572417,5173.323044784202,5203.310719992769,5290.752154991991,5498.7943115234375,5448.666666666667,5451.704126762125
2885.0,2952.7122,3093.3434328924413,3201.9641670886313,3102.811222903503,3108.7510200896922,2942.8084021304676,2861.6890869140625,2952.714285714286,2950.937713564213
2816.0,2779.7495,2548.3983455544912,3198.30550507683,2576.0142033285774,2602.4086760017162,2716.5419591112004,2737.968505859375,2779.75,2781.0330238927736
2253.0,2304.7515,2208.4166354845147,3194.6251365122807,2203.6161589756157,2181.2648199176056,2427.6876753146935,2353.4127197265625,2304.75,2304.2696904761906
5355.0,5448.672,5158.790313535517,3203.244323572417,5173.323044784202,5203.310719992769,5290.752154991991,5498.7943115234375,5448.666666666667,5451.704126762125
2273.0,2284.4934,2237.802425065027,3194.9733555307143,2189.803853506379,2136.1286405497685,2317.5315127432114,2272.4677734375,2284.5,2282.6492698412694
3696.0,3748.2502,3819.409639960788,3202.1580718702457,3881.687008743189,3909.8468701786205,3652.4001920317532,3864.635986328125,3748.25,3752.717747779997
2236.0,2295.0005,2105.934946850528,3194.621936198992,2126.4166713646337,2138.665575915672,2257.2984262815735,2296.512939453125,2295.0,2296.3113333333336
3959.0,3748.2502,3819.409639960788,3202.1580718702457,3881.687008743189,3909.8468701786205,3652.4001920317532,3864.635986328125,3748.25,3752.717747779997
5665.0,5448.672,5158.790313535517,3203.244323572417,5173.323044784202,5203.310719992769,5290.752154991991,5498.7943115234375,5448.666666666667,5451.704126762125
3685.0,3748.2502,3819.409639960788,3202.1580718702457,3881.687008743189,3909.8468701786205,3652.4001920317532,3864.635986328125,3748.25,3752.717747779997
2702.0,2707.9502,2577.7841351350053,3198.678171299402,2562.2018978593405,2557.272496633879,2700.0668117432506,2686.5511474609375,2708.0,2705.90569047619
7836.0,6810.8564,6878.265497801323,3192.1910830908027,6803.591687079295,6742.425649750987,6828.236286647065,6873.374755859375,6810.857142857143,6805.780471667227
