Essay,Biogas,Temperature,Manure,Ratio,pH,OLR
M2R0,1954,40,2,0,7.5,2
M2R0,2111,40,2,0,7.5,2
M2R0,,40,2,0,7.5,2
M2R0,2018,40,2,0,7.5,2
M2R0,1963,40,2,0,7.5,2
M2R0,1983,40,2,0,7.5,2
M2R0,2002,40,2,0,7.5,2
M2R0,1943,40,2,0,7.4,2
M2R0,1937,40,2,0,7.5,2
M2R0,2009,40,2,0,7.5,2
M2R0,2059,40,2,0,7.5,2
M2R0.25,3002,40,2,0.25,7.5,2.5
M2R0.25,2904,40,2,0.25,7.5,2.5
M2R0.25,3020,40,2,0.25,7.5,2.5
M2R0.25,2872,40,2,0.25,7.5,2.5
M2R0.25,2934,40,2,0.25,7.4,2.5
M2R0.25,2922,40,2,0.25,7.5,2.5
M2R0.25,2885,40,2,0.25,7.5,2.5
M2R0.25,2990,40,2,0.25,7.5,2.5
M2R0.25,2959,40,2,0.25,7.5,2.5
M2R0.25,2878,40,2,0.25,7.6,2.5
M2R0.25,2920,40,2,0.25,7.6,2.5
M2R0.5,3480,40,2,0.5,7.5,3
M2R0.5,3906,40,2,0.5,7.5,3
M2R0.5,3863,40,2,0.5,7.5,3
M2R0.5,3801,40,2,0.5,7.5,3
M2R0.5,3696,40,2,0.5,7.5,3
M2R0.5,3772,40,2,0.5,7.5,3
M2R0.5,3736,40,2,0.5,7.5,3
M2R0.5,3685,40,2,0.5,7.5,3
M2R0.5,3653,40,2,0.5,7.5,3
M2R0.5,3775,40,2,0.5,7.5,3
M2R0.5,3959,40,2,0.5,7.5,3
M3R0,3014,40,3,0,7.6,3
M3R0,2934,40,3,0,7.6,3
M3R0,3122,40,3,0,7.6,3
M3R0,2872,40,3,0,7.6,3
M3R0,2928,40,3,0,7.6,3
M3R0,2996,40,3,0,7.6,3
M3R0,2941,40,3,0,7.7,3
M3R0,3062,40,3,0,7.6,3
M3R0,3069,40,3,0,7.8,3
M3R0,2890,40,3,0,7.7,3
M3R0,2990,40,3,0,7.7,3
M3R0.25,4400,40,3,0.25,7.6,3.75
M3R0.25,4278,40,3,0.25,7.7,3.75
M3R0.25,4404,40,3,0.25,7.6,3.75
M3R0.25,4137,40,3,0.25,7.7,3.75
M3R0.25,4174,40,3,0.25,7.7,3.75
M3R0.25,4146,40,3,0.25,7.7,3.75
M3R0.25,4094,40,3,0.25,7.7,3.75
M3R0.25,4201,40,3,0.25,7.7,3.75
M3R0.25,4348,40,3,0.25,7.8,3.75
M3R0.25,4085,40,3,0.25,7.7,3.75
M3R0.25,4272,40,3,0.25,7.7,3.75
M3R0.5,5784,40,3,0.5,7.7,4.5
M3R0.5,5602,40,3,0.5,7.7,4.5
M3R0.5,5720,40,3,0.5,7.7,4.5
M3R0.5,5357,40,3,0.5,7.7,4.5
M3R0.5,5412,40,3,0.5,7.7,4.5
M3R0.5,5390,40,3,0.5,7.7,4.5
M3R0.5,5337,40,3,0.5,7.7,4.5
M3R0.5,5533,40,3,0.5,7.7,4.5
M3R0.5,5449,40,3,0.5,7.8,4.5
M3R0.5,5037,40,3,0.5,7.7,4.5
M3R0.5,5356,40,3,0.5,7.7,4.5
M4R0,3790,40,4,0,7.7,4
