,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
0,以一知万,1,mainland China politics,《南齐书·卡彬传》：“彬又目禽兽云：‘羊性淫而狠，猪性卑而率，鹅性顽而傲，狗性险而出，皆指斥贵势。’”,写人-心绪-⑵思念-思念,1,yǐ yī zhī wàn,"""Book of Southern Qi, Kabin Biography"": ""Bin also looked at animals and animals and said: 'Sheep are lustful and ruthless, pigs are humble and straightforward, goose is stubborn and arrogant, and dogs are dangerous and come out, all accusing you of being noble.'""",Writing about people - mindfulness - (2) thoughts - thinking,三大攻坚战主要目标任务如期完成，脱贫攻坚战取得了全面胜利；扩大内需战略稳步实施，内需对经济增长的拉动力逐步提升；推动创新驱动发展不断迈进，科技进步贡献率提高至60%以上；民生兜底让人民群众基本生活得到切实保障，全国居民人均可支配收入实际增长2.1%……以一知万，以微知明。
1,牙牙学语,2,culture,《庄子·逍遥游》：“鹪鹩巢于深林，不过一枝。”,全面考核事物的称说是不是与实际相符。,2,yá yá xué yǔ,"""Zhuangzi, Xiaoyaoyou"": ""The wren nests in the deep forest, but only one branch.""",A comprehensive assessment of whether the claims of things match the reality.,第一次对阅读萌发兴趣，往往就始于牙牙学语之时，耳旁响起的父母读出的一段段文字。
2,永矢弗谖,1,mainland China politics,《梁书·南平元襄王伟传》：“下官历观世人，多有不好欢乐，乃仰眠床上，看屋梁而著书。”,比喻卑鄙阴险的人。,1,yǒng shǐ fú xuān,"""Liang Shu: The Biography of King Wei of Nanping Yuanxiang"": ""Xiaguan calendar watch the world, many are not happy, but sleep on the bed, look at the beams of the house and write books.""",A metaphor for a despicable and sinister person.,历史不是记忆的负担，而应成为理智的启迪。今天，在世的南京大屠杀幸存者已不足百人。证人都会老去，但历史不能忘记！已列入《世界记忆名录》的“南京大屠杀档案”，不再仅仅是城市记忆、国家记忆，而是已经成为世界记忆。1937年冬天，面对惨绝人寰的大屠杀，约翰·拉贝、约翰·马吉、明妮·魏特琳等20多位国际友人，圈起一片面积为3.86平方公里的南京安全区。今天，重走这周长约8公里的“战时生命线”，感恩·南京安全区——国际和平徒步活动如期举行。“昭昭前事，惕惕后人”。国际友人们的善良之举、崇高的人道主义精神将为世人永远铭记。“永矢弗谖，祈愿和平”。
3,迎来送往,3,mainland China politics,《旧唐书·房玄龄传》：“仆阅人多矣，未见如此郎者，必成伟器。”,形容书法精妙。,2,yíng lái sòng wǎng,"""Old Tang Book: Fang Xuanling's Biography"": ""There are many servants, and those who have never seen such a man will surely become a great weapon.""",Describe the exquisite calligraphy.,”领导干部要想造福一方，必须保持“时时放心不下”的状态。对于那些“时时放心不下”的人，成功总是给他们更多机遇，周围群众也会送之以掌声、授之以办法。如果忙忙碌碌装样子，疲疲沓沓混日子；如果对家事、名利事、小圈子的事很上心，对群众的事、集体的事、国家的事不上心；如果周旋于迎来送往，沉溺于灯红酒绿，寄情于游山玩水，就必然会损害党的形象，贻误事业发展。
4,同心合力,14,Hong Kong - Macau politics,《荀子·劝学》：“腾蛇无足而飞，梧鼠五技而穷。”,从高树上下来，钻进幽深的坑谷里。比喻弃明从暗，或从良好的处境转入恶劣的处境。,3,tóng xīn hé lì,"""Xunzi: Encouraging Learning"": ""The soaring snake flies without a foot, and the Wushu is poor with five skills.""","To come down from a high tree and burrow into a deep pit and valley. It is a metaphor for abandoning the light and going from the dark, or moving from a good situation to a bad one.",无论是库尔班大叔想“骑着毛驴上北京看望毛主席”的历史佳话，还是今天由7个民族的88位股东创办的“一家亲”餐厅越开越红火，无不昭示民族团结是各族人民最大的福祉。最伟大的力量是同心合力。牢固树立正确的祖国观、历史观、民族观，不断巩固各族人民对伟大祖国的认同、对中华民族的认同、对中华文化的认同、对中国共产党的认同、对中国特色社会主义的认同，让各民族像石榴籽那样紧紧抱在一起，定能汇聚起共建美丽新疆的磅礴力量，在祖国西北这片热土上书写发展新传奇，共创美丽新疆更加美好的未来！
5,贪心不足,1,None,《战国策·齐策四》：“晚食以当肉，安步以当车。”,献：贡献之意；曝：晒太阳。比喻以物品或意见献之于人，所表达的自谦之意。,1,tān xīn bù zú,"""Strategy of the Warring States: Qi Ce 4"": ""Eating dinner is like meat, and walking comfortably is like a car.""",献：意贡献的意思；曝：晒太阳。 It is a metaphor for the self-effacement expressed by offering objects or opinions to others.,None
6,退思补过,1,mainland China politics,《宋史·蔡元定传》：“刎行不愧影，独寝不愧衾。”,比喻心许朋友的事，不因人死而改变。,1,tuì sī bǔ guò,"""The History of Song Dynasty: The Biography of Cai Yuanding"": ""The execution is worthy of the shadow, and the bed alone is worthy of the quilt.""",It is a metaphor that the heart of a friend is promised and will not be changed by the death of a person.,监督是制约权力运用的“紧箍咒”，也是自我退思补过的“正容镜”，更是免于贪腐风险的“护身符”。
7,慎终追远,14,culture,《书·泰誓中》：“予有乱臣十人，同心同德。”,写人-言谈-⑴谈吐-善言,3,shèn zhōng zhuī yuǎn,"""Book, Tai Oath"": ""I have ten chaotic ministers, all of one heart and one mind.""",Writing about people - speech - (1) talk - good speech,”去年，一部以墨西哥亡灵节为题材的动画电影让很多人感动落泪，提醒人们勿忘往昔，这与中国的清明节意蕴有异曲同工之妙。清明时节，亲近自然、品味春天的同时，也让我们在慎终追远中护佑历史、希冀未来。
8,慎终如始,89,sports,《史记·李斯无传》：“是以泰山不让土壤，故能成其大；河海不择细流，故能就其深。”,表示自己处理事情极端公平。,5,shèn zhōng rú shǐ,"""Historical Records: Li Siwu Biography"": ""It is because Mount Tai does not allow soil, so it can become large; rivers and seas do not choose trickles, so they can be deep.""",Indicates that one handles things with extreme fairness.,我们要在全社会营造关注农业、关心农村、关爱农民的浓厚氛围，稳固大国农业根基，铆足中国发展底气。（新华社记者王立彬） “发扬为民服务孺子牛、创新发展拓荒牛、艰苦奋斗老黄牛的精神，永远保持慎终如始、戒骄戒躁的清醒头脑，永远保持不畏艰险、锐意进取的奋斗韧劲”。
9,神州陆沉,6,culture,《左传·宣公十二年》：“林父之事君也，进思尽忠，退思补过，社稷之卫也，若之何杀之？”,比喻不忘本。,3,shén zhōu lù chén,"""Zuo Zhuan, Xuangong Twelve Years"": ""Lin father's affairs are the king, and he will be loyal to his thoughts, and he will make up for his mistakes.",It is a metaphor for not forgetting one's roots.,多少轰轰烈烈，多少慷慨悲歌，多少前赴后继，依然未能改变江山飘摇、神州陆沉的悲惨命运。
10,食指大动,1,None,《诗经·秦风·无衣》：“岂曰无衣，与子同袍。……岂曰无衣，与子同泽。”,厌恶潮湿却住在低洼的的地方。比喻行动跟愿望相违背。,1,shí zhǐ dà dòng,"""Book of Songs, Qin Feng, No Clothes"": ""How can it be said that there is no clothing, and the robe is the same as the child. ... How can it be said that there is no clothing, and the same water with the child.""",I hate humidity but I live in a low-lying place. The metaphor is that the action is contrary to the desire.,None
11,事预则立,19,financial news,《左传·昭公十四年》：“贪以败官为墨。”,危险得象清早的露水，太阳一出就会消失。比喻处境极危险。,3,shì yù zé lì,"""Zuo Zhuan: The Fourteenth Year of Zhaogong"": ""Corruption uses corrupt officials as ink.""","It is as dangerous as the dew in the early morning, which will disappear as soon as the sun comes out. It is a metaphor for an extremely dangerous situation.",开放景区要严格贯彻《关于做好旅游景区疫情防控和安全有序开放工作的通知》要求，根据《旅游景区恢复开放疫情防控措施指南》做好各项准备工作。从口罩、手套、酒精、消毒液等物资保障到景区密闭建筑、卫生设施、餐饮场所的清洁消毒，从员工上岗工作规范到垃圾分类处理，每一个细节、每一个环节都要提前考虑到、处理好。凡事预则立，不预则废。
12,夙夜在公,19,mainland China politics,《三国志·魏书·武帝纪》：“每与人谈论，戏弄言诵，尽无所隐，及欢悦大笑，至以头没杯案中，肴膳皆沾污巾帻。”,形容住房破漏。,3,sù yè zài gōng,"""Records of the Three Kingdoms, Wei Shu, Emperor Wu Ji"": ""Every time I talk to people, tease and recite, I hide everything, and I laugh with joy. Even in the case where there is no cup in the head, the food and meals are stained with towels.""",Describe the housing breakage and leakage.,我们党的根基在人民、血脉在人民、力量在人民，我们为群众付出多少、我们把群众的分量看得有多重，群众眼里看得见、心中如明镜。事实上，正是因为在抗疫战斗中不断冲锋在前的党员干部夙夜在公、无私奉献，充分体现出为公重民的责任意识和以人民为中心的价值取向，我们才取得如今来之不易的向好局面。
13,胜友如云,1,mainland China politics,明·冯梦龙《警世通言·金令史美婢酬秀童》：“金满将大门闭了，两个促膝细谈。正是：踏破铁鞋无觅处，得来全不费工夫！”,指找住房应该选择邻居。,1,shèng yǒu rú yún,"Ming Feng Menglong's ""Jing Shi Tong Yan: Jin Ling Shi Mei's Maid Rewards Xiu Tong"": ""Jin Man closed the door, and the two talked in detail. It is exactly: stepping through the iron shoes, there is nowhere to find it, it takes no effort to get it!""",It means that you should choose your neighbor to find housing.,高朋满座，胜友如云；登高望远，齐心前行。
14,书声琅琅,11,International news,《庄子·列御寇》：“秦王有病召医，破痈溃座者得车一乘；舐痔者得车五五乘。所治愈下，得车愈多。”,诺：答应。堂上一声呼唤，阶下齐声答应。多形容旧时豪门权贵威势烜赫，侍从和奉承的人很多。,3,shū shēng láng láng,"""Zhuangzi Lie Yukou"": ""The king of Qin called a doctor when he was ill. Those who broke the carbuncle and broke the seat got a car; those who licked the hemorrhoids got five or five cars. The more they are cured, the more cars they get.""","Promise: promise. A call from the hall was met with unanimous agreement. In the olden days, the powerful noblemen were so powerful that they had many attendants and flatterers.",从贫困地区的山乡学校到书声琅琅的青青校园，从苦练本领的职教学子到扎根西部的支教教师，教育的灵魂因爱的传递愈发闪耀，青春的光彩在与中国梦的同频共振中竞相绽放。
15,恃强凌弱,5,International news,《淮南子·汜论训》：“将相摄威擅势，私门成党，而公道不行。”,比喻共事的关系（多指军人）。,2,shì qiáng líng ruò,"""Huainanzi: Si Lun Xun"": ""The generals are powerful and strong, and the private parties form a party, but justice is not good.""",A metaphor for a collegial relationship (mostly referring to military personnel).,在世界格局和国际关系重组过程中，有些学者认为“修昔底德陷阱”不可避免，守成大国与新兴大国之间必然发生冲突。“金德尔伯格陷阱”则担心，新兴大国如果不能承担领导责任，就会导致国际公共产品短缺，进而造成全球经济混乱和安全失序。上述思维根植于零和博弈，忽视了人类社会的共同利益。中国超越西方国际关系理论的局限，创造性提出人类命运共同体理念，拒绝走近代以来弱肉强食、大国争霸的强权政治老路，强调合作中产生的问题只有通过进一步深化合作、互利共赢来解决，指出各国对人类长远未来都承担着一份责任。同在地球村，大国要尊重彼此核心利益和重大关切，管控矛盾分歧；大国对小国要平等相待，不搞唯我独尊、恃强凌弱的霸道行径；国家间出现矛盾和分歧，要通过平等协商处理，以最大诚意和耐心，坚持对话解决分歧。
16,数见不鲜,1,None,清·李渔《玉搔头》：“三十六行，行行相妒。”,手泽：为手汗所沾润。指先人遗物。,1,shuò jiàn bù xiān,"Qing Li Yu's ""Jade Scratching the Head"": ""Thirty-six lines, each line is jealous.""",Hand Ze: moistened by hand sweat. It refers to the relics of the ancestors.,None
