,Chengyu,Appearances
0,以一知万,1
1,牙牙学语,2
2,永矢弗谖,1
3,迎来送往,3
4,同心合力,14
5,贪心不足,1
6,退思补过,1
7,慎终追远,14
8,慎终如始,89
9,神州陆沉,6
10,食指大动,1
11,事预则立,19
12,夙夜在公,19
13,胜友如云,1
14,书声琅琅,11
15,恃强凌弱,5
16,数见不鲜,1
17,水火之中,1
18,身怀六甲,1
19,师道尊严,1
20,树德务滋,1
21,势不可挡,36
22,仁义道德,2
23,人事代谢,1
24,如临深渊,8
25,人欢马叫,1
26,如鲠在喉,2
27,齐心合力,1
28,迁怒于人,1
29,取精用弘,1
30,裙带关系,3
31,偏信则暗,1
32,难以为继,19
33,年逾古稀,1
34,内省不疚,1
35,能不称官,1
36,妙手偶得,1
37,莫此为甚,1
38,荦荦大端,1
39,来处不易,4
40,利不亏义,1
41,九天揽月,8
42,积水成渊,6
43,荆棘载途,1
44,回光返照,2
45,祸福相依,1
46,惠风和畅,1
47,国无宁日,1
48,瓜瓞绵绵,1
49,非我族类,1
50,俯首帖耳,2
51,恶有恶报,2
52,恩德如山,1
53,定于一尊,6
54,堤溃蚁穴,3
55,登高望远,40
56,斗而铸锥,1
57,重峦叠嶂,1
58,橙黄橘绿,1
59,春回大地,7
60,传道受业,1
61,踟蹰不前,4
62,不拔之志,2
63,下车伊始,2
64,精卫填海,3
65,毁家纾难,1
66,夙夜匪懈,1
67,不经之谈,1
68,不二法门,5
69,见贤思齐,45
70,茕茕孑立,1
71,安身立命,28
72,反求诸己,2
73,窥豹一斑,1
74,瓦釜雷鸣,1
75,筚路蓝缕,52
76,如臂使指,3
77,弹冠相庆,1
78,甚嚣尘上,21
79,大而化之,10
80,魑魅魍魉,1
81,沐猴而冠,2
82,韦编三绝,1
83,伊于胡底,1
84,鞭辟入里,4
85,见猎心喜,2
86,间不容发,1
87,如芒在背,1
88,胼手胝足,22
89,积年累月,1
90,予取予求,1
91,怙恶不悛,1
92,坐言起行,1
93,嘉言懿行,3
94,视民如伤,3
95,掠人之美,1
96,上下其手,1
97,止于至善,7
98,令人齿冷,3
99,一以贯之,202
100,新发于硎,3
101,如椽大笔,1
102,陈言务去,1
103,进退失据,4
104,力透纸背,4
105,笙磬同音,1
106,尝鼎一脔,1
107,乐以忘忧,2
108,明日黄花,2
109,殷鉴不远,6
110,美轮美奂,1
111,徒托空言,2
112,升堂入室,1
113,天涯比邻,2
114,遗世独立,1
115,人亡政息,3
116,望秋先零,1
117,渴而穿井,1
118,梯山航海,1
119,吹影镂尘,1
120,朝乾夕惕,3
121,守望相助,247
122,念兹在兹,25
123,放辟邪侈,1
124,春和景明,5
125,敬老慈幼,1
126,半丝半缕,5
127,亘古亘今,2
128,不可移易,1
129,不舍昼夜,20
130,仆仆风尘,1
131,以一持万,1
132,安于一隅,1
133,涣然冰释,1
134,皓首穷经,1
135,发愤忘食,1
136,鲍鱼之肆,1
137,不测之忧,2
138,从善如登,3
139,韬光养晦,1
140,来者可追,2
141,驽马十驾,2
142,人神共愤,3
143,丑态毕露,1
144,合浦珠还,1
145,案牍劳形,1
146,冯唐易老,2
147,刮垢磨光,1
148,节用裕民,11
149,临池学书,1
150,扼腕叹息,3
151,讲信修睦,3
152,云谲波诡,2
153,明刑弼教,1
154,朝斯夕斯,1
155,克己复礼,1
156,齐家治国,3
157,近悦远来,2
158,厚德载物,7
159,敬业乐群,2
160,无偏无党,1
161,昂霄耸壑,1
162,高岸深谷,1
163,民胞物与,5
164,黄钟大吕,5
165,名缰利锁,3
166,多端寡要,1
167,怪力乱神,1
168,草长莺飞,2
169,荆棘铜驼,1
170,秕言谬说,1
171,躬逢其盛,1
172,和而不同,44
173,作如是观,1
174,击楫中流,2
175,光复旧物,7
176,利用厚生,1
177,一瓣心香,1
178,临事而惧,1
179,明德惟馨,3
180,蒲柳之姿,1
181,读书种子,11
182,哲人其萎,1
183,桴鼓相应,1
184,和气致祥,5
185,铸剑为犁,5
186,鸿鹄将至,1
187,止戈为武,2
188,折戟沉沙,1
189,一鸣惊人,4
190,沾沾自喜,8
191,不寒而栗,2
192,老当益壮,1
193,穷凶极恶,6
194,死灰复燃,10
195,夜郎自大,4
196,见利忘义,3
197,多多益善,1
198,独当一面,2
199,破釜沉舟,4
200,后来居上,4
201,高风亮节,8
202,安居乐业,129
203,一举两得,3
204,得心应手,1
205,起死回生,2
206,见异思迁,1
207,外强中干,1
208,日暮途穷,1
209,有备无患,26
210,有名无实,2
211,临危不惧,22
212,倒行逆施,25
213,幸灾乐祸,6
214,两袖清风,3
215,前功尽弃,43
216,明察秋毫,2
217,出尔反尔,56
218,一毛不拔,3
219,水深火热,2
220,曲高和寡,1
221,九死一生,7
222,墨守成规,5
223,纸上谈兵,10
224,同流合污,2
225,四分五裂,7
226,狐假虎威,1
227,花言巧语,3
228,脚踏实地,149
229,胸有成竹,4
230,明目张胆,17
231,口蜜腹剑,2
232,走马观花,21
233,司空见惯,4
234,双管齐下,2
235,道听途说,2
236,乘风破浪,131
237,一筹莫展,2
238,黑白分明,2
239,迫不得已,1
240,沧海一粟,3
241,孤注一掷,5
242,出类拔萃,2
243,得过且过,15
244,囫囵吞枣,7
245,痴人说梦,9
246,忍辱负重,3
247,如鱼得水,3
248,死不瞑目,5
249,赤膊上阵,11
250,不识时务,1
251,半途而废,12
252,力不从心,1
253,望尘莫及,1
254,入木三分,3
255,嫁祸于人,6
256,刮目相看,83
257,视死如归,36
258,抱残守缺,3
259,义无反顾,131
260,背水一战,12
261,势如破竹,7
262,一败涂地,3
263,各得其所,3
264,赴汤蹈火,13
265,一诺千金,18
266,口若悬河,2
267,信口雌黄,14
268,杯弓蛇影,4
269,管中窥豹,2
270,华而不实,16
271,不卑不亢,5
272,按图索骥,2
273,尽善尽美,3
274,畏首畏尾,21
275,言不由衷,5
276,唯利是图,5
277,叶公好龙,1
278,名列前茅,16
279,退避三舍,3
280,尔虞我诈,3
281,三令五申,8
282,断章取义,7
283,一朝一夕,23
284,高枕无忧,12
285,事半功倍,19
286,自相矛盾,15
287,不学无术,1
288,名正言顺,1
289,人杰地灵,2
290,目不识丁,1
291,机不可失,1
292,飞黄腾达,1
293,画龙点睛,1
294,后顾之忧,71
295,巧取豪夺,7
296,一笔勾销,1
297,一箭双雕,1
298,过河拆桥,1
299,利令智昏,2
300,朝三暮四,1
301,开天辟地,31
302,掩耳盗铃,5
303,守株待兔,3
304,揠苗助长,2
305,防患未然,9
306,不可多得,2
307,先见之明,1
308,巧夺天工,1
309,不胫而走,1
310,百折不挠,87
311,投笔从戎,1
312,乐不可支,1
313,东山再起,2
314,不求甚解,7
315,世外桃源,7
316,言过其实,1
317,手不释卷,1
318,惊天动地,43
319,劳而无功,1
320,口是心非,8
321,目空一切,1
322,异口同声,1
323,轻而易举,14
324,诚心诚意,15
325,痴心妄想,13
326,涂脂抹粉,5
327,不平则鸣,1
328,山穷水尽,2
329,水涨船高,14
330,一视同仁,37
331,饱经风霜,8
332,摇旗呐喊,9
333,寸步难行,16
334,四平八稳,1
335,措手不及,2
336,默默无闻,26
337,穿针引线,7
338,别出心裁,1
339,见风使舵,3
340,战战兢兢,2
341,头重脚轻,2
342,美不胜收,1
343,人云亦云,9
344,千言万语,4
345,三思而行,1
346,弱肉强食,19
347,触景生情,1
348,喧宾夺主,1
349,任重道远,74
350,锦上添花,5
351,青黄不接,5
352,喋喋不休,5
353,高谈阔论,2
354,谈笑风生,2
355,乘人之危,5
356,强词夺理,4
357,波澜壮阔,207
358,对症下药,69
359,茅塞顿开,1
360,光明磊落,10
361,显而易见,25
362,天翻地覆,28
363,另起炉灶,13
364,东张西望,1
365,吹毛求疵,2
366,捕风捉影,11
367,咬文嚼字,1
368,孤芳自赏,1
369,一言九鼎,1
370,扶摇直上,5
371,避重就轻,13
372,单枪匹马,2
373,无可奈何,2
374,溜之大吉,1
375,齐心协力,173
376,同甘共苦,58
377,一目了然,13
378,舍己为人,8
379,一成不变,20
380,一网打尽,1
381,满载而归,4
382,斩钉截铁,5
383,照本宣科,14
384,不劳而获,2
385,一目十行,2
386,殊途同归,1
387,登峰造极,2
388,宁死不屈,9
389,百年大计,18
390,集思广益,38
391,长驱直入,1
392,一鼓作气,102
393,无能为力,7
394,不毛之地,4
395,横行霸道,3
396,随机应变,2
397,明明白白,9
398,虚情假意,1
399,至高无上,18
400,五光十色,2
401,苦心经营,2
402,欢天喜地,1
403,身败名裂,4
404,饥不择食,1
405,千载难逢,16
406,念念不忘,12
407,源远流长,42
408,顶天立地,14
409,形形色色,38
410,无所适从,9
411,万无一失,18
412,铤而走险,10
413,兴师动众,1
414,绰绰有余,1
415,积少成多,2
416,兴风作浪,29
417,借题发挥,6
418,改头换面,6
419,因势利导,23
420,无中生有,12
421,天花乱坠,3
422,虚张声势,4
423,和盘托出,1
424,一团和气,6
425,瞻前顾后,8
426,养尊处优,1
427,放任自流,9
428,背井离乡,1
429,四通八达,9
430,不屈不挠,53
431,切肤之痛,2
432,正大光明,1
433,迫不及待,8
434,众口难调,1
435,势不可当,4
436,不可收拾,4
437,不可思议,7
438,身不由己,3
439,虎头蛇尾,13
440,左右为难,2
441,迫在眉睫,18
442,举足轻重,24
443,扬眉吐气,7
444,贪得无厌,3
445,其貌不扬,1
446,成人之美,1
447,别开生面,6
448,左右逢源,7
449,心心相印,33
450,人浮于事,1
451,大有作为,51
452,问心无愧,3
453,改邪归正,1
454,不谋而合,6
455,千钧一发,2
456,斤斤计较,5
457,背道而驰,35
458,理所当然,10
459,出生入死,3
460,卑躬屈膝,1
461,一孔之见,1
462,左顾右盼,1
463,得不偿失,12
464,望眼欲穿,1
465,鬼头鬼脑,1
466,同病相怜,1
467,强人所难,4
468,随波逐流,5
469,按部就班,6
470,袖手旁观,4
471,同归于尽,2
472,根深蒂固,30
473,土崩瓦解,1
474,千头万绪,30
475,不可一世,5
476,先斩后奏,1
477,草木皆兵,9
478,千变万化,1
479,空空如也,1
480,头头是道,3
481,妙手回春,1
482,细水长流,4
483,两全其美,1
484,飞沙走石,1
485,裹足不前,3
486,垂头丧气,1
487,水落石出,1
488,标新立异,1
489,不拘一格,16
490,相依为命,1
491,大刀阔斧,14
492,当机立断,8
493,自欺欺人,31
494,白日做梦,1
495,粗枝大叶,3
496,礼尚往来,3
497,呼风唤雨,1
498,精益求精,36
499,胡作非为,8
500,开门见山,4
501,狭路相逢,19
502,历历在目,6
503,里应外合,4
504,蛛丝马迹,1
505,充耳不闻,11
506,视而不见,50
507,志同道合,14
508,小心翼翼,7
