,Chengyu
0,辞严义正
1,捉贼捉赃
2,濯足濯缨
3,昭昭在目
4,早占勿药
5,置之死地
6,湛湛青天
7,自作解人
8,锱珠必较
9,属垣有耳
10,左拥右抱
11,簪缨世族
12,赭衣塞路
13,作育人材
14,足音跫然
15,佐雍得尝
16,左右采获
17,知小谋大
18,褚小杯大
19,助我张目
20,指天射鱼
21,资深望重
22,凿隧入井
23,郑人争年
24,着人先鞭
25,跖犬吠尧
26,众难群移
27,志美行厉
28,孳蔓难图
29,属毛离里
30,直木必伐
31,执两用中
32,只轮无反
33,正理平治
34,灾梨祸枣
35,眦裂发指
36,铢两分寸
37,自刽以下
38,中馈犹虚
39,踵决肘见
40,载酒问字
41,争鸡失羊
42,知尽能索
43,獐麇马鹿
44,在家出家
45,众好众恶
46,陟岵陟屺
47,综核名实
48,自坏长城
49,珠宫贝阙
50,走伏无地
51,煮豆燃箕
52,织当访婢
53,朱陈之好
54,织楚成门
55,织白守黑
56,执鞭随蹬
57,助边输财
58,钻冰求酥
59,猪卑狗险
60,灼艾分痛
61,一枝之栖
62,引足救经
63,言重九鼎
64,有志竟成
65,以一知万
66,盈盈一水
67,牙牙学语
68,夤缘攀附
69,游云惊龙
70,余食赘行
71,疑行无成
72,阳煦山立
73,猿穴坏山
74,仰屋著书
75,以往鉴来
76,鱼网鸿离
77,一榻横陈
78,偃鼠饮河
79,一身五心
80,烟视媚行
81,一身两头
82,羿射九日
83,永矢弗谖
84,一日之长
85,野人献芹
86,野人献曝
87,因任授官
88,一日九迁
89,阅人多矣
90,源泉万斛
91,欲取姑予
92,玉砌雕阑
93,厌难折冲
94,一牛九锁
95,阴凝坚冰
96,倚门倚闾
97,异名同实
98,倚马七纸
99,圆木警枕
100,勇猛果敢
101,鼋鸣鳖应
102,迎来送往
103,依流平进
104,元龙高卧
105,月露风云
106,一夔已足
107,一口三舌
108,一口两匙
109,掩口葫芦
110,盈科后进
111,圆孔方木
112,养精畜锐
113,仪静体闲
114,鹰击毛挚
115,延颈鹤望
116,有何面目
117,狱货非宝
118,忧国奉公
119,衣冠枭獍
120,阳关三迭
121,一方之任
122,蚁封穴雨
123,鬻儿卖女
124,遗大投艰
125,一代楷模
126,月旦春秋
127,饮醇自醉
128,有才无命
129,游辞巧饰
130,燕巢幕上
131,以冰致蝇
132,应变无方
133,援鳖失龟
134,妖不胜德
135,饮冰茹檗
136,仙姿玉貌
137,逊志时敏
138,旋转乾坤
139,希旨承颜
140,闲云野鹤
141,心闲手敏
142,悬悬而望
143,形枉影曲
144,衔尾相随
145,悬驼就石
146,行同狗彘
147,心如悬旌
148,衅起萧墙
149,献曝之忱
150,熊罴入梦
151,笑面夜叉
152,星灭光离
153,祥麟威凤
154,悬梁刺骨
155,犀角烛怪
156,悬旌万里
157,席卷天下
158,学究天人
159,悬剑空垄
160,玄酒瓠脯
161,雪窖冰天
162,崤函之固
163,香火因缘
164,向火乞儿
165,香花供养
166,小姑独处
167,心烦技痒
168,相辅而行
169,谑而不虐
170,小大由之
171,先得我心
172,隙大墙坏
173,悬石程书
174,埙篪相和
175,凶喘肤汗
176,下阪走丸
177,行不胜衣
178,物在人亡
179,恶醉强酒
180,沃野千里
181,五月披裘
182,畏影恶迹
183,亡羊得牛
184,谓予不信
185,韦弦之佩
186,吾膝如铁
187,我心如秤
188,勿忘在莒
189,尾生之信
190,无伤无臭
191,无适无莫
192,恶湿居下
193,梧鼠技穷
194,晚食当肉
195,危如朝露
196,屋如七星
197,委肉虎蹊
198,五雀六燕
199,问牛知马
200,寤寐求之
201,闻雷失箸
202,唯邻是卜
203,万缕千丝
204,万口一谈
205,无愧衾影
206,无噍类矣
207,晚节不保
208,五合六聚
209,微过细故
210,万贯家财
211,五谷不升
212,望风希旨
213,威风祥麟
214,误付洪乔
215,莞尔而笑
216,望断白云
217,妄尘而拜
218,无病自炙
219,位不期骄
220,叨在知己
221,投诸四裔
222,廷争面折
223,唐哉皇哉
224,田月桑时
225,彤云密布
226,他乡异县
227,天下为家
228,挑雪填井
229,同心合力
230,贪心不足
231,痛心拔脑
232,唐突西子
233,陶陶兀兀
234,豚蹄穰田
235,贪蛇忘尾
236,太上忘情
237,天上石麟
238,屠所牛羊
239,泰山梁木
240,泰山鸿毛
241,他山攻错
242,淘沙得金
243,退思补过
244,土穰细流
245,天壤悬隔
246,退如山移
247,嗒然若丧
248,陶情适性
249,太丘道广
250,绨袍之义
251,同袍同泽
252,叨陪末座
253,天凝地闭
254,同门异户
255,贪墨成风
256,头没杯案
257,檀郎谢女
258,徒乱人意
259,头会箕敛
260,韬晦之计
261,桃花潭水
262,叹观止矣
263,坦腹东床
264,土扶成墙
265,太阿倒持
266,天地经纬
267,徒读父书
268,天不假年
269,大璞不完
270,手泽之遗
271,慎终追远
272,桑中之约
273,山中宰相
274,搜章摘句
275,四战之地
276,损之又损
277,淑质英才
278,上智下愚
279,三旨相公
280,上烝下报
281,师直为壮
282,擅作威福
283,扇枕温被
284,隋珠弹雀
285,使智使勇
286,生张熟魏
287,三战三北
288,慎终如始
289,神州陆沉
290,少纵即逝
291,三贞九烈
292,声振寰宇
293,十载寒窗
294,丝竹管弦
295,掞藻飞声
296,随踵而至
297,食指大动
298,双足重茧
299,手足重茧
300,善游者溺
301,事预则立
302,夙夜在公
303,涩于言论
304,上医医国
305,神摇意夺
306,上援下推
307,声音笑貌
308,索隐行怪
309,素隐行怪
310,寿元无量
311,蛇欲吞象
312,舐痈吮痔
313,三浴三衅
314,胜友如云
315,善与人交
316,赏一劝百
317,上雨旁风
318,盛宴难再
319,事以密成
320,随缘乐助
321,三阳开泰
322,铩羽而归
323,三余读书
324,三星在天
325,三星在户
326,蛇蝎为心
327,少小无猜
328,硕学通儒
329,上下同门
330,水秀山明
331,思贤如渴
332,赏心乐事
333,三旬九食
334,十围五攻
335,熟魏生张
336,社威擅势
337,善为说辞
338,琐尾流离
339,使蚊负山
340,死无对证
341,什伍东西
342,身无长处
343,使贪使愚
344,伸头缩颈
345,山颓木坏
346,搔头摸耳
347,豕突狼奔
348,双瞳剪水
349,升堂拜母
350,束身自好
351,思深忧远
352,射石饮羽
353,虽死犹生
354,深思远虑
355,三三五五
356,舍死忘生
357,四书五经
358,三十三天
359,水色山光
360,三蛇七鼠
361,书声琅琅
362,三十六行
363,盛食厉兵
364,少私寡欲
365,神圣工巧
366,收视反听
367,首身分离
368,随俗浮沉
369,私淑弟子
370,升山采珠
371,嗜杀成性
372,善善从长
373,授受不亲
374,十日之饮
375,视如土芥
376,世扰俗乱
377,声如洪钟
378,视如敝屣
379,首丘之情
380,身轻言微
381,善气迎人
382,上情下达
383,势倾天下
384,事齐事楚
385,孀妻弱子
386,恃强凌弱
387,竖起脊梁
388,山栖谷隐
389,三年之艾
390,十年寒窗
391,丧明之痛
392,山木自寇
393,三马同槽
394,拭面容言
395,司马青衫
396,数米量柴
397,三命而俯
398,拭目而待
399,诗礼之家
400,霜露之病
401,丝来线去
402,三老五更
403,上楼去梯
404,黍离麦秀
405,十里长亭
406,山溜穿石
407,孙康映雪
408,市井之臣
409,蜀锦吴绫
410,山鸡舞镜
411,生寄死归
412,豕交兽畜
413,尸居龙见
414,虱胫虮肝
415,善贾而沽
416,数见不鲜
417,舌挢不下
418,上交不谄
419,隋侯之珠
420,水火之中
421,珊瑚在网
422,生花之笔
423,思患预防
424,三户亡秦
425,四海升平
426,三魂七魄
427,耸壑凌霄
428,身怀六甲
429,神号鬼哭
430,参横斗转
431,石火电光
432,四海鼎沸
433,时乖运蹇
434,神鬼莫测
435,双柑斗酒
436,三坟五典
437,鼠腹蜗肠
438,三复斯言
439,顺风而呼
440,三分鼎足
441,生而知之
442,死而无悔
443,疏而不漏
444,师道尊严
445,三迭阳关
446,舌端月旦
447,搔到痒处
448,丧胆销魂
449,树德务滋
450,神道设教
451,视丹如绿
452,舍短取长
453,说短论长
454,数短论长
455,生栋覆屋
456,善刀而藏
457,输财助边
458,上谄下渎
459,生齿日繁
460,胜残去杀
461,虱处裈中
462,诗肠鼓吹
463,死不足惜
464,十步香草
465,手不停挥
466,使臂使指
467,时不我与
468,俗不可医
469,时不可失
470,势不可挡
471,十病九痛
472,善罢干休
473,十步芳草
474,舌敝耳聋
475,食不重味
476,任重至远
477,人中之龙
478,如左右手
479,认贼为子
480,日中为市
481,人中狮子
482,人众胜天
483,人中骐骥
484,如振落叶
485,如锥画沙
486,如醉方醒
487,任重才轻
488,日坐愁城
489,如运诸掌
490,人以群分
491,日月丽天
492,仁义君子
493,人言藉藉
494,忍尤含垢
495,日月合壁
496,仁义道德
497,日月重光
498,日省月试
499,日削月割
500,任贤使能
501,仁心仁闻
502,仁心仁术
503,人心如面
504,柔心弱骨
505,如埙如箎
506,忍心害理
507,人心归向
508,入吾彀中
509,入铁主簿
510,肉袒牵羊
511,弱水之隔
512,如是我闻
513,如水投石
514,如手如足
515,人事代谢
516,忍辱偷生
517,茹柔吐刚
518,穰穰满家
519,忍辱含羞
520,人穷志短
521,人取我与
522,如丘而止
523,认奴作郞
524,入幕之宾
525,日暮途远
526,如梦方醒
527,人民城郭
528,攘来熙往
529,如临深渊
530,燃糠自照
531,如箭在弦
532,日居月诸
533,仁浆义粟
534,人己一视
535,入井望天
536,入境问禁
537,乳间股脚
538,如见肺肝
539,软红香土
540,软红十丈
541,人欢马叫
542,如火燎原
543,如鲠在喉
544,如风过耳
545,如蹈汤火
546,人多手杂
547,然荻读书
548,如登春台
549,任达不拘
550,日长一线
551,如痴如醉
552,染苍染黄
553,人百其身
554,若敖鬼馁
555,热熬翻饼
556,且住为佳
557,青紫被体
558,去住两难
559,强作解人
560,期颐之寿
561,清音幽韵
562,倾摇懈弛
563,穷猿投林
564,巧言如簧
565,巧言偏辞
566,穷阎漏屋
567,千岩竞秀
568,穷源竟委
569,强颜欢笑
570,驱羊攻虎
571,秦越肥瘠
572,青蝇吊客
573,牵羊担酒
574,屈艳班香
575,泣下沾襟
576,取辖投井
577,情见势屈
578,穷巷陋室
579,鹊笑鸠舞
580,齐心合力
581,情见乎辞
582,绮纨之岁
583,区闻陬见
584,窃位素餐
585,巧伪趋利
586,前挽后推
587,奇文瑰句
588,巧同造化
589,前庭悬鱼
590,去泰去甚
591,黔突暖席
592,情天孽海
593,欺天诳地
594,犬兔俱毙
595,雀鼠之争
596,寝苫枕块
597,琴瑟之好
598,丘山之功
599,漆身吞炭
600,情深潭水
601,秋色平分
602,欺三瞒四
603,秋扇见捐
604,弃书捐剑
605,青史传名
606,劝善惩恶
607,青山不老
608,轻视傲物
609,跫然足音
610,倩人捉刀
611,千仞无枝
612,谦让未遑
613,七日来复
614,凄入肝脾
615,区区之众
616,搴旗斩将
617,穷泉朽壤
618,求亲靠友
619,戚戚具尔
620,挈瓶之知
621,雀屏中选
622,奇葩异卉
623,迁怒于人
624,犬马之报
625,求马唐肆
626,裘马轻肥
627,前目后凡
628,去末归本
629,千里之足
630,琼林玉树
631,千里犹面
632,千里同风
633,穷理尽性
634,秦楼楚馆
635,迁客骚人
636,穷困潦倒
637,群空冀北
638,钳口不言
639,取精用弘
640,屈节辱命
641,千金买笑
642,弃旧怜新
643,敲金击石
644,骐骥过隙
645,浅见寡闻
646,全军覆灭
647,弃甲丢盔
648,求浆得酒
649,千金弊帚
650,群鸿戏海
651,屈蠖求伸
652,七行俱下
653,千回百折
654,奇光异彩
655,前古未有
