Column1,Chengyu,Appearances,Topic
0,以一知万,1,mainland China politics
1,牙牙学语,2,culture
2,永矢弗谖,1,mainland China politics
3,迎来送往,3,mainland China politics
4,同心合力,14,Hong Kong - Macau politics
5,贪心不足,1,None
6,退思补过,1,mainland China politics
7,慎终追远,14,culture
8,慎终如始,89,sports
9,神州陆沉,6,culture
10,食指大动,1,None
11,事预则立,19,financial news
12,夙夜在公,19,mainland China politics
13,胜友如云,1,mainland China politics
14,书声琅琅,11,International news
15,恃强凌弱,5,International news
16,数见不鲜,1,None
17,水火之中,1,None
18,身怀六甲,1,mainland China politics
19,师道尊严,1,mainland China politics
20,树德务滋,1,mainland China politics
21,势不可挡,36,International news
22,仁义道德,2,Hong Kong - Macau politics
23,人事代谢,1,None
24,如临深渊,8,mainland China politics
25,人欢马叫,1,None
26,如鲠在喉,2,culture
27,齐心合力,1,Hong Kong - Macau politics
28,迁怒于人,1,culture
29,取精用弘,1,culture
30,裙带关系,3,culture
31,偏信则暗,1,mainland China politics
32,难以为继,19,financial news
33,年逾古稀,1,None
34,内省不疚,1,culture
35,能不称官,1,culture
36,妙手偶得,1,culture
37,莫此为甚,1,Hong Kong - Macau politics
38,荦荦大端,1,None
39,来处不易,4,mainland China politics
40,利不亏义,1,mainland China politics
41,九天揽月,8,sports
42,积水成渊,6,mainland China politics
43,荆棘载途,1,financial news
44,回光返照,2,Hong Kong - Macau politics
45,祸福相依,1,mainland China politics
46,惠风和畅,1,culture
47,国无宁日,1,mainland China politics
48,瓜瓞绵绵,1,culture
49,非我族类,1,International news
50,俯首帖耳,2,International news
51,恶有恶报,2,Hong Kong - Macau politics
52,恩德如山,1,mainland China politics
53,定于一尊,6,culture
54,堤溃蚁穴,3,mainland China politics
55,登高望远,40,mainland China politics
56,斗而铸锥,1,None
57,重峦叠嶂,1,None
58,橙黄橘绿,1,culture
59,春回大地,7,mainland China politics
60,传道受业,1,None
61,踟蹰不前,4,culture
62,不拔之志,2,culture
63,下车伊始,2,None
64,精卫填海,3,culture
65,毁家纾难,1,mainland China politics
66,夙夜匪懈,1,None
67,不经之谈,1,mainland China politics
68,不二法门,5,culture
69,见贤思齐,45,mainland China politics
70,茕茕孑立,1,culture
71,安身立命,28,mainland China politics
72,反求诸己,2,mainland China politics
73,窥豹一斑,1,None
74,瓦釜雷鸣,1,mainland China politics
75,筚路蓝缕,52,culture
76,如臂使指,3,financial news
77,弹冠相庆,1,Hong Kong - Macau politics
78,甚嚣尘上,21,International news
79,大而化之,10,mainland China politics
80,魑魅魍魉,1,Hong Kong - Macau politics
81,沐猴而冠,2,International news
82,韦编三绝,1,culture
83,伊于胡底,1,International news
84,鞭辟入里,4,mainland China politics
85,见猎心喜,2,Hong Kong - Macau politics
86,间不容发,1,mainland China politics
87,如芒在背,1,mainland China politics
88,胼手胝足,22,culture
89,积年累月,1,culture
90,予取予求,1,mainland China politics
91,怙恶不悛,1,None
92,坐言起行,1,None
93,嘉言懿行,3,culture
94,视民如伤,3,mainland China politics
95,掠人之美,1,mainland China politics
96,上下其手,1,Hong Kong - Macau politics
97,止于至善,7,financial news
98,令人齿冷,3,Hong Kong - Macau politics
99,一以贯之,202,mainland China politics
100,新发于硎,3,mainland China politics
101,如椽大笔,1,mainland China politics
102,陈言务去,1,None
103,进退失据,4,culture
104,力透纸背,4,culture
105,笙磬同音,1,mainland China politics
106,尝鼎一脔,1,None
107,乐以忘忧,2,culture
108,明日黄花,2,International news
109,殷鉴不远,6,culture
110,美轮美奂,1,mainland China politics
111,徒托空言,2,sports
112,升堂入室,1,mainland China politics
113,天涯比邻,2,culture
114,遗世独立,1,None
115,人亡政息,3,culture
116,望秋先零,1,mainland China politics
117,渴而穿井,1,None
118,梯山航海,1,mainland China politics
119,吹影镂尘,1,mainland China politics
120,朝乾夕惕,3,mainland China politics
121,守望相助,247,mainland China politics
122,念兹在兹,25,mainland China politics
123,放辟邪侈,1,mainland China politics
124,春和景明,5,mainland China politics
125,敬老慈幼,1,culture
