,Chengyu,Definitions
0,崇洋媚外,"&quot;The 11th place where the master of the Tang Dynasty Sanzang collected scriptures and poems and entered the land of the Queen&#39;s Mother&quot;: &quot;Master Day: &#39;You have great supernatural powers, so there is no harm in going.&#39;&quot;"
1,数不胜数,"Song Luo Dajing &quot;Supplement to Helin Yulu&quot;, Volume 15: &quot;Jing Gong is a young man, he is invincible.&quot;"
2,马不停蹄,"&quot;New History of the Five Dynasties, Liang Chen&#39;s Biography, Zhu Zhen&quot;: &quot;Zhang Ren Yuzhen, a general of Jane&#39;s side, said: &#39;If there are violators of the order in the army, please behead them first and then slay them.&#39;&quot;"
3,知难而退,"&quot;Book of Jin, Fu Jian Records&quot;: &quot;Jian and Fu Rong went to the city and looked at the king&#39;s teacher. They saw that the troops were neat and the soldiers were elite; and they looked north at the grass and forests on Bagong Mountain, all of which were humanoids. Gu Weirong said: &#39;This is also a strong enemy. Also, what does it mean to be less?&#39; I feel terrified.&quot;"
4,盘根错节,"&quot;Lie Zi·King Mu of Zhou&quot;: &quot;Carrying on the emptiness without falling, touching the real without stumbling, ever-changing, can not be extreme.&quot; &quot;Historical Records Jia Yi Biography&quot;: &quot;It is ever-changing, and there is an extreme before the beginning.&quot;"
5,如虎添翼,"&quot;Continued Biography of Deng Lu&quot;: &quot;Fang Zhi&#39;s head is all Tao, and the Dharma is complete.&quot;"
6,高朋满座,"Qing Zhai Hao&#39;s &quot;Popular Edition Geography&quot; quoted the &quot;Jiaojing&quot;: &quot;You are always diligent and diligent, such as a small water flowing constantly, you can penetrate the stone.&quot;"
7,妖言惑众,"Yuan·Anonymous&#39;s &quot;Sianhuan Ji&quot; the third fold: &quot;Situ, if you are willing to be with me, you can have the best of both worlds.&quot;"
8,玩火自焚,Tang Hanyu&#39;s &quot;Send the Poor&quot;: &quot;The master was downcast and thanked him.&quot;
9,一息尚存,"The second fold of Yuan Li Xingdao&#39;s &quot;Grey Lan&quot;: &quot;I didn&#39;t know he had two sides and three swords, and he transferred to his husband and master.&quot;"
10,纲举目张,"&quot;Shishuoxinyu·Literature&quot;: &quot;Zhi Daolin shared Feng Taichang&#39;s speech in Baima Temple, and because of &quot;Xiao Yao&quot;, Zhi Zhuoran set new principles on the table of the two schools and innovated outside the sages.&quot;"
11,耳闻目睹,Qing Gong Zizhen&#39;s &quot;Jihai Miscellaneous Poems&quot;: &quot;I persuade Tiangong to be more vigorous and to lower talents without sticking to one pattern.&quot;
12,人所共知,"&quot;Historical Records: Ranger Biography&quot;: &quot;However, his personal intentions are honest and submissive, and those who are well-known are well-deserved, and the scholars are not undeserved.&quot;"
13,无懈可击,Jin Li Mi&#39;s &quot;Chen Qing Table&quot;: &quot;The mother and grandson are more dependent on each other.&quot;
14,虚无缥缈,"Han Chenlin&#39;s &quot;Answer to Dong A Wang Jian&quot;: &quot;Bing Qingping is the weapon of a capable general, and the bell is silent, and we should make a decisive decision.&quot;"
15,名副其实,"&quot;Zhuzi Yulei&quot;: &quot;Because it is said that self-deception is deceiving others: deceiving others is also self-deception, and this is self-deception even worse.&quot;"
16,不肖子孙,"&quot;Book of Southern Qi: The Biography of Yu Qi&quot;: &quot;Yu Lin (Wang) was abandoned, and he sighed secretly: &#39;Wang, Xu Sui tied the hakama and wasted for a lifetime, how can there be such a reason and evil in the world?&#39;&quot;"
17,死而后已,"Yuan·Anonymous&#39;s &quot;Peach Blossom&quot; 2nd fold: &quot;Mammy, don&#39;t worry, the villain has practiced medicine for three generations, and he knows all about medical books and pulses, and you can get rid of the disease.&quot;"
18,变幻莫测,"&quot;Book of Rites, Qu Li Shang&quot;: &quot;Li is a matter of communication. To go without coming is also inappropriate; to come and not to go is also inappropriate.&quot;"
19,前所未有,"The first fold of Yuan Shang Zhongxian&#39;s &quot;Liu Yi Biography&quot;: &quot;Coughing lightly and calling for wind and rain early, who doesn&#39;t know that he is swept up in the rivers and lakes.&quot;"
20,从容不迫,"&quot;The Analects of Confucius, Xue Er&quot;: &quot;The Poetry says: &#39;It is like cutting, like cutting, like grinding.&#39; What does it mean to be with?&quot; Song Zhu Xi commented: &quot;If you say that you can treat bones and corners, you should cut them and then discuss them again. For those who treat jade, after cutting it and regrinding it, the treatment has been refined, and the refinement is sought.”"
21,闻所未闻,"The fourth fold of &quot;Selected Songs of the Yuan Dynasty: Indus Leaf&quot;: &quot;The soldiers were in chaos, and they would definitely be driven into captivity.&quot;"
22,不期而遇,"Qing Li Ruzhen&#39;s &quot;The Mirror of Flowers&quot;, the twelfth chapter: &quot;either falsely accusing it of being delicious or lazy, or falsely accusing it of doing wrong.&quot;"
23,参差不齐,"Yuan·Anonymous&#39;s &quot;Fish Qiaoji&quot; the third fold: &quot;I do not know how much I have been beaten, but Yuan (original) came to that Xianggong to be generous.&quot;"
24,不识好歹,"Song Yan Yu&#39;s &quot;Canglang Poetry Commentary&quot;: &quot;Taibai sent a sentence, saying that it is straight to the point.&quot;"
