,Chengyu,Definition
0,以一知万,"""Book of Southern Qi, Kabin Biography"": ""Bin also looked at animals and animals and said: 'Sheep are lustful and ruthless, pigs are humble and straightforward, goose is stubborn and arrogant, and dogs are dangerous and come out, all accusing you of being noble.'"""
1,牙牙学语,"""Zhuangzi, Xiaoyaoyou"": ""The wren nests in the deep forest, but only one branch."""
2,永矢弗谖,"""Liang Shu: The Biography of King Wei of Nanping Yuanxiang"": ""Xiaguan calendar watch the world, many are not happy, but sleep on the bed, look at the beams of the house and write books."""
3,迎来送往,"""Old Tang Book: Fang Xuanling's Biography"": ""There are many servants, and those who have never seen such a man will surely become a great weapon."""
4,同心合力,"""Xunzi: Encouraging Learning"": ""The soaring snake flies without a foot, and the Wushu is poor with five skills."""
5,贪心不足,"""Strategy of the Warring States: Qi Ce 4"": ""Eating dinner is like meat, and walking comfortably is like a car."""
6,退思补过,"""The History of Song Dynasty: The Biography of Cai Yuanding"": ""The execution is worthy of the shadow, and the bed alone is worthy of the quilt."""
7,慎终追远,"""Book, Tai Oath"": ""I have ten chaotic ministers, all of one heart and one mind."""
8,慎终如始,"""Historical Records: Li Siwu Biography"": ""It is because Mount Tai does not allow soil, so it can become large; rivers and seas do not choose trickles, so they can be deep."""
9,神州陆沉,"""Zuo Zhuan, Xuangong Twelve Years"": ""Lin father's affairs are the king, and he will be loyal to his thoughts, and he will make up for his mistakes."
10,食指大动,"""Book of Songs, Qin Feng, No Clothes"": ""How can it be said that there is no clothing, and the robe is the same as the child. ... How can it be said that there is no clothing, and the same water with the child."""
11,事预则立,"""Zuo Zhuan: The Fourteenth Year of Zhaogong"": ""Corruption uses corrupt officials as ink."""
12,夙夜在公,"""Records of the Three Kingdoms, Wei Shu, Emperor Wu Ji"": ""Every time I talk to people, tease and recite, I hide everything, and I laugh with joy. Even in the case where there is no cup in the head, the food and meals are stained with towels."""
13,胜友如云,"Ming Feng Menglong's ""Jing Shi Tong Yan: Jin Ling Shi Mei's Maid Rewards Xiu Tong"": ""Jin Man closed the door, and the two talked in detail. It is exactly: stepping through the iron shoes, there is nowhere to find it, it takes no effort to get it!"""
14,书声琅琅,"""Zhuangzi Lie Yukou"": ""The king of Qin called a doctor when he was ill. Those who broke the carbuncle and broke the seat got a car; those who licked the hemorrhoids got five or five cars. The more they are cured, the more cars they get."""
15,恃强凌弱,"""Huainanzi: Si Lun Xun"": ""The generals are powerful and strong, and the private parties form a party, but justice is not good."""
16,数见不鲜,"Qing Li Yu's ""Jade Scratching the Head"": ""Thirty-six lines, each line is jealous."""
17,水火之中,"Jin Lu Ji's ""Wen Fu"": ""The beginning of it is all watching and listening, thinking about the news."""
18,身怀六甲,"""Mencius: Li Lou Shang"": ""Chun Yu Kun said: 'Do men and women give and receive gifts, do they look like people?' Mencius said: 'It is also propriety.'"""
19,师道尊严,"Song Chenliang's ""Guimaoqiu Answers to Zhu Yuanhui's Secretary's Book"": ""Bergong Qin, Fu Min, Miao and solid are not easy to reach, but he has an upright body, a special spirit, and erects a spine. That's it."""
20,树德务滋,"""Three Kingdoms, Wei Shu, Gaoguixiang Gongzhuan"" Fei Song's annotation quoted ""Han Jin Spring and Autumn"": ""Sima Zhao's heart is well known to passers-by."""
21,势不可挡,"Ming Wu Chengen's ""Journey to the West"" Chapter 82: ""At the beginning of the breeze, the Shu brocade and Wu Ling were fluttering lightly; only after the drizzle stopped, the delicate drops revealed the ice muscle and jade quality."""
22,仁义道德,"""Three Kingdoms, Shu Zhi, Qiaozhou Biography"": ""It is not the time when the Qin Dynasty was full of prosperity, but there is a tendency for the six kingdoms to join forces."" ""Jin Book: Zuti Biography"": ""If the four seas are full of prosperity, and heroes rise together, I and I stand together. , should be avoided in the Central Plains ear."""
23,人事代谢,"Tang Du Mu's poem ""Reading Han Du Ji"": ""Du Shi Han Ji is worried to read it, like Qian Ma Gu is scratching at the itch."""
24,如临深渊,"""The Analects of Confucius, Zilu"": ""A good man has been in the country for a hundred years, and he can also kill the disabled."" ""Han Shu, Li Guangzhuan"": ""The husband repays his anger and eliminates the evil, and donates the disabled to kill. What I want is the general."""
25,人欢马叫,"Qing Cao Xueqin's ""A Dream of Red Mansions"" Chapter 122: ""Now my body is suffering from ten diseases and nine pains, and your second sister-in-law is also good for three days and two days."""
26,如鲠在喉,"Han Liu Xiang's ""Shuoyuan ,  Tan Cong"": ""Ten steps of the lake, there must be herbs; ten houses of the city, there must be loyal men."" Between, there must be lush grass; in the town of ten houses, there must be handsome men.”"
27,齐心合力,"""Book of Jin, Xiong Yuanzhuan"": ""The only place where people's hearts return is Taoism and righteousness."""
28,迁怒于人,"Han Han Ying's ""Han Poetry Biography"" Volume 1: ""To be ordered into the imperial court is like going to a soup fire."""
29,取精用弘,"In the Southern Song Dynasty, Liu Yiqing's ""Shishuo Xinyu, Literature"": ""When Xie An was young, he asked Ruan Guangluo to say ""The White Horse"" as a way of expressing his gratitude. When Xie did not, he immediately explained Ruan's words and consulted each other again. Ruan Nai sighed: 'Not only is it impossible to speak to people, but it is also impossible to understand people.'"""
30,裙带关系,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 120: ""The daughters of nobles are all from the sea of love and evil."""
31,偏信则暗,"""Zhuangzi, Xu Wugui"": ""The man who escapes from the void, the quinoa and the pillars are close to the path of the weasel, and they stand in the void, and they are delighted to hear the sound of people's footsteps."""
32,难以为继,"""Historical Records: Five Emperors Ben Jizan"": ""If you are not eager to learn and think deeply, and you know the meaning in your heart, it is hard to be shallow and ignorant of the Tao."""
33,年逾古稀,"Song Su Shi's poem ""Second Rhyme Qin Guan... Will Enter Beijing Ying Ju"": ""A thousand gold evil brooms can be exchanged, and I am also submerged. How long does it count."""
34,内省不疚,"""Southern History: Emperor Xiaowu of the Song Dynasty"": ""You are young and clever, and your gods are brilliant. You can read all the seven elements, and your talents are very beautiful."""
35,能不称官,"Jin Wang Jia's ""Supplementary Notes"", Volume 6: ""The pets are all served with jade, so Tokyo is called the Golden Cave of Guojiaqiong Kitchen."""
36,妙手偶得,"""Taiping Yu Lan"" volume 40 quotes ""Three Qin Ji of Xin"": ""There is a dragon gate in Hejin, and there are still traces of giant spirits, and he goes to Chang'an for 900 miles. There are thousands of big fish in the river and sea. Dragon, so the cloud storms the dragon gate."""
37,莫此为甚,"""Poetry, Xiaoya, Sigan"": ""It is the place where a woman is born, the place where she sleeps, the jacket of her clothes, and the tile of her work."""
38,荦荦大端,"""Book of Shangjun Rewards Punishment"": ""Therefore, if adultery is forbidden, it should not be punished with severe punishment; if the punishment is severe and must be obtained, the people will not dare to try it. Therefore, the country does not punish the people. The country does not punish the people. '"""
39,来处不易,"Tang Hanyu's ""Preface to Sending Stones to Servants"": ""As soon as Bole passed the wilderness in northern Hebei, the horses were empty."""
40,利不亏义,"The Northern Qi Dynasty Yan Zhitui's ""Yan's Family Instructions: Preface"": ""In memory of the fingers of the past, remember the muscles and bones."""
41,九天揽月,"""Book of Jin: Biography of Wang Cheng"": ""Cheng tasted that Yan said: 'Brother's shape is like the Tao, but the spirit is too handsome.' Yan said: 'It is not as good as Qing Luoluo Mu Muran.'"""
42,积水成渊,"Tang Zhang Huaijin's ""Book Discussion"": ""A feather of a lin and phoenix, a piece of turtle and dragon, and everything is recorded."""
43,荆棘载途,"""Yuan Shi Wanze Biography"": ""Since Yuan Zhen, the imperial court has abided by the constitution, issued edicts repeatedly, distributed wealth and made millet, and did not hesitate to give it to the people."
44,回光返照,"""Xunzi ,  Fuguo"": ""There are tricks and tricks to deceive, the overthrow of power and conspiracy, the inversion of the phase, and the embarrassment of it."""
45,祸福相依,"""The Biography of Li Gu in the Book of the Later Han Dynasty"": ""After Yao died, Shun admired him for three years. When he sat, he saw Yao on the wall, and when he was eating, he saw Yao on the soup."""
