,Chengyu,Explanation
0,以一知万,Writing about people - mindfulness - (2) thoughts - thinking
1,牙牙学语,A comprehensive assessment of whether the claims of things match the reality.
2,永矢弗谖,A metaphor for a despicable and sinister person.
3,迎来送往,Describe the exquisite calligraphy.
4,同心合力,"To come down from a high tree and burrow into a deep pit and valley. It is a metaphor for abandoning the light and going from the dark, or moving from a good situation to a bad one."
5,贪心不足,献：意贡献的意思；曝：晒太阳。 It is a metaphor for the self-effacement expressed by offering objects or opinions to others.
6,退思补过,It is a metaphor that the heart of a friend is promised and will not be changed by the death of a person.
7,慎终追远,Writing about people - speech - (1) talk - good speech
8,慎终如始,Indicates that one handles things with extreme fairness.
9,神州陆沉,It is a metaphor for not forgetting one's roots.
10,食指大动,I hate humidity but I live in a low-lying place. The metaphor is that the action is contrary to the desire.
11,事预则立,"It is as dangerous as the dew in the early morning, which will disappear as soon as the sun comes out. It is a metaphor for an extremely dangerous situation."
12,夙夜在公,Describe the housing breakage and leakage.
13,胜友如云,It means that you should choose your neighbor to find housing.
14,书声琅琅,"Promise: promise. A call from the hall was met with unanimous agreement. In the olden days, the powerful noblemen were so powerful that they had many attendants and flatterers."
15,恃强凌弱,A metaphor for a collegial relationship (mostly referring to military personnel).
16,数见不鲜,Hand Ze: moistened by hand sweat. It refers to the relics of the ancestors.
17,水火之中,Sangzhong: Between mulberry forests. It refers to the secret appointment of a man and a woman's rendezvous.
18,身怀六甲,Writing about people - Virtue and talent - (5) Humility - Modesty
19,师道尊严,Writing - Situation - (5) Military - Combat
20,树德务滋,"Indulge: to let go; pass away: to disappear. It disappears with a little relaxation. Describe how easily time or opportunity, etc., passes."
21,势不可挡,Reason - Success or Failure
22,仁义道德,Things work out because of strict caution.
23,人事代谢,"Appreciate the heart: a cheerful mood. A cheerful mood, something happy."
24,如临深渊,Matching evidence: verification. The person in question is dead and the facts cannot be verified.
25,人欢马叫,"豕：猪；突突：猛冲。 Like pigs rushing, like wolves running. Describe the hordes of bad guys rushing around and scratching everywhere."
26,如鲠在喉,"Pupil: pupil, referring to the eye. Describe the eyes clear and bright."
27,齐心合力,One does not have a certain idea of going with the trend.
28,迁怒于人,Reason - Cause and Effect
29,取精用弘,A disease caused by feeling wind and cold.
30,裙带关系,Writing about people - experience - (3) situation - poverty
31,偏信则暗,Describe things like lightning and stone fire fade away in a flash.
32,难以为继,Writing about people - speech - (4) arguments - way
33,年逾古稀,Good: wipe; good knife: wipe the knife clean. Wipe the knife clean and store it away. It is a metaphor for stopping at the right time and restraining oneself.
34,内省不疚,Writing about events-situations-(1) the way of the world-rule of the country
35,能不称官,Writing about people - physical -_- (4) sickness and weakness
36,妙手偶得,Writing about people - mind -_-(21) comprehension
37,莫此为甚,Hands and feet: a metaphor for brothers. A metaphor for brotherly affection.
38,荦荦大端,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
39,来处不易,Writing about people - Address - (3) Identity occupation - Officials
40,利不亏义,It is a metaphor for the profound attainment in writing.
41,九天揽月,"See: be; donate: discard. After the cool of autumn, the fan was cast aside and not used. In the old days, it was a metaphor for a woman being abandoned by her husband."
42,积水成渊,It is better to look up to others than to work on your own.
43,荆棘载途,It is a metaphor for the peace of the world.
44,回光返照,Describe the heart understanding.
45,祸福相依,Writing objects-objects-_-food
46,惠风和畅,Writing about people - virtue and talent - (23) parochial - eccentric
47,国无宁日,Pun: wide; Junyan: people of great talent. Soliciting wise people from all directions.
48,瓜瓞绵绵,It is a description of a person who can speak well and is a good speaker.
49,非我族类,It is a metaphor for diligent study.
50,俯首帖耳,"Words that sound uncomfortable (mostly sharp, pertinent advice or criticism)"
51,恶有恶报,The metaphor is that a person who does not learn is like standing facing a wall and seeing nothing.
52,恩德如山,See with your own eyes and hear with your own ears.
53,定于一尊,Mizi: remedy; Que: fault. Remedy the faults of acting.
54,堤溃蚁穴,Writing about people - Virtue and talent - (2) Ambition - Promising
55,登高望远,Writing - Situation - (3) Economy - Circulation
56,斗而铸锥,Writing about things-opposites-(5) similarities and differences-differences
57,重峦叠嶂,Writing about people - Experiences - (1) Experiences - Marriage
58,橙黄橘绿,It is a metaphor for a person who reads a lot and is knowledgeable in literature.
59,春回大地,The worms that are used to eating polygonum (a kind of grass with a spicy taste) no longer feel that polygonum is spicy. The metaphor is that a person will go out of his way for what he wants.
60,传道受业,"It is a metaphor for an enemy that is easy to destroy, just like a louse in the mouth. Therefore, it is also called ""lice in the mouth""."
61,踟蹰不前,"Can be seen, but not reached or approached. It is often used as a metaphor for something that cannot be achieved at present."
62,不拔之志,There is no doubt about the position you are in.
63,下车伊始,Convex chest and hunchback.
64,精卫填海,"Raise: propose; strategy: scheme, method. There is no miscalculation in the proposed scheme. Describe the wisdom and resourcefulness."
65,毁家纾难,I was in the painful situation of running around for food and wine all day long.
66,夙夜匪懈,As hard as metal and stone. Describe as extremely hard or strong.
67,不经之谈,Writing matter - situation - (4) rule of law - public security and justice
68,不二法门,Writing - Situation - (3) Economy - Management
69,见贤思齐,Adding a few hairs to a person's face when painting a portrait. The metaphor is that the article is more brilliant after being embellished.
70,茕茕孑立,A metaphor for the age of youth.
71,安身立命,A metaphor for the preciousness of family letters.
72,反求诸己,It is a metaphor for the accumulation of small things into big things.
73,窥豹一斑,"Golden tongue: a tongue made of gold; cons: broken. A tongue made of gold, talking in vain. The metaphor is to talk a lot and waste one's time."
74,瓦釜雷鸣,Ji and Qun: the names of people. Chen Ji is the father of Chen Qun. It is a metaphor for the friendship of accumulated life.
75,筚路蓝缕,"The original refers to the painting carefully painted the subtle and insignificant points, but ignored the overall appearance. Later, it is used as a metaphor for paying attention to the small points but neglecting the big ones."
76,如臂使指,Pen prison: a place where cattle and horses are kept. Livestock kept in pens. A metaphor for people who are driven by others and have no freedom.
77,弹冠相庆,Do something sincerely and with all your strength.
78,甚嚣尘上,I would rather be a small and clean chicken beak than a big and smelly cow anus. The metaphor is that one would rather be autonomous in a small situation than be dominated by someone in a large situation.
79,大而化之,Relief for those who love the poor and needy.
80,魑魅魍魉,Writing about people - virtues and talents - (19) arrogance - arrogance
81,沐猴而冠,几：苗头；作：作行动。 It means to take immediate action when the slightest hint is found.
82,韦编三绝,The metaphor is that the virtue and talent cultivation exercise is very good.
83,伊于胡底,Ancient and modern hatred. The description is extremely emotional.
84,鞭辟入里,He comes when he is told to come and goes when he is told to go. Describe the ruling class's arbitrary ordering of subordinates or lackeys.
85,见猎心喜,Writing about people - experience - (3) situation - poverty
86,间不容发,Cold heart: war corn in the heart; sour nose: nose sour. Describe the fear and grief in the heart.
87,如芒在背,垆：土墩子 where the wine urn is placed; 黄垆：黄公酒垆; 痛：痛痛。 Collecting the words of deceased friends.
88,胼手胝足,"By telling one point, one can know the other. The metaphor is that one can understand the relationship between cause and effect of things, and know the other according to this."
89,积年累月,Writing about events-situations-(1) the way of the world-unrest
90,予取予求,Writing about people - Acting - (2) Style - Casual
91,怙恶不悛,Feudal superstition refers to the achievement of merit and perfection of Taoism.
92,坐言起行,The dry canopy flies with the wind. The metaphor is that a person has no opinion and his attitude changes with the situation.
93,嘉言懿行,The ruler who panders to the faint-hearted ruler and leads him to do bad things.
94,视民如伤,Writing about people - Virtue and talent - (2) Ambition - Promising
95,掠人之美,Extraordinary: not usual. Not an ordinary conspiracy. Refers to a conspiracy to usurp the imperial throne.
96,上下其手,Writing about events-situations-(1) the way of the world-unrest
97,止于至善,A metaphor for a couple separated or separated.
98,令人齿冷,"Separate: to distinguish, to distinguish; Ministry dwelling: to categorize by ministry. Sort and arrange."
99,一以贯之,"Originally, it refers to the aversion to replacing right with evil. Later, it was used as a metaphor to describe the use of evil to win over right, and the use of heresy to fill the righteousness."
100,新发于硎,It refers to two families that are related by marriage.
101,如椽大笔,The favor was as great as giving a second life.
102,陈言务去,Moth eyebrows: curved and long eyebrows like the tentacles of a silkworm moth. Long eyebrows and white teeth. Describe the beauty of a woman's appearance.
103,进退失据,"Like the wind blowing behind the ear. Describes the sensation produced at the back of the ear during intense, rapid movement."
104,力透纸背,"When there are many moths, the wood will break. Metaphorically, when there are more unfavorable factors, it can cause calamity."
105,笙磬同音,"It means not to do everything, but to leave a margin."
106,尝鼎一脔,"A small ant's nest can make the bank break down. The metaphor is that if you don't pay attention to small things, you can make a big mess."
107,乐以忘忧,Writing about people - Experiences - (3) Situations - Wealthy
108,明日黄花,"Originally, it is the name of an ancient zither song. Later, it is a metaphor for a person who has lost his spouse."
109,殷鉴不远,Writing about people-looks-(3) attire-not complete
110,美轮美奂,"Originally, it means that Confucius' way is so profound and extensive that the world cannot accommodate him. Later, it is used to say that the correct truths are not accepted by the world."
111,徒托空言,Writing - state of affairs - (1) act - misconduct
112,升堂入室,Refers to the immediate situation.
113,天涯比邻,Blessed by the blessing of God.
114,遗世独立,Writing - Interaction -_- (5) Speech
115,人亡政息,Refers to the few bricks and wood left after a building has suffered damage.
116,望秋先零,Holding an urn of water to irrigate. The metaphor is that it takes a lot of effort but little effect.
117,渴而穿井,"According to legend, horse liver is poisonous and can kill a person if eaten. The metaphor is not to study what should not be studied."
118,梯山航海,"傍：通：""beside"". Look aside with cold eyes or indifference."
119,吹影镂尘,Writing objects-objects-_- metaphorical objects
120,朝乾夕惕,Pride must not grow.
121,守望相助,"The more you look at the silk without finding the head, the more chaotic the result. It is said that the problem is not solved in the right way, but makes the problem more complicated."
122,念兹在兹,A frying pan of food and a scoop of drink. It describes a scholar who is content with a poor and noble life.
123,放辟邪侈,Writing about people - feelings - (2) delighted - happy
124,春和景明,"There will be no intact eggs in an overturned bird's nest. It is a metaphor for the destruction of a family, and no one will be spared. It is also a metaphor for the destruction of the whole, and the individual will not survive."
125,敬老慈幼,Writing - State of affairs - (4) Degree - Profound
126,半丝半缕,Writing about people - experience - (2) life and death - death
127,亘古亘今,"Foundation: the root of a tree. Make the root deep and solid, not easy to shake. Metaphorically, the foundation is firm and not easily shaken."
128,不可移易,Water and land: refers to the precious food produced by water and land. All kinds of mountain treasures and seafood are displayed. Describe the abundance of dishes.
129,不舍昼夜,Writing about people - Virtue and talent - (4) Sincerity - Sincerity
130,仆仆风尘,Writing about people and their emotions -_- (16) Peace of mind
131,以一持万,Writing about people - Virtue and talent - (17) Fierce and vicious
132,安于一隅,"Dwelling: sitting, lying down; mat: matting supplies. Sitting and lying down without two mats, referring to the frugal and economical life"
133,涣然冰释,Weeping: crying in a low voice; Snot: snot. Tears are like rain. Describing extreme sadness
134,皓首穷经,"Advance an inch, retreat a foot. The metaphor is to gain less and lose more."
135,发愤忘食,"Riding a fat horse and wearing a light, warm leather coat. Describe the richness."
136,鲍鱼之肆,exhausted: exhausted; sick: overworked. The money was exhausted and the people were tired
137,不测之忧,The square peg does not fit into the round chisel. The metaphor is that the pegs do not fit together.
138,从善如登,Writing about things-opposites-(5) similarities and differences-differences
139,韬光养晦,The metaphor is to achieve victory at once.
140,来者可追,Writing - Situation - (7) Culture and art - Others
141,驽马十驾,Put the pillow to sleep. The metaphor is that there is no need to worry about anything.
142,人神共愤,粲花：vivid flowers; 论：speech. Describe the exquisite speech of a person
143,丑态毕露,"径情：任意，隨心；遂：成功。 With the will, smoothly get success."
144,合浦珠还,It is a metaphor for relative fretfulness when the situation is difficult and unthinkable.
145,案牍劳形,Writing about people - Virtue and talent - (6) Integrity and honesty
146,冯唐易老,Ice and charcoal cannot be put in the same appliance. The metaphor is that things of different nature are mutually exclusive and incompatible.
147,刮垢磨光,Facing the wall: Buddhist term for sitting in silent meditation facing a wall. A monk facing the wall in meditation is very deep in Taoism. It is a metaphor for someone who is very profound in a certain aspect.
148,节用裕民,It is a metaphor for being upright and unafraid of power and authority
149,临池学书,Writing about people-looks-(2) demeanor-awesome
150,扼腕叹息,The appearance posture is beautiful and delicate to the extreme.
151,讲信修睦,"Society: land temple. The fox on the city wall, the mouse in the temple. It is a metaphor for the villain who relies on power to do evil and is difficult to get rid of at once."
152,云谲波诡,Writing about things-opposites-(5) similarities and differences-differences
153,明刑弼教,The possessions obtained by improper means will also be taken by others by improper means. The money that you get haphazardly and spend it haphazardly.
154,朝斯夕斯,Writing about people - virtue and talent - (13) talent - talent
155,克己复礼,Take from: reduce; : add to. Take the extra side and add to the missing side. The metaphor is to accept more advice from others to make up for one's own shortcomings.
156,齐家治国,Writing matter-situation-_-(2) Administration
157,近悦远来,"With: according to; system: formulate, take; appropriate: suitable measures. According to the prevailing situation, appropriate measures were taken."
158,厚德载物,"The arching of the hand and the forehead are in line with each other, which is the ancient meaning of expressing celebration."
159,敬业乐群,"亡：Lose, die; 息：Abort, extinguish. It used to refer to the death of a person who held power, and his political measures came to a halt with him."
160,无偏无党,"Bribe: property; Art: standard, guideline, and by extension, law, limit. There is no limit to the greed for possessions. Refers to the reactionary ruling class scrounging the people's wealth without limits."
161,昂霄耸壑,Writing about people - Experiences - (1) Experiences - Marriage
162,高岸深谷,Writing about people - Talking - (1) Talking - Talking a lot
163,民胞物与,Writing about people-Mindfulness-_-(1) Thinking
164,黄钟大吕,Always bring writing utensils for writing.
165,名缰利锁,It is a metaphor for not changing the friendship between the poor and the rich because of the rich and the poor.
166,多端寡要,describe as cautious and careful
167,怪力乱神,Sensible and reasonable.
168,草长莺飞,The beginning: the beginning; the end: to follow up the above and elaborate; the turn: the turn; the end. Generally refers to the practice of writing. It also refers to the fixed and stagnant form.
169,荆棘铜驼,Pivot: the pivot on the door; urn: a simple window. Using a mulberry tree as the door shaft and a tile jar as the window is a metaphor for a poor family.
170,秕言谬说,Describe the seven upside down. It also means that things are not going well.
171,躬逢其盛,Describe the family's poverty and hardship
172,和而不同,"If you are appointed, you will come out to work, but if you are not appointed, you will retire. This was the attitude of the early Shih Daifu in the world."
173,作如是观,"The description is that the trail is wandering, just like running water and floating duckweed."
174,击楫中流,"Case: through the ""press"", hand touch; Bing: weapons; bundle: bundle; armor: armor. Put down the weapons and bundle the armor. Refers to stop fighting"
175,光复旧物,Be careful and cautious in dealing with people.
176,利用厚生,"The fox is suspicious, just buried something, and then dig out to see. The metaphor is that the fox has too many doubts and cannot accomplish anything."
177,一瓣心香,The young and strong are valued while the old and weak are despised.
178,临事而惧,The leather robe is torn and the money is used up. A metaphor for a difficult situation.
179,明德惟馨,Describe the soft voice and obedient attitude.
180,蒲柳之姿,To save on food and clothing means to save on clothing and food in life
181,读书种子,talkative
182,哲人其萎,"Shoulders rubbing against shoulders, wheels colliding with wheels. Describe the crowded traffic of pedestrians and vehicles."
183,桴鼓相应,Eat dry food and wild vegetables. Describes a life of hardship.
184,和气致祥,Describe the women's clothing and dress is very gorgeous (mostly refers to the occasion of many people).
185,铸剑为犁,Refers to something that stands on top of the sky
186,鸿鹄将至,Wasted time: time consumed in vain. Life wasted years and delayed their future.
187,止戈为武,Writing about things-situations-(1) worldly ways-other
188,折戟沉沙,Generally refers to the dream world. It is also a metaphor for an empty joy.
189,一鸣惊人,Lapel and train: Generally refers to human clothes. Horses and cows wear human clothes. A metaphor for people who do not know how to be polite. It is also a metaphor for a clothed animal.
190,沾沾自喜,"It refers to family, friends or brothers reuniting after a long time and having a cordial conversation together."
191,不寒而栗,"Yin: sun and shadow, light and yin; inch of yin: refers to the extremely broken time; Bik: jade, flat and round, with a hole in the middle. An inch of light and time is more valuable than a foot of jade. Describe the preciousness of time"
192,老当益壮,It describes the appearance of a thin and emaciated body that has been devastated by excessive grief over the loss of a parent.
193,穷凶极恶,"It's not just that. That is, not only that."
194,死灰复燃,Writing events - state of affairs - (6) association - connection
195,夜郎自大,Pleasure is like poison. It means that the desire for enjoyment is the same as drinking poisonous wine to commit suicide.
196,见利忘义,Describe the hard work of walking a long way.
197,多多益善,That's all for now.
198,独当一面,One person takes on two tasks.
199,破釜沉舟,I didn't expect it to be like this but surprisingly so.
200,后来居上,"The metaphor is to take the other party's views, methods or remarks to refute the other party."
201,高风亮节,Writing about things - situations - (1) the world - fighting
202,安居乐业,Writing things-opposites-(9) true-false-true
203,一举两得,There is no need to tell anyone outside. Now it is mostly used to ask others not to tell other people about it.
204,得心应手,"毋寧: the same as ""無寧"", rather than, rather than. If I lose my freedom and sovereignty, I would rather die."
205,起死回生,Writing - Situation - (1) World - Save the country
206,见异思迁,"Say what you want, you can't change it."
207,外强中干,Writing - Situation - (5) Military - Strategies
208,日暮途穷,The ordinary person will be right once in many considerations.
209,有备无患,Writing about people - Virtue and talent - (5) Humility - Modesty
210,有名无实,The metaphor is that one only seeks to be able to settle down and does not choose the place.
211,临危不惧,Writing about people - Experiences - (3) Situations - Adversity
212,倒行逆施,"It is not enough to compare with the top, but more than the bottom."
213,幸灾乐祸,"Add the knee: put on the knee; fall into the abyss: push into the abyss. It refers to the unprincipled, emotional attitude of love and hate towards others, all based on one's own good or bad decision"
214,两袖清风,"When you like a person, you always want to call him alive. It means to treat people with extreme personal love and hate"
215,前功尽弃,"Metaphorically, after driving away one enemy, another one comes."
216,明察秋毫,"Those who are good at using the army always avoid the enemy's initial momentum, and then strike hard when the enemy is tired."
217,出尔反尔,The metaphor is to learn the lesson of others' failure and be careful so as not to fail again.
218,一毛不拔,Describing having nothing and being poor to the point of having no place to stand
219,水深火热,"Describes a person who is resourceful and flexible, and can observe and analyze many things."
220,曲高和寡,"General: to command, to direct. Metaphorically, the more the merrier."
221,九死一生,"When a snake bites the wrist, it is immediately cut off to prevent the venom from spreading to the whole body and endangering the life. It is a metaphor for the determination to make a decisive decision when the matter comes to a critical moment. It also refers to the sacrifice of a part to take care of the whole situation."
222,墨守成规,It is a metaphor for beating A and frightening B. It is also a metaphor for connecting people who are not guilty.
223,纸上谈兵,It is a metaphor for the mutual induction between things.
224,同流合污,The description is rigid and does not know how to adapt.
225,四分五裂,It is a metaphor for taking others' words as a deaf ear.
226,狐假虎威,Ney: black soil. White fine sand mixed in black soil naturally becomes black. The metaphor is that good people in a bad environment will also gradually become bad
227,花言巧语,"Those who say it are sincere, but those who listen do not take it to heart."
228,脚踏实地,Writing about the event - the state of affairs - (3) the result - falls short
229,胸有成竹,The peoples of the world are like brothers.
230,明目张胆,"Having experienced something firsthand, you can grow your knowledge about it"
231,口蜜腹剑,A hundred of me would not have brought you back. I would like to express my deepest condolences.
232,走马观花,"The wings of the cicada are seen as heavy, and the weight of 30,000 pounds is seen as pro-light. The metaphor refers to the reversal of right and wrong and the confusion of truth and falsehood."
233,司空见惯,"Describe the loss of their bodies due to the loss of their relatives, thin and barren as bones and bones stand"
234,双管齐下,Ask the letter carrier to send plum blossoms. It is a metaphor to express one's longing to a distant friend.
235,道听途说,Writing things-opposites-(1) how much-more
236,乘风破浪,Writing about people - mind -_- (8) difficult (helpless)
237,一筹莫展,Holding the sword upside down and giving the hilt to someone else. The metaphor is to give someone else the power and suffer the consequences for oneself.
238,黑白分明,"Writing about events - state of affairs - (3) results - opposite, inconsistent"
239,迫不得已,Writing about people - Virtue and talent - (4) Sincerity - Sincerity
240,沧海一粟,Change the square to the round. The metaphor is to de-strict and simplify the criminal law.
241,孤注一掷,It is a metaphor for being aloof and arrogant. It also refers to not relying on others.
242,出类拔萃,Writing about people - virtues and talents - (19) arrogance - arrogance
243,得过且过,Writing about people - virtues and talents - (13) talents - intelligence
244,囫囵吞枣,To bear: to suffer; Hu: blessing. To be blessed by God
245,痴人说梦,"Block: wall, dwelling. Old: original. Like the original mutual peace and quiet."
246,忍辱负重,Writing things-opposition-(7) safety and security-an
247,如鱼得水,The side of the ugly: the low status but virtuous and talented sage. Mingchai recommends people of low status but with both virtue and talent.
248,死不瞑目,Writing about people - Address - (3) Identity occupation - Officials
249,赤膊上阵,"Punishment by the order of Heaven. In ancient times, it was called the use of the army by the Son of Heaven."
250,不识时务,Refers to only knowing one or two
251,半途而废,"Buddhist language, referring to Zen enlightenment, transmitting the mind with the heart, not involving words and language"
252,力不从心,Not a word.
253,望尘莫及,必：一定，必必；挠北：defeat，作战失败。 Must not fail
254,入木三分,Writing - Situation - (5) Military - Combat
255,嫁祸于人,Writing things-opposites-(4) right and wrong and others-right and others
256,刮目相看,裂：rupture; 包：wrap. Refers to the eagerness to run away
257,视死如归,Refers to a married woman who is having promiscuous relationships again.
258,抱残守缺,Writing about people - Experiences - (1) Experiences - Marriage
259,义无反顾,Do not stick to the old set.
260,背水一战,Writing about people - Acting - (2) Style - Reform
261,势如破竹,Shift: transfer; Yi: change. Cannot be shaken or changed. Describe unshakeable
262,一败涂地,Refers to being looked down upon.
263,各得其所,It is a metaphor for being slandered and suffering from injustice.
264,赴汤蹈火,Got: can; Er: so. Had to.
265,一诺千金,It is like sitting in the clouds and fog. The metaphor is that the mind is confused and cannot distinguish things.
266,口若悬河,Writing about people - virtues and talents - (2) ambition - having ambition
267,信口雌黄,Soup: boiling water; fire: war fire. Refers to defying the danger
268,杯弓蛇影,"Having 10,000 volumes of books is better than a great official who manages a hundred cities. The metaphor is that the collection of books is extremely rich."
269,管中窥豹,博：广博：籍：books. Extensive and proficient in classical literature. Describe people who are learned and knowledgeable.
270,华而不实,The metaphors are far apart and very different.
271,不卑不亢,"Habit: habit, adaptation. Refers to the inability to adapt to the climatic conditions or eating habits of a place"
272,按图索骥,Writing objects - Time - _ - Passing
273,尽善尽美,Don't copy the old ways. It means that changes should be implemented according to the actual situation.
274,畏首畏尾,Writing - Situation - (1) World - Revolution
275,言不由衷,Seasonable: fashionable and trendy. Not suitable for the trend and tendency
276,唯利是图,"In the old days, it meant to live in temporary seclusion and wait for the right time."
277,叶公好龙,It is a metaphor for not knowing shame.
278,名列前茅,Writing about people - Virtue and talent - (14) despicable - shameless
279,退避三舍,Servo: To deceive and falsify. To confuse people with deception
280,尔虞我诈,Tu: rotten mud; Charcoal: charcoal fire; Tu char: a metaphor for a filthy place. Sitting on rotten mud and charcoal fire. A metaphor for being in an unbearable situation
281,三令五申,"Sheng: to be able to bear, to be able to bear. The body cannot bear the weight of the clothes. Describes a thin body. Also describes the modest retreat."
282,断章取义,Writing about people - physical -_- (4) sickness and weakness
283,一朝一夕,Writing about people - Acting - (2) Style - Reform
284,高枕无忧,"Bamboo and silk: Bamboo slips or white silk used for writing, lending to canonical books and history books. The name is enshrined in the annals of history and passed down to future generations"
285,事半功倍,Refers to writing in another way and being able to innovate.
286,自相矛盾,"Writing about things, situations, (7) culture and art, writing attitude skills, etc."
287,不学无术,Writing things-opposites-(9) true-false-false
288,名正言顺,Writing things - situations - (4) rule of law - bad behavior
289,人杰地灵,Refers to inconsistent legends.
290,目不识丁,Writing about things-oppositions-(4) right and wrong and others-errors and others
