CORRELATIONS,FIRST,SECOND
0.9667992601632011,kidney,stroke
0.9593223623151224,diabetes,kidney
0.9415457036904272,diabetes,stroke
0.924440443946334,mhlth,teethlost
0.9176362397158121,lpa,phlth
0.911766822599916,copd,stroke
0.9106568264902115,bphigh,stroke
0.9101655443214568,copd,phlth
0.9087468752744708,kidney,phlth
0.9065298792548359,phlth,teethlost
0.9019851897754794,colon_screen,dental
0.8986515755104292,chd,kidney
0.8982289199588216,arthritis,chd
0.8981770121168346,csmoking,teethlost
0.8935894720517654,bphigh,diabetes
0.8932497429677562,csmoking,mhlth
0.8931610732624037,lpa,teethlost
0.890706256169245,diabetes,phlth
0.8806276374744608,chd,copd
0.8801182320633518,copd,kidney
0.8800639494192484,chd,highchol
0.8792091645573599,chd,stroke
0.876823456468642,bphigh,kidney
0.8756129569024138,phlth,stroke
0.8671115867693341,arthritis,bphigh
0.8636934432950988,diabetes,lpa
0.8597569176584736,mhlth,phlth
0.8548592272963234,bphigh,chd
0.8483804561528192,corew,dental
0.8429333853607126,copd,teethlost
0.8419054181826705,corem,corew
0.8367515893668621,copd,diabetes
0.8347725313026637,colon_screen,corew
0.8313926915825811,kidney,lpa
0.828408922561077,csmoking,obesity
0.82720864606928,obesity,teethlost
0.827047072894515,chd,diabetes
0.8256014351404254,arthritis,highchol
0.8241594106425655,bphigh,copd
0.8229818159974784,copd,csmoking
0.8177197670317853,obesity,phlth
0.8169965222233465,stroke,teethlost
0.8166271980780677,arthritis,bpmed
0.8149860463637462,arthritis,copd
0.8138560696440152,csmoking,phlth
0.8132787075165406,lpa,mhlth
0.8095217087274763,lpa,obesity
0.8069562687149743,copd,lpa
0.8014180453835936,bphigh,highchol
0.8008470165927931,casthma,teethlost
0.8006573344737088,casthma,csmoking
0.7954150957243482,arthritis,stroke
0.7938755613235512,access2,lpa
0.7938337147512773,lpa,stroke
0.7917504962762772,kidney,teethlost
0.7904542369225347,diabetes,teethlost
0.7900340699623504,bpmed,highchol
0.787572619412868,csmoking,lpa
0.7850184843340131,corem,dental
0.778130171622578,chd,phlth
0.7777943749764507,diabetes,obesity
0.7776880205173617,casthma,mhlth
0.7766180757299033,highchol,kidney
0.7663918615137321,mhlth,obesity
0.7632691829678904,obesity,stroke
0.7605565929052934,copd,obesity
0.7592495340227702,bphigh,bpmed
0.7585196697962852,arthritis,kidney
0.7535614934992096,diabetes,highchol
0.7533111614976243,copd,mhlth
0.7503871176093266,casthma,sleep
0.7503342495784209,cholscreen,colon_screen
0.7498020155849956,lpa,sleep
0.7487563064480679,colon_screen,corem
0.7445216597666111,bphigh,phlth
0.7355753142333664,kidney,obesity
0.7320499532151508,bphigh,obesity
0.7312688986973315,casthma,copd
0.7261897895755481,sleep,teethlost
0.7243297065933633,mhlth,sleep
0.7223602960388943,casthma,obesity
0.7218646460432069,bpmed,checkup
0.7203649969113781,highchol,stroke
0.7193265480931227,csmoking,sleep
0.7183832547151989,bpmed,chd
0.7179661981427439,casthma,phlth
0.717111031993167,cancer,cholscreen
0.715751859585625,bpmed,cancer
0.7156831522518409,copd,highchol
0.7086794901461692,arthritis,diabetes
0.707594329640452,casthma,stroke
0.7036698187610754,cholscreen,dental
0.7014920780219984,access2,phlth
0.7009937829854814,phlth,sleep
0.7003935543627267,diabetes,sleep
0.6988841306123823,csmoking,stroke
0.6889741649492473,bphigh,lpa
0.6805039783582694,access2,mhlth
0.6772701466736987,access2,teethlost
0.6765291917564344,obesity,sleep
0.674938690333858,chd,lpa
0.6594223601466701,highchol,phlth
0.6551129849810005,bphigh,checkup
0.6538862401508991,arthritis,cancer
0.6535996693916954,casthma,lpa
0.646347332536697,casthma,diabetes
0.6461652410433492,bphigh,teethlost
0.6459155783137149,mhlth,stroke
0.6455770101862621,sleep,stroke
0.644892780107708,csmoking,diabetes
0.6439967585173384,cholscreen,corew
0.6363953912830833,arthritis,phlth
0.6361497672412499,kidney,mhlth
0.6358054898120539,casthma,kidney
0.6350434962306387,csmoking,kidney
0.6323181704443953,diabetes,mhlth
0.6301411668600575,access2,obesity
0.6284774855503671,copd,sleep
0.616468857327146,chd,teethlost
0.6093941046577294,kidney,sleep
0.6054045026094609,bphigh,casthma
0.5917244103272071,arthritis,checkup
0.5905491847523193,bphigh,sleep
0.5852580520595334,highchol,lpa
0.5829189418367562,bpmed,stroke
0.5824518233887858,bphigh,csmoking
0.5809958011796476,access2,diabetes
0.5745965694950244,cancer,highchol
0.570902616292993,chd,obesity
0.5683465156000461,bpmed,diabetes
0.5654528105680583,binge,dental
0.565348532285741,arthritis,obesity
0.562560956181943,mammouse,paptest
0.5625322604992831,bpmed,kidney
0.5574831397275573,cholscreen,corem
0.5545622350072161,access2,kidney
0.5531275799723852,cancer,chd
0.5370135915415158,access2,csmoking
0.53673657212814,bpmed,cholscreen
0.523308062033675,chd,csmoking
0.521391034178268,arthritis,casthma
0.5154508378995342,bpmed,copd
0.5106191767588422,checkup,mammouse
0.506050138830077,arthritis,csmoking
0.5050726793411795,arthritis,lpa
0.4932910044072998,checkup,stroke
0.49071972889928295,highchol,obesity
0.48887409919746977,arthritis,teethlost
0.48367991014241185,chd,checkup
0.47796911366705497,cancer,colon_screen
0.47532170023851444,checkup,diabetes
0.47415080440618607,casthma,chd
0.47142338010384416,checkup,cholscreen
0.4668523411483395,binge,corem
0.4572594567992702,bphigh,mhlth
0.45233062131435686,access2,sleep
0.450216566294952,access2,stroke
