Name,Budget,Year
aiton,4966373.375,2014
aiton,3434876.66015625,2015
aiton,7429919.97265625,2016
aiton,3780814.0,2017
amidon bowen,4962177.875,2014
amidon bowen,4073932.3203125,2015
amidon bowen,8979878.361328125,2016
amidon bowen,4533018.0,2017
anacostia,16370975.25,2014
anacostia,9404692.639648438,2015
anacostia,18537017.59375,2016
anacostia,9238855.0,2017
ballou,23245264.75,2014
ballou,10612527.33984375,2015
ballou,21873208.021484375,2016
ballou,12748461.0,2017
ballou stay,5397793.875,2014
ballou stay,2969192.15625,2015
ballou stay,5708080.0625,2016
ballou stay,3570862.0,2017
bancroft,11478200.8125,2014
bancroft,6585319.7421875,2015
bancroft,13361405.8984375,2016
bancroft,6739758.0,2017
banneker,7665158.5,2014
barnard,13001610.625,2014
barnard,7574451.15625,2015
barnard,15199798.75,2016
barnard,7531184.0,2017
beers,9091846.5,2014
beers,5619802.8115234375,2015
beers,11026860.25,2016
beers,5511270.0,2017
benjamin banneker,4207675.2578125,2015
benjamin banneker,8774904.30859375,2016
benjamin banneker,4622883.0,2017
brent,7210303.0,2014
brent,3669021.01953125,2015
brent,7639787.947265625,2016
brent,3855869.0,2017
brightwood,12374728.25,2014
brightwood,8234063.03125,2015
brightwood,17816696.28125,2016
brightwood,8951669.0,2017
brookland,5857050.25,2014
brookland,3295307.609375,2015
brookland,7196200.390625,2016
brookland,3793656.0,2017
browne,7477012.3125,2014
browne,5376627.46484375,2015
browne,10587751.915039062,2016
browne,5147917.0,2017
bruce monroe,11627403.1875,2014
bruce monroe,6698644.921875,2015
bruce monroe,13989297.453125,2016
bruce monroe,6756915.0,2017
bunker hill,4573150.12109375,2016
bunker hill,2431546.0,2017
burroughs,7037388.0,2014
burroughs,4486006.46484375,2015
burroughs,7657455.7109375,2016
burroughs,3850677.0,2017
burrville,7559369.9375,2014
burrville,3880948.7646484375,2015
burrville,8266426.0361328125,2016
burrville,4070932.0,2017
c w harris,4000704.83984375,2015
c w harris,8655997.934570312,2016
c w harris,4268503.0,2017
capitol hill montessori,4307976.03125,2014
capitol hill montessori,3571586.6796875,2015
capitol hill montessori,6855939.9677734375,2016
capitol hill montessori school,3697662.0,2017
cardozo,10505625.25,2014
cardozo,10786286.80078125,2015
cardozo,25095524.0625,2016
cardozo,13473353.0,2017
choice,2219324.1875,2014
choice academy,1999900.0,2016
choice academy,1045389.0,2017
choice academy ,940467.33984375,2015
cleveland,6828042.125,2014
cleveland,3621693.3203125,2015
cleveland,7495484.40625,2016
cleveland,4012949.0,2017
columbia heights,23769466.0,2014
columbia heights,13122257.0,2015
columbia heights,29569861.15625,2016
columbia heights,15103919.0,2017
coolidge,11243687.375,2014
coolidge,5694458.5,2015
coolidge,13010968.09375,2016
coolidge,6724146.0,2017
cw harris,4803358.1875,2014
deal,19237238.6875,2014
deal,12151560.0,2015
deal,23619739.84375,2016
deal,12417393.0,2017
dorothy height,12310488.6484375,2016
dorothy height,6502401.0,2017
drew,4375591.125,2014
drew,2792594.609375,2015
drew,6514431.6328125,2016
drew,3521707.0,2017
dunbar,9801597.5,2014
dunbar,7315902.6396484375,2015
dunbar,17457680.38671875,2016
dunbar,8919967.0,2017
eastern,10457455.625,2014
eastern,10559149.3203125,2015
eastern,22845764.2578125,2016
eastern,10952631.0,2017
eaton,8573395.1875,2014
eaton,4424652.0,2015
eaton,8591750.015625,2016
eaton,4295001.0,2017
eliot hine,8273041.625,2014
eliot hine,4142708.2998046875,2015
eliot hine,7871144.392578125,2016
eliot hine,3738793.0,2017
ellington school of the arts,12087196.0625,2014
ellington school of the arts,6239997.359375,2015
ellington school of the arts,12437825.6875,2016
ellington school of the arts,6791997.0,2017
empowering males,2809224.0,2017
empty,904096447.5,2014
garfield,4736130.125,2014
garfield,3304233.0,2015
garfield,7432684.8515625,2016
garfield,4272427.0,2017
garrison,6718294.375,2014
garrison,4215863.46484375,2015
garrison,8010140.216247559,2016
garrison,4031624.0,2017
h d cooke,5520513.85546875,2015
h d cooke,11088896.046875,2016
h d cooke,5632610.0,2017
hardy,8555100.109375,2014
hardy,4575747.0,2015
hardy,8880000.109375,2016
hardy,4464986.0,2017
hart,10633771.25,2014
hart,7178558.3203125,2015
hart,13644616.109375,2016
hart,6481193.0,2017
hd cooke,9702614.1875,2014
hearst,6518343.0,2014
hearst,3515807.0,2015
hearst,7331423.875,2016
hearst,3675236.0,2017
hendley,6629371.1875,2014
hendley,5352872.015625,2015
hendley,11042737.09375,2016
hendley,5644737.0,2017
houston,4921214.0,2014
houston,3666948.8046875,2015
houston,7296074.7734375,2016
houston,3809965.0,2017
hyde addison,6485867.375,2014
hyde addison,3386737.0,2015
hyde addison,6897653.546875,2016
hyde addison,3331477.0,2017
incarcerated youth program,1121523.5,2015
incarcerated youth program,2850521.9794921875,2016
incarcerated youth program,1208942.0,2017
inspiring youth program,2020186.125,2014
j o wilson,5174268.86328125,2015
j o wilson,11515283.966796875,2016
j o wilson,5906913.0,2017
janney,10199680.90625,2014
janney,6610978.796875,2015
janney,13141749.887695312,2016
janney,6602473.0,2017
jefferson,6739612.125,2014
jefferson,4467084.69921875,2015
jefferson,8766227.747070312,2016
jefferson academy,4163958.0,2017
jo wilson,8898835.875,2014
johnson,5255907.5625,2014
johnson,8849974.388671875,2016
"johnson, john hayden",3961024.6396484375,2015
"johnson, john hayden",4256026.0,2017
kelly miller,8267093.5,2014
kelly miller,6344736.859375,2015
kelly miller,12895960.138671875,2016
kelly miller,6125581.0,2017
ketcham,4826548.625,2014
ketcham,3607487.46484375,2015
ketcham,7445356.046875,2016
ketcham,3911474.0,2017
key,7127506.375,2014
key,3638630.0,2015
key,7272976.4296875,2016
key,3793751.0,2017
kimball,6055628.625,2014
kimball,3819064.3203125,2015
kimball,8034221.640625,2016
kimball,4136103.0,2017
king,6593452.125,2014
"king, m l ",4769263.3203125,2015
"king, m l ",9129363.8984375,2016
"king, m l ",4995703.0,2017
kramer,6185518.125,2014
kramer,4702592.0,2015
kramer,8934924.0078125,2016
kramer,4332477.0,2017
lafayette,12337506.4375,2014
lafayette,6493200.0,2015
lafayette,12665079.875,2016
lafayette,6366155.0,2017
langdon,7966646.1875,2014
langdon,4652718.4453125,2015
langdon,6921951.5,2016
langdon,3895729.0,2017
langley,7839532.625,2014
langley,4198474.86328125,2015
langley,8813882.94921875,2016
langley,4355320.0,2017
lasalle backus,6390182.25,2014
lasalle backus,5634578.46484375,2015
lasalle backus,11204437.9453125,2016
lasalle backus,5534604.0,2017
leckie,7762307.375,2014
leckie,4314039.4716796875,2015
leckie,10202107.796875,2016
leckie,5409962.0,2017
ludlow taylor,6731729.5625,2014
ludlow taylor,4468999.72265625,2015
ludlow taylor,8931684.162109375,2016
ludlow taylor,4973431.0,2017
luke c moore,3904304.33984375,2015
luke moore,5626259.625,2014
luke moore,7232096.09375,2016
luke moore alternative,3618704.0,2017
macfarland,1637757.0,2017
malcolm x,5344197.625,2014
malcolm x,2882498.0,2015
malcolm x,6366471.25,2016
malcolm x,3473247.0,2017
mamie d lee,5259559.125,2014
mamie d lee school,2418274.01171875,2015
mann,5203908.5625,2014
mann,3116955.69921875,2015
mann,6945972.1123046875,2016
mann,3721473.0,2017
marie reed,9094860.1875,2014
marie reed,5304367.3828125,2015
marie reed,10435364.072265625,2016
marie reed,5364019.0,2017
maury,6348230.375,2014
maury,3502231.33984375,2015
maury,7265554.32421875,2016
maury,3846236.0,2017
mckinley,13641066.5625,2014
mckinley,6069201.978515625,2016
mckinley,3112876.0,2017
mckinley technology,9545622.98046875,2015
mckinley technology,14105815.83984375,2016
mckinley technology,7518785.0,2017
miner,9624509.375,2014
miner,5281328.55078125,2015
miner,10202898.77734375,2016
miner,5091971.0,2017
moten,5644038.4375,2014
moten,4667226.8046875,2015
moten,9921336.65625,2016
moten,4914177.0,2017
murch,10024346.1875,2014
murch,6307680.0,2015
murch,11984592.21875,2016
murch,5692681.0,2017
nalle,6300170.5625,2014
nalle,4402439.66015625,2015
nalle,9386882.037109375,2016
nalle,4589598.0,2017
noyes,6893795.75,2014
noyes,4476541.0,2015
noyes,6842275.3203125,2016
noyes,3301360.0,2017
orr,6834173.1875,2014
