CDSCode,County,District,School,City,Charter,SOCType,Virtual,Magnet,Latitude,Longitude
1100170130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,San Leandro,N,Juvenile Court Schools,N,N,37.712878,-122.11173
1100170130419,Alameda,Alameda County Office of Education,Alameda County Community,Hayward,N,County Community,C,N,37.658212,-122.09713
1100170130625,Alameda,Alameda County Office of Education,Alternatives in Action,Oakland,Y,High Schools (Public),N,N,37.764464,-122.19540
1100170136226,Alameda,Alameda County Office of Education,Opportunity Academy,Hayward,Y,County Community,C,N,37.658510,-122.09834
1611190106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alameda,N,Alternative Schools of Choice,N,Y,37.780753,-122.27930
1611190130229,Alameda,Alameda Unified,Alameda High,Alameda,N,High Schools (Public),N,N,37.764958,-122.24593
1611190134304,Alameda,Alameda Unified,Island High (Continuation),Alameda,N,Continuation High Schools,N,N,37.776017,-122.28190
1611270130294,Alameda,Albany City Unified,MacGregor High (Continuation),Albany,N,Continuation High Schools,N,N,37.896420,-122.29211
1611270130450,Alameda,Albany City Unified,Albany High,Albany,N,High Schools (Public),N,N,37.896661,-122.29257
1611430131177,Alameda,Berkeley Unified,Berkeley High,Berkeley,N,High Schools (Public),N,N,37.868913,-122.27120
1611430134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Berkeley,N,Continuation High Schools,N,N,37.859740,-122.27171
1611500130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Castro Valley,N,Special Education Schools (Public),N,N,37.713501,-122.09222
1611500132225,Alameda,Castro Valley Unified,Castro Valley High,Castro Valley,N,High Schools (Public),N,N,37.705184,-122.07847
1611500133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Castro Valley,N,K-12 Schools (Public),V,N,37.713501,-122.09222
1611500135533,Alameda,Castro Valley Unified,Redwood Continuation High,Castro Valley,N,Continuation High Schools,C,N,37.712800,-122.09305
1611680132746,Alameda,Emery Unified,Emery Secondary,Emeryville,N,High Schools (Public),N,N,37.835677,-122.28282
1611760127233,Alameda,Fremont Unified,Young Adult Program,Fremont,N,Special Education Schools (Public),N,N,37.538120,-121.99201
1611760130062,Alameda,Fremont Unified,American High,Fremont,N,High Schools (Public),N,N,37.563645,-122.01747
1611760130138,Alameda,Fremont Unified,Robertson High (Continuation),Fremont,N,Continuation High Schools,N,N,37.518632,-121.96492
1611760130435,Alameda,Fremont Unified,Vista Alternative,Fremont,N,Alternative Schools of Choice,C,N,37.518632,-121.96492
1611760134270,Alameda,Fremont Unified,Irvington High,Fremont,N,High Schools (Public),N,Y,37.522654,-121.96902
1611760134452,Alameda,Fremont Unified,John F. Kennedy High,Fremont,N,High Schools (Public),N,N,37.528399,-121.98312
1611760135244,Alameda,Fremont Unified,Mission San Jose High,Fremont,N,High Schools (Public),N,Y,37.545040,-121.93193
1611760138693,Alameda,Fremont Unified,Washington High,Fremont,N,High Schools (Public),N,N,37.552082,-121.99484
1611920108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Hayward,Y,High Schools (Public),N,N,37.624193,-122.08790
1611920127944,Alameda,Hayward Unified,Hayward Twin Oaks Montessori,Hayward,Y,K-12 Schools (Public),N,N,37.661940,-122.07446
1611920133009,Alameda,Hayward Unified,Brenkwitz High,Hayward,N,Continuation High Schools,N,N,37.671956,-122.09895
1611920133629,Alameda,Hayward Unified,Hayward High,Hayward,N,High Schools (Public),N,N,37.672677,-122.06992
