school_name,school_type,position_title,budget_sub_category,total_staff_quantity,total_cost
Aiton ES,Elementary School,Principal,School Leadership,1,147768
Aiton ES,Elementary School,Assistant Principal - Literacy (APL),School Leadership,1,118667
Aiton ES,Elementary School,Teacher - Pre-School,Early Childhood,2,189252
Aiton ES,Elementary School,Teacher - Pre-School/Pre-K (Mixed Age),Early Childhood,1,94626
Aiton ES,Elementary School,Teacher - Pre-K,Early Childhood,2,189252
Aiton ES,Elementary School,Aide - Early Childhood,Early Childhood,7,214767
Aiton ES,Elementary School,Teacher - Kindergarten,General Education,2,189252
Aiton ES,Elementary School,Teacher - 1st Grade,General Education,2,189252
Aiton ES,Elementary School,Teacher - 2nd Grade,General Education,2,189252
Aiton ES,Elementary School,Teacher - 3rd Grade,General Education,2,189252
Aiton ES,Elementary School,Teacher - 4th Grade,General Education,1,94626
Aiton ES,Elementary School,Teacher - 5th Grade,General Education,1,94626
Aiton ES,Elementary School,Teacher - Reading,General Education,1,94626
Aiton ES,Elementary School,Teacher - Early Learning Support Program,Special Education,1,94626
Aiton ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,2,189252
Aiton ES,Elementary School,Aide - Early Learning Support Program,Special Education,1,30681
Aiton ES,Elementary School,Aide - Inclusion/Resource,Special Education,1,30681
Aiton ES,Elementary School,Librarian,Related Arts,0.5,47313
Aiton ES,Elementary School,Teacher - Art,Related Arts,1,94626
Aiton ES,Elementary School,Teacher - Music,Related Arts,0.5,47313
Aiton ES,Elementary School,Teacher - Health/Physical Education,Related Arts,1,94626
Aiton ES,Elementary School,Teacher - World Language,Related Arts,0.5,47313
Aiton ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Aiton ES,Elementary School,Psychologist,Socio-Emotional Support,0.5,47313
Aiton ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
Aiton ES,Elementary School,Behavior Technician,Socio-Emotional Support,1,39009
Aiton ES,Elementary School,Business Manager,Administrative,1,62752
Aiton ES,Elementary School,Counselor - Attendance,Socio-Emotional Support,1,50010
Aiton ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Aiton ES,Elementary School,Custodian (RW-5),Custodial Staff,1,44876
Aiton ES,Elementary School,Custodian (RW-3),Custodial Staff,1,35715
Aiton ES,Elementary School,Admin Premium,Non-Personnel,─,0
Aiton ES,Elementary School,Custodial Overtime,Non-Personnel,─,0
Aiton ES,Elementary School,Afterschool,Non-Personnel,─,64441.32
Aiton ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,24500
Aiton ES,Elementary School,Middle Grades & 40/40 ES Extended Day Funds,Non-Personnel,─,100000
Aiton ES,Elementary School,Itinerant English Language Learner Teacher,Non-Personnel,─,8516.34
Aiton ES,Elementary School,Educational Supplies,Non-Personnel,─,10000
Aiton ES,Elementary School,Health Services,Non-Personnel,─,500
Aiton ES,Elementary School,Custodial Supplies,Non-Personnel,─,10000
Aiton ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,16899
Aiton ES,Elementary School,Library Books,Non-Personnel,─,2000
Amidon-Bowen ES,Elementary School,Principal,School Leadership,1,147768
Amidon-Bowen ES,Elementary School,Administrative Officer,School Leadership,1,74398
Amidon-Bowen ES,Elementary School,Assistant Principal,School Leadership,1,118667
Amidon-Bowen ES,Elementary School,Teacher - Pre-School,Early Childhood,1,94626
Amidon-Bowen ES,Elementary School,Teacher - Pre-School/Pre-K (Mixed Age),Early Childhood,1,94626
Amidon-Bowen ES,Elementary School,Teacher - Pre-K,Early Childhood,1,94626
Amidon-Bowen ES,Elementary School,Aide - Early Childhood,Early Childhood,7,214767
Amidon-Bowen ES,Elementary School,Teacher - Kindergarten,General Education,3,283878
Amidon-Bowen ES,Elementary School,Teacher - 1st Grade,General Education,2,189252
Amidon-Bowen ES,Elementary School,Teacher - 2nd Grade,General Education,3,283878
Amidon-Bowen ES,Elementary School,Teacher - 3rd Grade,General Education,2,189252
Amidon-Bowen ES,Elementary School,Teacher - 4th Grade,General Education,2,189252
Amidon-Bowen ES,Elementary School,Teacher - 5th Grade,General Education,2,189252
Amidon-Bowen ES,Elementary School,Teacher - Specific Learning Support Program,Special Education,1,94626
Amidon-Bowen ES,Elementary School,Teacher - Early Learning Support Program,Special Education,1,94626
Amidon-Bowen ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,3,283878
Amidon-Bowen ES,Elementary School,Aide - Specific Learning Support Program,Special Education,1,30681
Amidon-Bowen ES,Elementary School,Aide - Early Learning Support Program,Special Education,1,30681
Amidon-Bowen ES,Elementary School,Teacher - English Language Learner,English Language Learner,0.5,47313
Amidon-Bowen ES,Elementary School,Librarian,Related Arts,1,94626
Amidon-Bowen ES,Elementary School,Teacher - Art,Related Arts,1,94626
Amidon-Bowen ES,Elementary School,Teacher - Music,Related Arts,1,94626
Amidon-Bowen ES,Elementary School,Teacher - Health/Physical Education,Related Arts,1,94626
Amidon-Bowen ES,Elementary School,Aide - General Education,Classroom Aides,3,92043
Amidon-Bowen ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Amidon-Bowen ES,Elementary School,Psychologist,Socio-Emotional Support,1,94626
Amidon-Bowen ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
Amidon-Bowen ES,Elementary School,Behavior Technician,Socio-Emotional Support,1,39009
Amidon-Bowen ES,Elementary School,Clerk,Administrative,1,36519
