school_name,ward,school_type,fy16_budgeted_enrollment,change_in_enrollment_from_fy15,change_in_budget_from_fy15,at_risk_students,budget_allocation_category,amount
Aiton ES,7,Elementary,265,20,280083,0.82,Title,113520.95
Aiton ES,7,Elementary,265,20,280083,0.82,Per Pupil Funding Minimum (PPFM),0
Aiton ES,7,Elementary,265,20,280083,0.82,Stabilization,0
Aiton ES,7,Elementary,265,20,280083,0.82,Specialty ,0
Aiton ES,7,Elementary,265,20,280083,0.82,ASP/ECR,46497.95850000001
Aiton ES,7,Elementary,265,20,280083,0.82,SPED,582219.8122365
Aiton ES,7,Elementary,265,20,280083,0.82,ELL,0
Aiton ES,7,Elementary,265,20,280083,0.82,At-Risk,432980
Aiton ES,7,Elementary,265,20,280083,0.82,Enrollment,2539741.28
Aiton ES,7,Elementary,265,20,280083,0.82,Total,3714960
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,Title,149876.22
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,Per Pupil Funding Minimum (PPFM),0
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,Stabilization,0
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,Specialty ,0
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,ASP/ECR,0
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,SPED,792279.624473
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,ELL,29637.51791401274
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,At-Risk,472870.00000000047
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,Enrollment,3045275.900479072
Amidon-Bowen ES,6,Elementary,366,-6,416007.037735892,0.74,Total,4489939
Anacostia HS,8,High,636,-138,-36184,0.89,Title,286636.98
Anacostia HS,8,High,636,-138,-36184,0.89,Per Pupil Funding Minimum (PPFM),0
Anacostia HS,8,High,636,-138,-36184,0.89,Stabilization,0
Anacostia HS,8,High,636,-138,-36184,0.89,Specialty ,0
Anacostia HS,8,High,636,-138,-36184,0.89,ASP/ECR,0
Anacostia HS,8,High,636,-138,-36184,0.89,SPED,3276039.1246015
Anacostia HS,8,High,636,-138,-36184,0.89,ELL,0
Anacostia HS,8,High,636,-138,-36184,0.89,At-Risk,1059042.5999999999
Anacostia HS,8,High,636,-138,-36184,0.89,Enrollment,4646789.895037191
Anacostia HS,8,High,636,-138,-36184,0.89,Total,9268509
Ballou HS,8,High,818,163,324077,0.85,Title,327397.4
Ballou HS,8,High,818,163,324077,0.85,Per Pupil Funding Minimum (PPFM),0
Ballou HS,8,High,818,163,324077,0.85,Stabilization,0
Ballou HS,8,High,818,163,324077,0.85,Specialty ,301747
Ballou HS,8,High,818,163,324077,0.85,ASP/ECR,0
Ballou HS,8,High,818,163,324077,0.85,SPED,3497100.3146015
Ballou HS,8,High,818,163,324077,0.85,ELL,8459.865373480023
Ballou HS,8,High,818,163,324077,0.85,At-Risk,1300414.5037690478
Ballou HS,8,High,818,163,324077,0.85,Enrollment,5501484.872630054
Ballou HS,8,High,818,163,324077,0.85,Total,10936604
Ballou STAY,8,STAY,485,0,-115152,0,Title,14775
Ballou STAY,8,STAY,485,0,-115152,0,Per Pupil Funding Minimum (PPFM),0
Ballou STAY,8,STAY,485,0,-115152,0,Stabilization,240733.56
Ballou STAY,8,STAY,485,0,-115152,0,Specialty ,0
Ballou STAY,8,STAY,485,0,-115152,0,ASP/ECR,0
Ballou STAY,8,STAY,485,0,-115152,0,SPED,279120
Ballou STAY,8,STAY,485,0,-115152,0,ELL,0
Ballou STAY,8,STAY,485,0,-115152,0,At-Risk,0
Ballou STAY,8,STAY,485,0,-115152,0,Enrollment,2319411.44
Ballou STAY,8,STAY,485,0,-115152,0,Total,2854040
Bancroft ES,1,Elementary,516,12,95383,0.36,Title,156842.33
Bancroft ES,1,Elementary,516,12,95383,0.36,Per Pupil Funding Minimum (PPFM),0
Bancroft ES,1,Elementary,516,12,95383,0.36,Stabilization,0
Bancroft ES,1,Elementary,516,12,95383,0.36,Specialty ,0
Bancroft ES,1,Elementary,516,12,95383,0.36,ASP/ECR,110359.256
Bancroft ES,1,Elementary,516,12,95383,0.36,SPED,675259.8122365
Bancroft ES,1,Elementary,516,12,95383,0.36,ELL,1349080
Bancroft ES,1,Elementary,516,12,95383,0.36,At-Risk,311225.00000000047
Bancroft ES,1,Elementary,516,12,95383,0.36,Enrollment,4077936.4542842545
Bancroft ES,1,Elementary,516,12,95383,0.36,Total,6680703
Barnard ES,4,Elementary,634,29,25448,0.47,Title,261207.1
Barnard ES,4,Elementary,634,29,25448,0.47,Per Pupil Funding Minimum (PPFM),0
Barnard ES,4,Elementary,634,29,25448,0.47,Stabilization,0
Barnard ES,4,Elementary,634,29,25448,0.47,Specialty ,0
Barnard ES,4,Elementary,634,29,25448,0.47,ASP/ECR,238081.85100000002
Barnard ES,4,Elementary,634,29,25448,0.47,SPED,1122238.497892
Barnard ES,4,Elementary,634,29,25448,0.47,ELL,837360
Barnard ES,4,Elementary,634,29,25448,0.47,At-Risk,509251.8279069762
Barnard ES,4,Elementary,634,29,25448,0.47,Enrollment,4631760.5447817845
Barnard ES,4,Elementary,634,29,25448,0.47,Total,7599899
Beers ES,7,Elementary,434,-1,-106373,0.55,Title,190198.62
Beers ES,7,Elementary,434,-1,-106373,0.55,Per Pupil Funding Minimum (PPFM),0
Beers ES,7,Elementary,434,-1,-106373,0.55,Stabilization,0
Beers ES,7,Elementary,434,-1,-106373,0.55,Specialty ,0
Beers ES,7,Elementary,434,-1,-106373,0.55,ASP/ECR,0
Beers ES,7,Elementary,434,-1,-106373,0.55,SPED,1356278.122365
Beers ES,7,Elementary,434,-1,-106373,0.55,ELL,0
Beers ES,7,Elementary,434,-1,-106373,0.55,At-Risk,412900.00000000047
Beers ES,7,Elementary,434,-1,-106373,0.55,Enrollment,3554053.4221854294
Beers ES,7,Elementary,434,-1,-106373,0.55,Total,5513430
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,Title,98784.24
Benjamin Banneker HS,1,High,454,9,179777.49331402034,0.25,Per Pupil Funding Minimum (PPFM),0
