School Code,School Name,Enrollment,Special Education,English Language Learners (ELL),Specialty,Title,ASP/ECR,PPFM,Stabilization,School-based At-Risk,Total School Budget Allocation,School Support At-Risk,Notes,Total At-Risk
202,Aiton ES,2499672,660417,4264,0,108445,57728,0,0,450288,3780814,0,,450288
203,Amidon-Bowen ES,3020358,848803,19543,0,148098,9676,0,0,486540,4533018,0,,486540
450,Anacostia HS,4694247,3280819,0,0,250641,0,0,0,1013148,9238855,0,,1013148
452,Ballou HS,6860942,3455359,17056,0,388622,0,0,0,1797336,12748461,0,,1797336
462,Ballou STAY,3183315,375222,0,0,12325,0,0,0,0,3570862,0,,0
204,Bancroft ES,4066236,682366,1313277,0,216469,91258,0,0,370152,6739758,0,,370152
205,Barnard ES,4677607,1190782,656638,0,264578,121478,0,0,620100,7531184,0,,620100
206,Beers ES,3506981,1336043,8528,0,182718,0,0,0,477000,5511270,0,,477000
402,Benjamin Banneker HS,3391093,93805,18477,690480,188620,0,0,0,240408,4622883,0,,240408
212,Brent ES,3350521,422125,10660,0,9600,0,0,0,62964,3855869,0,,62964
213,Brightwood EC,5271217,797347,1761130,0,296643,88844,0,0,736488,8951669,0,,736488
219,Bunker Hill ES,1873046,281416,29847,0,65394,4398,0,0,177444,2431546,0,,177444
347,Brookland MS,2327185,801900,12792,200000,131235,0,0,0,320544,3793656,0,,320544
404,Browne EC,3485916,900259,93805,0,139245,53600,0,0,475092,5147917,0,,475092
296,Bruce-Monroe ES @ Park View,4091070,750444,1219471,0,196208,24630,0,0,475092,6756915,0,,475092
220,Burroughs ES,2558075,857909,32927,0,119828,5278,0,0,276660,3850677,0,,276660
221,Burrville ES,3084782,375222,9949,0,135873,5278,0,0,459828,4070932,0,,459828
247,C.W. Harris ES,2546152,1175996,0,0,122779,0,0,0,423576,4268503,0,,423576
360,Capitol Hill Montessori School,3306988,281416,17056,0,8250,0,0,0,83952,3697662,0,,83952
454,Cardozo EC,6689482,3188727,2050396,0,327443,0,0,0,1217304,13473353,0,,1217304
947,CHOICE Academy @ Emery,823617,187611,34111,0,50,0,0,0,0,1045389,0,,0
224,Cleveland ES,2879049,491916,187611,0,132922,14263,0,0,307188,4012949,0,,307188
442,Columbia Heights EC (CHEC),8377643,1809746,2223494,453804,506767,0,0,0,1732464,15103919,0,,1732464
455,Coolidge HS,3558676,1958436,281416,0,161192,37986,0,0,608652,6724146,0,,608652
405,Deal MS,8486178,1407082,281416,0,33525,0,2014575,0,194616,12417393,0,,194616
