School Code,"Percent (%) 
Eligible FRPM 
(Ages 5-17)"
1100170112607,0.786
1100170123968,0.513
1100170124172,0.144
1100170125567,0.309
1100170130401,1.0
1100170130419,0.845
1100170131581,0.766
1100170136101,0.127
1100170136226,0.5
1100170137448,0.89
1100176001788,0.898
1100176002000,0.895
1316090131755,1.0
1316170131763,1.0
1611190000001,0.107
1611190106401,0.283
1611190111765,0.638
1611190119222,0.349
1611190122085,0.478
1611190126656,0.23
1611190130229,0.203
1611190130609,0.261
1611190130625,0.944
1611190131805,0.458
1611190132142,0.39
1611190134304,0.547
1611196090005,0.267
1611196090013,0.128
1611196090021,0.158
1611196090039,0.209
1611196090047,0.463
1611196090054,0.154
1611196090112,0.435
1611196090120,0.458
1611196100374,0.115
1611196110779,0.0984
1611270000001,0.333
1611270130294,0.5
1611270130450,0.181
1611276090146,0.135
1611276090161,0.22
1611276095376,0.163
1611276116222,0.342
1611430000001,0.171
1611430131177,0.261
1611430134924,0.8
1611430138552,0.625
1611436056857,0.252
1611436056865,0.355
1611436090187,0.218
1611436090195,0.31
1611436090211,0.344
1611436090252,0.237
1611436090278,0.311
1611436090286,0.255
1611436090294,0.598
1611436090302,0.335
1611436090310,0.382
1611436090328,0.289
1611436097729,0.304
1611436105316,0.344
1611500000001,0.154
1611500130047,0.0
1611500132225,0.22
1611500133876,0.143
1611500135533,0.41
1611506090351,0.481
1611506090369,0.21
1611506090385,0.237
1611506090393,0.162
1611506090401,0.345
1611506090419,0.224
1611506090435,0.176
1611506090468,0.372
1611506090484,0.14
1611506097653,0.239
1611506113005,0.111
1611680132746,0.815
1611686090492,0.797
1611760000001,0.175
1611760127233,0.0
1611760130062,0.199
1611760130138,0.596
1611760130435,0.567
1611760130534,0.322
1611760134270,0.165
1611760134452,0.434
1611760135244,0.0665
1611760138693,0.295
1611766000541,0.454
1611766000558,0.404
1611766000566,0.531
1611766000590,0.445
1611766000624,0.315
1611766000640,0.315
1611766000665,0.241
1611766000673,0.0432
1611766000681,0.224
1611766000715,0.202
1611766000723,0.178
1611766000749,0.087
1611766000756,0.132
1611766000764,0.232
1611766000798,0.114
1611766000806,0.237
1611766000830,0.297
1611766000848,0.0512
1611766056873,0.298
1611766056881,0.424
1611766056907,0.175
1611766056915,0.173
1611766056923,0.0764
1611766066468,0.0562
1611766089320,0.13
1611766089619,0.156
1611766090526,0.0616
1611766090534,0.0393
1611766090542,0.238
1611766090559,0.206
1611766104723,0.108
1611766106983,0.0774
1611766111330,0.0504
1611920000001,0.244
1611920108670,0.622
1611920111815,0.553
1611920119248,0.197
1611920127696,0.573
1611920127944,0.596
1611920131334,0.87
1611920133009,0.699
1611920133629,0.686
1611920135319,0.654
1611920137646,0.642
1611920138339,0.758
1611926000889,0.761
1611926000905,0.726
1611926000913,0.762
1611926000921,0.683
1611926000947,0.783
1611926000962,0.735
1611926000988,0.802
1611926000996,0.796
1611926001044,0.796
1611926001051,0.625
1611926001093,0.757
1611926001101,0.842
1611926001127,0.718
1611926001135,0.725
1611926001176,0.641
1611926001192,0.753
1611926056931,0.679
1611926056949,0.702
1611926056956,0.667
1611926056972,0.741
1611926062160,0.713
1611926066476,0.661
1611926090583,0.632
1611926104566,0.846
1611926113815,0.765
1612000000001,0.0588
1612000130393,0.297
1612000132670,0.684
1612000133397,0.198
1612000134536,0.241
1612000135376,0.138
1612006001234,0.62
1612006001242,0.302
1612006001259,0.0764
1612006001283,0.394
1612006001291,0.2
1612006001317,0.783
1612006001341,0.085
1612006071906,0.238
1612006085773,0.194
1612006089338,0.24
1612006097661,0.0646
1612006110332,0.251
1612006117543,0.17
1612186001358,0.647
1612340000001,0.25
1612340130054,0.453
1612340130484,0.59
1612340135426,0.784
1612346001440,0.743
1612346001457,0.639
1612346001473,0.513
1612346001481,0.64
1612346001499,0.279
1612346001507,0.288
1612346001523,0.484
1612346001531,0.413
1612346102917,0.529
1612420000001,0.133
1612420110460,0.419
1612420110478,0.778
1612420126763,0.481
1612420134668,0.435
1612426001572,0.489
1612426001606,0.695
1612426001622,0.505
1612426068266,0.39
1612426097679,0.589
1612426101604,0.351
1612426115505,0.428
1612426115554,0.59
1612426118525,0.21
1612590000001,0.328
1612590100065,0.851
1612590100701,0.796
1612590100792,0.915
1612590102988,0.918
1612590106542,0.72
1612590106559,0.889
1612590106906,0.536
1612590108944,0.802
1612590109819,0.697
1612590110189,0.859
1612590110239,0.903
1612590110247,0.661
1612590110254,0.822
1612590110262,0.973
1612590111476,0.901
1612590111856,0.701
1612590112763,0.932
1612590112771,0.951
1612590112789,0.944
1612590112797,0.939
1612590112805,0.956
1612590112813,0.963
1612590114363,0.754
1612590114868,0.821
1612590115014,0.802
1612590115204,0.965
1612590115238,0.728
1612590115386,1.0
1612590115576,0.971
1612590115584,0.952
1612590115592,0.886
1612590115600,0.958
1612590115618,0.936
1612590115626,0.94
1612590115667,0.964
1612590118224,0.889
1612590118653,0.912
1612590119859,0.382
1612590120188,0.956
1612590121228,0.5
1612590121376,0.538
1612590123711,0.797
1612590125161,0.909
1612590125716,0.949
1612590126748,0.967
1612590128413,0.864
1612590129403,0.889
1612590129635,0.787
1612590129932,0.248
1612590130146,0.905
1612590130179,0.864
1612590130575,0.908
1612590130617,0.77
1612590130633,0.816
1612590130666,0.835
1612590130732,0.957
1612590131896,0.554
1612590132514,0.27
1612590132555,0.551
1612590132688,0.876
1612590134015,0.362
1612590135210,0.81
1612590135905,0.864
1612590136051,0.475
1612590137943,0.725
1612593030772,0.133
1612596001630,0.836
1612596001648,0.124
1612596001655,0.801
1612596001663,0.895
1612596001689,0.846
1612596001697,0.741
1612596001713,0.88
1612596001739,0.46
1612596001754,0.0601
1612596001812,0.767
1612596001820,0.9
1612596001838,0.89
1612596001846,0.917
1612596001853,0.269
1612596001879,0.763
1612596001895,0.321
1612596001903,0.975
1612596001911,0.0954
1612596001929,0.918
1612596001945,0.325
1612596001978,0.892
1612596001994,0.842
1612596002018,0.75
1612596002042,0.911
1612596002059,0.969
1612596002075,0.968
1612596002083,0.216
1612596002091,0.926
1612596002109,0.154
1612596002117,0.769
1612596002125,0.931
1612596002141,0.194
1612596002174,0.253
1612596002182,0.934
1612596002190,0.928
1612596002216,0.132
1612596002273,0.92
1612596056998,0.853
1612596057004,0.414
1612596057020,0.952
1612596057046,0.944
1612596057061,0.564
1612596057079,0.542
1612596057087,0.928
1612596057095,0.853
1612596066450,0.946
1612596072235,0.961
1612596096523,0.92
1612596111660,0.919
1612596113807,0.739
1612596114011,0.644
1612596117568,0.898
1612596117972,0.517
1612596118608,0.845
1612596118616,0.942
1612596118640,0.433
1612596118657,0.97
1612750000001,0.0
1612750130286,0.167
1612750136515,0.0119
1612756002281,0.029
1612756002299,0.00943
1612756002307,0.0
1612756066492,0.0169
1612910000001,0.5
1612910134528,0.594
1612910137588,0.585
1612916002372,0.687
1612916002398,0.748
1612916002414,0.474
1612916002422,0.726
1612916002430,0.687
1612916002448,0.346
1612916002455,0.673
1612916002463,0.709
1612916057111,0.664
1612916066518,0.623
1613090000001,0.214
1613090101212,0.758
1613090111799,0.643
1613090114421,0.622
1613090130849,0.49
1613090137745,0.619
1613090137810,0.654
1613096002505,0.521
1613096002513,0.665
1613096002521,0.787
1613096002539,0.624
1613096002547,0.594
1613096002554,0.579
1613096002562,0.756
1613096002604,0.551
1613096002612,0.742
1613096002620,0.839
1613096002653,0.707
1613096002703,0.522
1750930000000,0.0513
1750930000001,0.111
1750930114579,0.0408
1750930123935,0.0449
1750930125930,0.0488
1750930131615,0.0179
1750930132704,0.0995
1750930136929,0.0738
1750930138164,0.0
1750930138453,0.333
1750936001374,0.0847
1750936001390,0.181
1750936001424,0.166
1750936066484,0.162
1750936118038,0.0339
1751010000000,0.0328
1751010000001,0.125
1751010130096,0.101
1751010130252,0.386
1751010130583,0.0732
1751016001366,0.0673
1751016001416,0.0782
1751016002315,0.084
1751016002323,0.0532
1751016002349,0.254
1751016002356,0.0407
1751016066500,0.0695
1751016089361,0.0749
1751016108971,0.127
1751016114318,0.0633
1751016117592,0.0783
1751016117600,0.0821
1751196002711,0.0808
1771800138289,0.75
2613330137125,0.5
2613336002794,0.74
3100330000001,0.5
3100330129692,0.488
3100330330035,0.286
3100330330068,0.526
3739810330019,0.55
3739810330050,0.51
3739810330753,0.358
3739810334755,0.358
3739816002810,0.417
3739816002828,0.446
3739816002844,0.423
3739816002851,0.484
3739816002869,0.55
3739816002877,0.384
3739816107387,0.433
3739816107395,0.445
4100410114991,0.434
4100410129817,0.92
4100410134213,0.778
4100410136820,0.396
4100410430066,1.0
4100410430090,0.754
4100416069256,0.6
4613826002919,0.745
4614080430827,0.644
4614086002943,0.682
4614086002950,0.216
4614240000001,0.0
4614240110551,0.341
4614240111039,0.615
4614240118042,0.382
4614240120394,0.334
4614240121475,0.477
4614240123810,0.31
4614240123976,0.762
4614240137828,0.634
4614240430199,0.701
4614240430215,0.0
4614240431502,0.781
4614240431676,0.401
4614240437558,0.361
4614246002968,0.803
4614246002976,0.877
4614246003008,0.468
4614246003024,0.821
4614246003032,0.33
4614246003040,0.557
4614246003073,0.431
4614246003081,0.498
4614246003099,0.355
4614246003107,0.202
4614246057129,0.499
4614246057137,0.6
4614246109722,0.728
4614246111116,0.623
4614246113773,0.224
4614246116610,0.37
4614246119523,0.546
4614320000001,0.5
4614320433201,0.351
4614326003115,0.419
4614326105761,0.444
4614400121509,0.783
4614406003123,0.8
4614576003131,0.869
4614996003198,0.511
4615070000001,0.0
4615070110072,0.758
4615070129577,0.476
4615076003214,0.926
4615076003230,0.81
4615076003255,0.87
4615076003263,0.582
4615076003271,0.729
4615076094957,0.926
4615150000001,0.125
4615150430140,0.926
4615150434803,0.704
4615150435602,0.794
4615150437566,0.936
4615230110510,0.799
4615236003289,0.743
4615236003297,0.733
4615236089080,0.833
4615236115034,1.0
4615310110338,0.419
4615310121715,0.693
4615310430108,0.857
4615310432856,0.758
4615310437350,0.601
4615316003313,0.687
4615316003321,0.731
4615316003339,0.608
4615316105522,0.812
4615316112585,0.779
4615316112999,0.323
4615316113526,0.806
4615316113765,0.45
4615490000001,1.0
4615490101485,1.0
4615490102327,0.866
4615496003354,0.893
4615496003362,0.839
4615496003370,0.896
4615496121016,1.0
4733796002927,0.958
4755070000001,0.0
4755070433946,0.586
4755070433953,0.687
4755076003156,0.748
4755076003164,0.75
4755076003172,0.778
5100580530048,0.75
5100580530154,0.523
5100586077150,0.0
5100589010745,0.938
5615560000001,0.667
5615560530014,0.706
5615560530121,0.143
5615560532507,0.374
5615640000001,0.667
5615640530022,0.839
5615640530055,0.529
5615640531509,0.468
5615646003404,0.55
5615646003420,0.66
5615646003438,0.683
5615646003446,0.604
5615646003453,0.821
5615646105431,0.571
5615646108518,0.518
5615726003388,0.626
5615726003461,0.582
5615806003396,0.491
5615806088975,0.445
5615806111884,0.365
6100660136580,0.6
6100660630111,0.96
6615980000001,0.0
6615980630012,0.722
6615980630046,0.508
6615980631259,0.578
6615986003495,0.753
6615986057152,0.72
6616060133223,0.732
6616060634758,0.6
6616066003503,0.639
6616140000001,0.5
6616140630087,0.778
6616140635250,0.639
6616146003511,0.73
6616146003537,0.909
6616146103576,0.734
6616220118729,0.895
6616220630038,1.0
6616220637504,0.899
6616226003552,0.906
7100740107326,0.467
7100740107334,0.0526
7100740107342,0.5
7100740114470,0.829
7100740118208,0.127
7100740120444,1.0
7100740129528,0.787
7100740129684,0.603
7100740134114,0.23
7100740137026,0.731
7100740730614,0.626
7100740731380,0.206
7100746077168,0.62
7616300000001,0.0
7616300107524,0.087
7616300730283,0.0585
7616300731125,0.035
7616300733725,0.118
7616300734244,0.0401
7616480000001,0.622
7616480100461,0.692
7616480100479,0.614
7616480106583,0.718
7616480110494,0.684
7616480113761,0.622
7616480115063,0.429
7616480117218,0.553
7616480137430,0.752
7616480730101,0.729
7616480730259,0.635
7616480730465,0.597
7616480730481,0.833
7616480730861,0.709
7616486003578,0.778
7616486003594,0.85
7616486003602,0.834
7616486003610,0.817
7616486003628,0.623
7616486003636,0.86
7616486057178,0.8
7616486061154,0.727
7616486084941,0.827
7616486108989,0.658
7616486110514,0.73
7616486113104,0.696
7616486115380,0.695
7616486115703,0.263
7616486117501,0.669
7616550000000,0.333
7616550000001,0.1
7616550102376,0.24
7616550108019,0.306
7616550110528,0.233
7616550127464,0.423
7616556003644,0.323
7616556003651,0.374
7616556070981,0.373
7616556109730,0.196
7616556112718,0.249
7616556117410,0.226
7616556119754,0.218
7616630130930,0.375
7616636003669,0.297
7616636101943,0.39
7616636119838,0.21
7616710000000,0.0
7616716003677,0.0896
7616970000001,0.0
7616970737023,0.487
7616970737619,0.4
7616976003685,0.656
7616976003701,0.653
7617050133769,0.205
7617056003719,0.365
7617130000001,0.0
7617136003727,0.00901
7617136003743,0.0275
7617136003750,0.0539
7617136003768,0.0367
7617136003792,0.0286
7617210000001,0.222
7617210107797,0.174
7617210730457,0.393
7617210730572,0.208
7617210733980,0.266
7617210733998,0.496
7617390000001,0.231
7617390730440,0.47
7617390730473,0.435
7617390730549,0.221
7617396003826,0.318
7617396003834,0.187
7617396003842,0.482
7617396003875,0.14
7617396057186,0.291
7617470000001,0.0
7617476003909,0.0228
7617476003917,0.0537
7617476003925,0.0305
7617476003933,0.0199
7617540000000,0.339
7617540000001,0.219
7617540106088,0.531
7617540135822,0.532
7617540138115,0.905
7617540730044,0.121
7617540730317,0.345
7617540730333,0.556
7617540730358,0.457
7617540730424,0.583
7617540730655,0.895
7617540731646,0.255
7617540731836,0.533
7617540734566,0.798
7617540734764,0.74
7617540737809,0.794
7617546003958,0.313
7617546003966,0.136
7617546003974,0.928
7617546003982,0.958
7617546004030,0.707
7617546004048,0.634
7617546004055,0.821
7617546004063,0.125
7617546004097,0.359
7617546004105,0.194
7617546004154,0.907
7617546004162,0.253
7617546004170,0.49
7617546004188,0.0796
7617546004196,0.938
7617546004220,0.424
7617546004238,0.633
7617546004246,0.3
7617546004253,0.14
7617546004261,0.916
7617546004295,0.895
7617546004303,0.439
7617546004311,0.147
7617546004329,0.704
7617546004337,0.217
7617546004345,0.102
7617546004352,0.399
7617546004360,0.0663
7617546004378,0.455
7617546004394,0.406
7617546004402,0.735
7617546004410,0.838
7617546096226,0.858
7617546105357,0.398
7617546111504,0.205
7617546112395,0.387
7617546114904,0.4
7617546118087,0.0874
7617620000001,0.0
7617620110684,0.439
7617620129064,0.209
7617626004428,0.699
7617626096234,0.476
7617626108765,0.423
7617626110803,0.42
7617626110811,0.537
7617626119226,0.479
7617700000001,0.0
7617706004444,0.029
7617706004451,0.0244
7617706004477,0.0189
7617706004501,0.0363
7617706066583,0.0124
7617880000001,0.269
7617880116863,0.781
7617880125435,0.786
7617880730184,0.72
7617880735407,0.65
7617886004527,0.728
7617886004535,0.762
7617886004543,0.733
7617886004568,0.817
7617886004576,0.776
7617886061162,0.703
7617886084966,0.741
7617886098578,0.622
7617886109383,0.759
7617960000000,0.375
7617960000001,0.259
7617960101477,0.857
7617960110973,0.751
7617960126805,0.877
7617960129643,0.891
7617960132100,0.661
7617960132118,0.831
7617960132233,0.846
7617960133637,0.611
7617960135434,0.394
7617960136903,0.631
7617960730291,0.54
7617960730325,0.586
7617960730598,0.433
7617960732164,0.722
7617960732941,0.419
7617960733253,0.828
7617960733659,0.937
7617960735316,0.597
7617960735902,0.894
7617966004600,0.912
7617966004659,0.692
7617966004667,0.95
7617966004691,0.957
7617966004733,0.432
7617966004741,0.888
7617966004758,0.544
7617966004766,0.931
7617966004774,0.9
7617966004782,0.348
7617966004808,0.0737
7617966004824,0.943
7617966004832,0.933
7617966004840,0.19
7617966004857,0.586
7617966004865,0.87
7617966004873,0.687
7617966004881,0.935
7617966004899,0.329
7617966004907,0.957
7617966004915,0.974
7617966004931,0.918
7617966004956,0.665
7617966004964,0.752
7617966004972,0.944
