Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2020-2021,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,N ,N/A,N/A,N,K,12,105,78,0.743,80,0.762,82,58,0.707,59,0.72,Y
2020-2021,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N ,N/A,N/A,N,K,12,52,52,1,52,1,45,45,1,45,1,Y
2020-2021,1,10017,137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Y,1908,Directly funded,Y,6,8,197,136,0.69,146,0.741,197,136,0.69,146,0.741,Y
2020-2021,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1284,Directly funded,Y,K,8,253,169,0.668,176,0.696,252,169,0.671,176,0.698,Y
2020-2021,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,1881,Directly funded,Y,K,12,534,122,0.228,146,0.273,527,120,0.228,142,0.269,Y
2020-2021,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,740,Directly funded,Y,P,5,581,480,0.826,516,0.888,572,474,0.829,509,0.89,Y
2020-2021,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,811,Directly funded,Y,6,12,408,283,0.694,317,0.777,397,277,0.698,310,0.781,Y
2020-2021,1,10017,138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,2027,Directly funded,Y,K,6,116,49,0.422,63,0.543,114,47,0.412,61,0.535,Y
2020-2021,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1464,Directly funded,Y,K,8,485,403,0.831,442,0.911,478,398,0.833,436,0.912,Y
2020-2021,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1707,Directly funded,Y,6,8,145,112,0.772,124,0.855,145,112,0.772,124,0.855,Y
