Record Type,CDS Code,County,District,School,Entity Type,Low Grade,High Grade,Public Yes/No,Latitude,Longitude
School,01611196154637,Alameda,Alameda Unified,Advance College Academy,K-12 Schools (Private),K,12,N,37.759182,-122.238911
School,01611196204697,Alameda,Alameda Unified,Coastline Christian Schools,Elementary School (Private),K,8,N,37.728118,-122.239601
School,01611196147607,Alameda,Alameda Unified,Da Vinci Center for Gifted Children,Elementary School (Private),K,6,N,37.769661,-122.249438
School,01611196165120,Alameda,Alameda Unified,EnCompass Four Corners School,Elementary School (Private),K,8,N,37.769482,-122.237958
School,01611196922470,Alameda,Alameda Unified,Rising Star Montessori School,Elementary School (Private),K,K,N,37.758820,-122.231594
School,01611196933154,Alameda,Alameda Unified,Saint Joseph Notre Dame High School,High Schools (Private),9,12,N,37.765264,-122.255019
School,01611196965891,Alameda,Alameda Unified,St. Joseph Elementary,Elementary School (Private),K,8,N,37.765992,-122.254979
School,01611196973077,Alameda,Alameda Unified,St. Philip Neri Elementary,Elementary School (Private),K,8,N,37.757182,-122.233130
School,01611196141683,Alameda,Alameda Unified,The Child Unique Montessori School/Montessori Elementary School of Alameda,Elementary School (Private),K,6,N,37.763791,-122.247099
School,01611196979140,Alameda,Alameda Unified,The Phillips Academy,Ungraded Schools (Private),6,12,N,37.768583,-122.253292
School,01611276138044,Alameda,Albany City Unified,Tilden Preparatory School,K-12 Schools (Private),6,12,N,37.890701,-122.295003
School,01611436135743,Alameda,Berkeley Unified,American International Montessori School,Elementary School (Private),K,6,N,37.847405,-122.270972
School,01611430117002,Alameda,Berkeley Unified,Bayhill High,High Schools (Private),9,12,N,37.875998,-122.271731
School,01611436142236,Alameda,Berkeley Unified,Berkeley Rose Waldorf School,Elementary School (Private),K,8,N,37.864795,-122.256128
School,01611436972723,Alameda,Berkeley Unified,Berkwood Hedge School,Elementary School (Private),K,6,N,37.866910,-122.273777
School,01611436989784,Alameda,Berkeley Unified,Black Pine Circle,Elementary School (Private),K,8,N,37.867227,-122.296091
School,01611436130207,Alameda,Berkeley Unified,Center for Early Intervention on Deafness (CEID),Elementary School (Private),P,P,N,37.856145,-122.288818
