School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,NCSC ELA # of Test Takers,NCSC ELA - # Level 1,NCSC ELA - # Level 2,NCSC ELA - # Level 3,NCSC ELA - # Level 4,NCSC ELA - # Proficient,NCSC ELA - % Level 1,NCSC ELA - % Level 2,NCSC ELA - % Level 3,NCSC ELA - % Level 4,NCSC ELA - % Proficient,NCSC Math - # Test Takers,NCSC Math - # Level 1,NCSC Math - # Level 2,NCSC Math - # Level 3,NCSC Math - # Level 4,NCSC Math - # Proficient,NCSC Math - % Level 1,NCSC Math - % Level 2,NCSC Math - % Level 3,NCSC Math - % Level 4,NCSC Math - % Proficient,ELA - # of All (PARCC & NCSC) Test Takers,ELA - # of All (PARCC & NCSC)  Proficient,ELA - % of All (PARCC & NCSC) Proficient,Math - # of All (PARCC & NCSC) Test Takers,Math - # All (PARCC & NCSC) All Proficient,Math - % All (PARCC & NCSC) Proficient
202,Aiton ES,3,32,18,10,1,3,0,3,0.5625,0.3125,3.13E-02,9.38E-02,0,9.38E-02,32,10,10,9,3,0,3,0.3125,0.3125,0.28125,9.38E-02,0,9.38E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,32,3,9.38E-02,32,3,9.38E-02
202,Aiton ES,4,20,8,7,5,0,0,0,0.4,0.35,0.25,0,0,0,20,10,9,0,1,0,1,0.5,0.45,0,0.05,0,0.05,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,20,0,0,20,1,0.05
202,Aiton ES,5,23,11,6,6,0,0,0,0.47826087,0.260869565,0.260869565,0,0,0,23,10,9,3,1,0,1,0.434782609,0.391304348,0.130434783,4.35E-02,0,4.35E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,23,0,0,23,1,4.35E-02
202,Aiton ES,All,75,37,23,12,3,0,3,0.493333333,0.306666667,0.16,0.04,0,0.04,75,30,28,12,5,0,5,0.4,0.373333333,0.16,6.67E-02,0,6.67E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,75,3,0.04,75,5,6.67E-02
203,Amidon Bowen ES,3,53,35,7,10,1,0,1,0.660377358,0.132075472,0.188679245,1.89E-02,0,1.89E-02,53,30,12,7,3,1,4,0.566037736,0.226415094,0.132075472,5.66E-02,1.89E-02,7.55E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,53,1,1.89E-02,53,4,7.55E-02
203,Amidon Bowen ES,4,44,21,14,8,1,0,1,0.477272727,0.318181818,0.181818182,2.27E-02,0,2.27E-02,44,17,17,9,1,0,1,0.386363636,0.386363636,0.204545455,2.27E-02,0,2.27E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,44,1,2.27E-02,44,1,2.27E-02
203,Amidon Bowen ES,5,34,16,9,9,0,0,0,0.470588235,0.264705882,0.264705882,0,0,0,34,11,18,3,2,0,2,0.323529412,0.529411765,8.82E-02,5.88E-02,0,5.88E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,34,0,0,34,2,5.88E-02
203,Amidon Bowen ES,All,131,72,30,27,2,0,2,0.549618321,0.229007634,0.20610687,1.53E-02,0,1.53E-02,131,58,47,19,6,1,7,0.442748092,0.358778626,0.145038168,4.58E-02,7.63E-03,5.34E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,131,2,1.53E-02,131,7,5.34E-02
204,Bancroft ES,3,66,24,23,10,9,0,9,0.363636364,0.348484848,0.151515152,0.136363636,0,0.136363636,66,7,18,21,16,4,20,0.106060606,0.272727273,0.318181818,0.242424242,6.06E-02,0.303030303,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,66,9,0.136363636,66,20,0.303030303
204,Bancroft ES,4,48,17,19,5,6,1,7,0.354166667,0.395833333,0.104166667,0.125,2.08E-02,0.145833333,48,10,11,17,9,1,10,0.208333333,0.229166667,0.354166667,0.1875,2.08E-02,0.208333333,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,48,7,0.145833333,48,10,0.208333333
