School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA ELA # of Test Takers,MSAA ELA - # Level 1,MSAA ELA - # Level 2,MSAA ELA - # Level 3,MSAA ELA - # Level 4,MSAA ELA - # Proficient,MSAA ELA - % Level 1,MSAA ELA - % Level 2,MSAA ELA - % Level 3,MSAA ELA - % Level 4,MSAA ELA - % Proficient,MSAA Math - # Test Takers,MSAA Math - # Level 1,MSAA Math - # Level 2,MSAA Math - # Level 3,MSAA Math - # Level 4,MSAA Math - # Proficient,MSAA Math - % Level 1,MSAA Math - % Level 2,MSAA Math - % Level 3,MSAA Math - % Level 4,MSAA Math - % Proficient,ELA - # of All (PARCC & MSAA) Test Takers,ELA - # of All (PARCC & MSAA)  Proficient,ELA - % of All (PARCC & MSAA) Proficient,Math - # of All (PARCC & MSAA) Test Takers,Math - # All (PARCC & MSAA) All Proficient,Math - % All (PARCC & MSAA) Proficient
202,Aiton ES,3,30,22,5,3,0,0,0,0.733333333,0.166666667,0.1,0,0,0,30,13,10,6,1,0,1,0.433333333,0.333333333,0.2,3.33E-02,0,3.33E-02,,,,,,,,,,,,,,,,,,,,,,,30,0,0,30,1,3.33E-02
202,Aiton ES,4,23,10,4,5,3,1,4,0.434782609,0.173913043,0.217391304,0.130434783,4.35E-02,0.173913043,23,7,5,4,7,0,7,0.304347826,0.217391304,0.173913043,0.304347826,0,0.304347826,,,,,,,,,,,,,,,,,,,,,,,23,4,0.173913043,23,7,0.304347826
202,Aiton ES,5,20,5,8,7,0,0,0,0.25,0.4,0.35,0,0,0,20,4,8,6,2,0,2,0.2,0.4,0.3,0.1,0,0.1,,,,,,,,,,,,,,,,,,,,,,,20,0,0,20,2,0.1
202,Aiton ES,All,73,37,17,15,3,1,4,0.506849315,0.232876712,0.205479452,4.11E-02,1.37E-02,5.48E-02,73,24,23,16,10,0,10,0.328767123,0.315068493,0.219178082,0.136986301,0,0.136986301,,,,,,,,,,,,,,,,,,,,,,,73,4,5.48E-02,73,10,0.136986301
203,Amidon Bowen ES,3,46,27,8,4,7,0,7,0.586956522,0.173913043,8.70E-02,0.152173913,0,0.152173913,46,18,11,8,7,2,9,0.391304348,0.239130435,0.173913043,0.152173913,4.35E-02,0.195652174,,,,,,,,,,,,,,,,,,,,,,,46,7,0.152173913,46,9,0.195652174
203,Amidon Bowen ES,4,49,29,9,9,2,0,2,0.591836735,0.183673469,0.183673469,4.08E-02,0,4.08E-02,49,28,9,7,5,0,5,0.571428571,0.183673469,0.142857143,0.102040816,0,0.102040816,,,,,,,,,,,,,,,,,,,,,,,49,2,4.08E-02,49,5,0.102040816
203,Amidon Bowen ES,5,45,14,19,9,3,0,3,0.311111111,0.422222222,0.2,6.67E-02,0,6.67E-02,45,15,19,8,3,0,3,0.333333333,0.422222222,0.177777778,6.67E-02,0,6.67E-02,,,,,,,,,,,,,,,,,,,,,,,45,3,6.67E-02,45,3,6.67E-02
203,Amidon Bowen ES,All,140,70,36,22,12,0,12,0.5,0.257142857,0.157142857,8.57E-02,0,8.57E-02,140,61,39,23,15,2,17,0.435714286,0.278571429,0.164285714,0.107142857,1.43E-02,0.121428571,,,,,,,,,,,,,,,,,,,,,,,140,12,8.57E-02,140,17,0.121428571
204,Bancroft ES,3,72,29,12,15,16,0,16,0.402777778,0.166666667,0.208333333,0.222222222,0,0.222222222,72,19,15,20,13,5,18,0.263888889,0.208333333,0.277777778,0.180555556,6.94E-02,0.25,,,,,,,,,,,,,,,,,,,,,,,72,16,0.222222222,72,18,0.25
204,Bancroft ES,4,70,7,23,24,15,1,16,0.1,0.328571429,0.342857143,0.214285714,1.43E-02,0.228571429,70,6,22,21,18,3,21,8.57E-02,0.314285714,0.3,0.257142857,4.29E-02,0.3,,,,,,,,,,,,,,,,,,,,,,,70,16,0.228571429,70,21,0.3
