School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient
202,Aiton Elementary School,3,21,9,4,5,3,0,3,0.428571433,0.190476194,0.238095239,0.142857149,0,0.142857149,21,5,6,6,4,0,4,0.238095239,0.285714298,0.285714298,0.190476194,0,0.190476194
202,Aiton Elementary School,4,26,11,9,6,0,0,0,0.423076928,0.346153855,0.230769232,0,0,0,26,3,9,9,5,0,5,0.115384616,0.346153855,0.346153855,0.192307696,0,0.192307696
202,Aiton Elementary School,5,25,6,11,7,1,0,1,0.239999995,0.439999998,0.280000001,4.00E-02,0,4.00E-02,25,5,10,8,2,0,2,0.200000003,0.400000006,0.319999993,8.00E-02,0,8.00E-02
202,Aiton Elementary School,ALL,72,26,24,18,4,0,4,0.361111104,0.333333343,0.25,5.56E-02,0,5.56E-02,72,13,25,23,11,0,11,0.180555552,0.347222209,0.319444448,0.152777776,0,0.152777776
203,Amidon-Bowen Elementary School,3,45,26,8,4,7,0,7,0.577777803,0.177777782,8.89E-02,0.155555561,0,0.155555561,46,24,14,3,4,1,5,0.521739125,0.304347813,6.52E-02,8.70E-02,2.17E-02,0.108695649
203,Amidon-Bowen Elementary School,4,43,18,10,10,5,0,5,0.418604642,0.232558146,0.232558146,0.116279073,0,0.116279073,44,22,9,10,3,0,3,0.5,0.204545453,0.227272734,6.82E-02,0,6.82E-02
203,Amidon-Bowen Elementary School,5,59,21,18,8,12,0,12,0.355932206,0.305084735,0.135593221,0.203389823,0,0.203389823,59,23,17,12,6,1,7,0.3898305,0.288135588,0.203389823,0.101694912,1.69E-02,0.118644066
203,Amidon-Bowen Elementary School,ALL,147,65,36,22,24,0,24,0.442176878,0.244897962,0.149659857,0.163265303,0,0.163265303,149,69,40,25,13,2,15,0.463087261,0.26845637,0.167785242,8.72E-02,1.34E-02,0.100671142
204,Bancroft Elementary School @ Sharpe,3,75,21,11,18,23,2,25,0.280000001,0.146666661,0.239999995,0.306666672,2.67E-02,0.333333343,75,11,16,20,25,3,28,0.146666661,0.213333338,0.266666681,0.333333343,4.00E-02,0.373333335
204,Bancroft Elementary School @ Sharpe,4,66,12,17,17,13,7,20,0.181818187,0.25757575,0.25757575,0.196969703,0.106060609,0.303030312,66,6,13,20,24,3,27,9.09E-02,0.196969703,0.303030312,0.363636374,4.55E-02,0.409090906
204,Bancroft Elementary School @ Sharpe,5,72,19,15,10,21,7,28,0.263888896,0.208333328,0.138888896,0.291666657,9.72E-02,0.388888896,72,7,16,19,24,6,30,9.72E-02,0.222222224,0.263888896,0.333333343,8.33E-02,0.416666657
204,Bancroft Elementary School @ Sharpe,ALL,213,52,43,45,57,16,73,0.244131461,0.201877937,0.211267605,0.267605633,7.51E-02,0.342723012,213,24,45,59,73,12,85,0.112676054,0.211267605,0.276995301,0.342723012,5.63E-02,0.399061024
205,Barnard Elementary School,3,73,25,14,19,14,1,15,0.342465758,0.19178082,0.260273963,0.19178082,1.37E-02,0.205479458,73,3,14,26,25,5,30,4.11E-02,0.19178082,0.356164396,0.342465758,6.85E-02,0.410958916
205,Barnard Elementary School,4,81,10,15,18,26,12,38,0.123456791,0.185185179,0.222222224,0.320987642,0.148148149,0.469135791,81,3,16,26,32,4,36,3.70E-02,0.197530866,0.320987642,0.395061731,4.94E-02,0.444444448
205,Barnard Elementary School,5,70,6,8,23,31,2,33,8.57E-02,0.114285715,0.328571439,0.442857146,2.86E-02,0.471428573,70,8,15,24,20,3,23,0.114285715,0.214285716,0.342857152,0.285714298,4.29E-02,0.328571439
205,Barnard Elementary School,ALL,224,41,37,60,71,15,86,0.183035716,0.165178567,0.267857134,0.316964298,6.70E-02,0.383928567,224,14,45,76,77,12,89,6.25E-02,0.200892851,0.339285702,0.34375,5.36E-02,0.397321433
206,Beers Elementary School,3,47,16,7,11,12,1,13,0.340425521,0.148936167,0.234042555,0.255319148,2.13E-02,0.276595742,47,11,9,11,15,1,16,0.234042555,0.191489369,0.234042555,0.319148928,2.13E-02,0.340425521
206,Beers Elementary School,4,69,18,16,16,19,0,19,0.260869563,0.231884062,0.231884062,0.275362313,0,0.275362313,69,16,24,17,12,0,12,0.231884062,0.347826093,0.246376812,0.173913047,0,0.173913047
206,Beers Elementary School,5,42,4,13,13,12,0,12,9.52E-02,0.309523821,0.309523821,0.285714298,0,0.285714298,42,11,5,19,7,0,7,0.261904776,0.119047619,0.452380955,0.166666672,0,0.166666672
206,Beers Elementary School,ALL,158,38,36,40,43,1,44,0.240506336,0.227848098,0.25316456,0.272151887,6.33E-03,0.278481007,158,38,38,47,34,1,35,0.240506336,0.240506336,0.297468364,0.215189874,6.33E-03,0.221518993
212,Brent Elementary School,3,64,2,10,12,34,6,40,3.13E-02,0.15625,0.1875,0.53125,9.38E-02,0.625,64,4,4,3,27,26,53,6.25E-02,6.25E-02,4.69E-02,0.421875,0.40625,0.828125
212,Brent Elementary School,4,52,0,3,10,22,17,39,0,5.77E-02,0.192307696,0.423076928,0.326923072,0.75,52,1,4,8,30,9,39,1.92E-02,7.69E-02,0.15384616,0.576923072,0.173076928,0.75
212,Brent Elementary School,5,41,1,12,10,16,2,18,2.44E-02,0.292682916,0.243902445,0.390243888,4.88E-02,0.439024389,41,7,9,9,11,5,16,0.170731708,0.219512194,0.219512194,0.268292695,0.121951222,0.390243888
212,Brent Elementary School,ALL,157,3,25,32,72,25,97,1.91E-02,0.159235671,0.203821659,0.458598733,0.159235671,0.617834389,157,12,17,20,68,40,108,7.64E-02,0.108280256,0.127388537,0.433121026,0.254777074,0.687898099
213,Brightwood Education Campus,3,70,10,12,21,25,2,27,0.142857149,0.171428576,0.300000012,0.357142866,2.86E-02,0.385714293,70,5,14,18,26,7,33,7.14E-02,0.200000003,0.257142872,0.371428579,0.100000001,0.471428573
213,Brightwood Education Campus,4,75,15,22,14,21,3,24,0.200000003,0.293333322,0.186666667,0.280000001,4.00E-02,0.319999993,75,7,14,24,27,3,30,9.33E-02,0.186666667,0.319999993,0.360000014,4.00E-02,0.400000006
213,Brightwood Education Campus,5,78,20,19,19,20,0,20,0.256410271,0.243589744,0.243589744,0.256410271,0,0.256410271,78,11,18,20,28,1,29,0.141025648,0.230769232,0.256410271,0.358974367,1.28E-02,0.371794879
213,Brightwood Education Campus,6,43,8,9,18,7,1,8,0.186046511,0.209302321,0.418604642,0.162790701,2.33E-02,0.186046511,43,5,13,11,14,0,14,0.116279073,0.302325577,0.255813956,0.325581402,0,0.325581402
213,Brightwood Education Campus,7,56,16,22,11,5,2,7,0.285714298,0.392857134,0.196428567,8.93E-02,3.57E-02,0.125,56,11,21,15,8,1,9,0.196428567,0.375,0.267857134,0.142857149,1.79E-02,0.160714284
213,Brightwood Education Campus,8,53,23,10,15,5,0,5,0.433962256,0.188679248,0.283018857,9.43E-02,0,9.43E-02,53,18,11,12,12,0,12,0.339622647,0.207547173,0.226415098,0.226415098,0,0.226415098
213,Brightwood Education Campus,ALL,375,92,94,98,83,8,91,0.245333329,0.250666678,0.261333346,0.22133334,2.13E-02,0.242666662,375,57,91,100,115,12,127,0.151999995,0.242666662,0.266666681,0.306666672,3.20E-02,0.338666677
219,Bunker Hill Elementary School,3,26,11,7,4,4,0,4,0.423076928,0.269230783,0.15384616,0.15384616,0,0.15384616,26,2,5,10,7,2,9,7.69E-02,0.192307696,0.384615391,0.269230783,7.69E-02,0.346153855
219,Bunker Hill Elementary School,4,18,3,5,6,4,0,4,0.166666672,0.277777791,0.333333343,0.222222224,0,0.222222224,18,4,6,5,3,0,3,0.222222224,0.333333343,0.277777791,0.166666672,0,0.166666672
219,Bunker Hill Elementary School,5,23,6,7,6,4,0,4,0.260869563,0.304347813,0.260869563,0.173913047,0,0.173913047,23,7,6,5,5,0,5,0.304347813,0.260869563,0.217391297,0.217391297,0,0.217391297
219,Bunker Hill Elementary School,ALL,67,20,19,16,12,0,12,0.298507452,0.283582091,0.238805965,0.179104477,0,0.179104477,67,13,17,20,15,2,17,0.194029853,0.25373134,0.298507452,0.223880604,2.99E-02,0.25373134
220,Burroughs Elementary School,3,39,11,14,5,9,0,9,0.282051295,0.358974367,0.128205135,0.230769232,0,0.230769232,38,5,18,7,7,1,8,0.131578952,0.473684222,0.184210524,0.184210524,2.63E-02,0.210526317
220,Burroughs Elementary School,4,21,3,4,11,3,0,3,0.142857149,0.190476194,0.523809552,0.142857149,0,0.142857149,21,0,4,8,9,0,9,0,0.190476194,0.380952388,0.428571433,0,0.428571433
220,Burroughs Elementary School,5,23,6,4,6,7,0,7,0.260869563,0.173913047,0.260869563,0.304347813,0,0.304347813,23,0,8,9,6,0,6,0,0.347826093,0.391304344,0.260869563,0,0.260869563
220,Burroughs Elementary School,ALL,83,20,22,22,19,0,19,0.240963861,0.265060246,0.265060246,0.228915662,0,0.228915662,82,5,30,24,22,1,23,6.10E-02,0.365853667,0.292682916,0.268292695,1.22E-02,0.280487806
221,Burrville Elementary School,3,36,13,6,9,7,1,8,0.361111104,0.166666672,0.25,0.194444448,2.78E-02,0.222222224,39,11,7,10,10,1,11,0.282051295,0.179487184,0.256410271,0.256410271,2.56E-02,0.282051295
221,Burrville Elementary School,4,31,7,10,8,5,1,6,0.225806445,0.322580636,0.258064508,0.161290318,3.23E-02,0.193548381,32,6,13,5,8,0,8,0.1875,0.40625,0.15625,0.25,0,0.25
221,Burrville Elementary School,5,20,7,5,7,1,0,1,0.349999994,0.25,0.349999994,5.00E-02,0,5.00E-02,20,5,9,3,2,1,3,0.25,0.449999988,0.150000006,0.100000001,5.00E-02,0.150000006
221,Burrville Elementary School,ALL,87,27,21,24,13,2,15,0.310344815,0.241379306,0.275862068,0.149425283,2.30E-02,0.172413796,91,22,29,18,20,2,22,0.241758242,0.318681329,0.197802201,0.219780222,2.20E-02,0.241758242
224,Cleveland Elementary School,3,39,10,5,14,10,0,10,0.256410271,0.128205135,0.358974367,0.256410271,0,0.256410271,39,5,9,8,12,5,17,0.128205135,0.230769232,0.205128208,0.307692319,0.128205135,0.43589744
224,Cleveland Elementary School,4,41,7,11,8,13,2,15,0.170731708,0.268292695,0.195121944,0.317073166,4.88E-02,0.365853667,41,8,11,12,9,1,10,0.195121944,0.268292695,0.292682916,0.219512194,2.44E-02,0.243902445
224,Cleveland Elementary School,5,29,4,7,9,9,0,9,0.137931034,0.241379306,0.310344815,0.310344815,0,0.310344815,29,2,6,11,10,0,10,6.90E-02,0.206896558,0.37931034,0.344827592,0,0.344827592
224,Cleveland Elementary School,ALL,109,21,23,31,32,2,34,0.192660555,0.211009175,0.284403682,0.293577969,1.83E-02,0.311926603,109,15,26,31,31,6,37,0.137614682,0.238532111,0.284403682,0.284403682,5.50E-02,0.339449555
227,H.D. Cooke Elementary School,3,49,11,10,17,10,1,11,0.224489793,0.20408164,0.346938789,0.20408164,2.04E-02,0.224489793,49,4,9,8,23,5,28,8.16E-02,0.183673471,0.163265303,0.46938777,0.10204082,0.571428597
227,H.D. Cooke Elementary School,4,43,6,6,14,14,3,17,0.139534891,0.139534891,0.325581402,0.325581402,6.98E-02,0.395348847,43,5,8,9,21,0,21,0.116279073,0.186046511,0.209302321,0.488372087,0,0.488372087
227,H.D. Cooke Elementary School,5,45,11,9,14,9,2,11,0.244444445,0.200000003,0.311111122,0.200000003,4.44E-02,0.244444445,45,4,10,9,19,3,22,8.89E-02,0.222222224,0.200000003,0.422222227,6.67E-02,0.48888889
227,H.D. Cooke Elementary School,ALL,137,28,25,45,33,6,39,0.204379559,0.182481751,0.32846716,0.240875915,4.38E-02,0.284671545,137,13,27,26,63,8,71,9.49E-02,0.197080299,0.189781025,0.459854007,5.84E-02,0.5182482
231,Drew Elementary School,3,42,19,7,9,7,0,7,0.452380955,0.166666672,0.214285716,0.166666672,0,0.166666672,42,13,7,13,8,1,9,0.309523821,0.166666672,0.309523821,0.190476194,2.38E-02,0.214285716
231,Drew Elementary School,4,38,15,8,12,3,0,3,0.394736856,0.210526317,0.315789461,7.89E-02,0,7.89E-02,38,18,8,7,5,0,5,0.473684222,0.210526317,0.184210524,0.131578952,0,0.131578952
