School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
202,Aiton Elementary School,3,19,7,5,2,5,0,5,0.368,0.263,0.105,0.263,0,0.263,19,6,4,7,2,0,2,0.316,0.211,0.368,0.105,0,0.105,.,,,,,,,,,,,.,,,,,,,,,,
202,Aiton Elementary School,4,27,12,6,5,4,0,4,0.444,0.222,0.185,0.148,0,0.148,27,13,8,2,4,0,4,0.481,0.296,7.41E-02,0.148,0,0.148,.,,,,,,,,,,,.,,,,,,,,,,
202,Aiton Elementary School,5,24,11,5,5,3,0,3,0.458,0.208,0.208,0.125,0,0.125,24,10,6,5,3,0,3,0.417,0.25,0.208,0.125,0,0.125,.,,,,,,,,,,,.,,,,,,,,,,
202,Aiton Elementary School,ALL,70,30,16,12,12,0,12,0.429,0.229,0.171,0.171,0,0.171,70,29,18,14,9,0,9,0.414,0.257,0.2,0.129,0,0.129,.,,,,,,,,,,,.,,,,,,,,,,
203,Amidon-Bowen Elementary School,3,43,13,10,10,8,2,10,0.302,0.233,0.233,0.186,4.65E-02,0.233,43,12,5,9,15,2,17,0.279,0.116,0.209,0.349,4.65E-02,0.395,.,,,,,,,,,,,.,,,,,,,,,,
203,Amidon-Bowen Elementary School,4,49,16,9,15,9,0,9,0.327,0.184,0.306,0.184,0,0.184,49,12,14,12,10,1,11,0.245,0.286,0.245,0.204,2.04E-02,0.224,.,,,,,,,,,,,.,,,,,,,,,,
203,Amidon-Bowen Elementary School,5,52,15,15,14,8,0,8,0.288,0.288,0.269,0.154,0,0.154,52,12,21,14,5,0,5,0.231,0.404,0.269,9.62E-02,0,9.62E-02,.,,,,,,,,,,,.,,,,,,,,,,
203,Amidon-Bowen Elementary School,ALL,144,44,34,39,25,2,27,0.306,0.236,0.271,0.174,1.39E-02,0.188,144,36,40,35,30,3,33,0.25,0.278,0.243,0.208,2.08E-02,0.229,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,3,62,9,12,15,25,1,26,0.145,0.194,0.242,0.403,1.61E-02,0.419,62,4,6,14,29,9,38,6.45E-02,9.68E-02,0.226,0.468,0.145,0.613,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,4,75,15,11,11,28,10,38,0.2,0.147,0.147,0.373,0.133,0.507,75,10,20,16,25,4,29,0.133,0.267,0.213,0.333,5.33E-02,0.387,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,5,63,7,12,7,26,11,37,0.111,0.19,0.111,0.413,0.175,0.587,63,3,10,12,31,7,38,4.76E-02,0.159,0.19,0.492,0.111,0.603,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,ALL,200,31,35,33,79,22,101,0.155,0.175,0.165,0.395,0.11,0.505,200,17,36,42,85,20,105,8.50E-02,0.18,0.21,0.425,0.1,0.525,.,,,,,,,,,,,.,,,,,,,,,,
