CDSCode,County,District,School,City,Charter,Virtual,Magnet,Latitude,Longitude,Public Yes/No,Percent,M1,M2,M3,M4,M5,M6,M7,F1,F2,F3,F4,F5,F6,F7
1100170130401.0,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,San Leandro,N,N,N,37.712878,-122.11173,Y,0.545,0.0,0.0,0.0,0.0114942528735632,0.2068965517241379,0.5862068965517241,0.0114942528735632,0.0,0.0,0.0,0.0,0.0344827586206896,0.0804597701149425,0.0114942528735632
1100170130419.0,Alameda,Alameda County Office of Education,Alameda County Community,Hayward,N,Y,N,37.658212,-122.09713,Y,0.863,0.0,0.0371900826446281,0.0082644628099173,0.0041322314049586,0.2396694214876033,0.1776859504132231,0.0371900826446281,0.0,0.0082644628099173,0.0,0.0,0.2107438016528925,0.2148760330578512,0.0165289256198347
1100170130625.0,Alameda,Alameda County Office of Education,Alternatives in Action,Oakland,Y,N,N,37.764464,-122.19540,Y,0.0,,,,,,,,,,,,,,
1100170136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Hayward,Y,Y,N,37.658510,-122.09834,Y,0.667,,,,,,,,,,,,,,
1611190106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alameda,N,N,Y,37.780753,-122.27930,Y,0.291,0.0,0.2568306010928962,0.0054644808743169,0.081967213114754,0.0327868852459016,0.0273224043715847,0.081967213114754,0.0,0.2786885245901639,0.0163934426229508,0.0327868852459016,0.0601092896174863,0.0109289617486338,0.081967213114754
1611190130229.0,Alameda,Alameda Unified,Alameda High,Alameda,N,N,N,37.764958,-122.24593,Y,0.178,0.0011198208286674,0.1987681970884658,0.0027995520716685,0.0268756998880179,0.0649496080627099,0.0335946248600224,0.1522956326987682,0.0011198208286674,0.2015677491601343,0.0022396416573348,0.0313549832026875,0.047592385218365,0.028555431131019,0.1590145576707727
1611190134304.0,Alameda,Alameda Unified,Island High (Continuation),Alameda,N,N,N,37.776017,-122.28190,Y,0.425,0.0,0.0625,0.0,0.0390625,0.1953125,0.125,0.1171875,0.0,0.0078125,0.015625,0.0078125,0.1640625,0.078125,0.078125
1611270130294.0,Alameda,Albany City Unified,MacGregor High (Continuation),Albany,N,N,N,37.896420,-122.29211,Y,0.533,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,0.2857142857142857,0.0,0.0
1611270130450.0,Alameda,Albany City Unified,Albany High,Albany,N,N,N,37.896661,-122.29257,Y,0.17,0.0008591065292096,0.1469072164948453,0.0025773195876288,0.0077319587628865,0.0902061855670103,0.0197594501718213,0.1812714776632302,0.0017182130584192,0.140893470790378,0.0,0.0077319587628865,0.0807560137457044,0.0231958762886597,0.1855670103092783
1611430131177.0,Alameda,Berkeley Unified,Berkeley High,Berkeley,N,N,N,37.868913,-122.27120,Y,0.272,0.0006626905235255,0.0347912524850894,0.0009940357852882,0.0036447978793903,0.1083499005964214,0.0768721007289595,0.2060967528164347,0.0016567263088137,0.0473823724320742,0.0016567263088137,0.0049701789264413,0.1119946984758118,0.0931080185553346,0.1935056328694499
