Control,Bata,Aconibe,Añisoc,Evinayong,Mengomeyén,Micomeseng,Malabo,Luba,Ebebiyín,Mongomo
0,-6,15,13,13,15,1,19,-11,9,14
0,68,-8,-21,-18,28,21,77,0,30,5
0,-3,-14,-6,-17,34,8,78,5,41,23
0,65,1,-15,-14,118,-11,149,-6,35,15
0,9,-4,-2,4,10,2,156,26,10,2
0,53,-16,1,1,-16,2,84,14,-16,-16
0,17,1,-2,-3,5,-4,149,3,1,4
0,44,1,0,6,18,0,144,5,4,5
0,48,7,5,3,71,2,128,37,15,4
0,21,7,-2,-3,40,-2,133,29,-1,5
0,37,6,3,0,16,2,179,31,29,3
0,31,-2,0,-1,25,5,77,25,3,1
0,9,1,0,1,2,1,175,41,3,4
0,60,5,-1,-2,3,0,127,6,4,2
0,113,5,3,1,68,2,167,54,23,15
0,46,3,0,-1,10,-1,135,41,27,7
0,24,0,-3,-3,1,-3,110,20,3,-3
0,60,-1,-1,-2,3,0,161,12,6,3
0,121,7,2,2,32,1,158,10,11,21
0,30,2,4,4,11,2,52,35,50,12
0,53,7,1,1,46,0,48,2,49,11
0,14,-4,3,0,-4,-3,103,-2,-4,-4
0,115,0,-1,2,6,0,50,11,3,4
0,71,3,3,0,41,4,133,9,27,17
0,50,-2,-1,-2,109,4,117,31,33,7
0,64,-5,-8,1,41,36,134,20,48,19
0,-13,-10,3,13,4,-6,10,-52,-29,2
0,-16,-14,-15,-2,-15,-28,5,-44,-8,-13
0,80,-6,10,53,80,-1,105,40,36,38
0,56,-18,-4,-8,6,-11,20,-9,-1,-43
0,-4,-37,-54,2,6,-53,13,-43,-33,-27
0,109,6,-4,-9,50,-7,105,11,54,-2
0,12,5,-6,-4,15,9,117,35,16,2
0,89,-6,9,-16,-11,-5,130,12,4,-11
0,166,1,-5,7,63,-3,160,78,23,20
0,174,2,2,1,14,-3,174,47,48,5
0,139,9,2,1,39,-1,48,18,30,11
0,-3,-4,-3,2,-4,-2,119,4,-4,-4
0,12,-1,-2,0,-3,-2,160,40,29,18
0,143,0,3,1,2,1,151,83,10,6
0,65,4,6,5,8,0,85,34,10,18
0,113,11,1,2,1,3,140,59,34,5
0,4,7,1,4,1,1,156,31,2,-3
0,28,3,1,-1,32,-1,178,35,46,10
0,43,9,4,2,68,3,159,14,6,15
0,76,6,2,4,33,0,141,83,33,7
0,80,7,4,1,15,2,112,15,14,12
0,40,9,-1,0,11,-2,129,19,9,10
0,29,-1,-1,-2,0,-4,106,-4,-3,5
0,89,4,0,0,8,0,104,51,16,10
0,70,13,2,2,58,-2,131,4,17,5
0,110,26,2,4,63,2,110,8,10,12
0,32,8,3,3,85,4,94,12,19,13
0,2,-10,1,4,-10,-3,60,6,-10,-10
0,15,-9,-1,-2,-6,-5,32,1,-7,-5
0,12,13,-5,-10,16,-13,71,-24,7,15
0,48,21,-14,17,50,46,114,48,11,2
0,35,-29,-23,-41,18,-32,70,-10,45,-45
0,5,-38,-61,-2,-4,-59,31,-54,-14,-54
0,14,55,7,19,17,7,94,-24,4,16
0,14,7,9,-2,12,10,65,-26,19,15
0,70,10,8,7,74,9,142,37,40,4
0,137,5,-3,10,59,2,58,7,45,-3
0,53,10,4,7,9,6,70,20,12,10
0,13,2,7,4,4,-3,62,9,10,8
0,61,1,4,1,67,2,144,9,28,12
0,177,4,3,3,66,0,164,21,18,15
0,67,7,3,3,4,0,162,77,6,13
0,15,3,2,-2,4,1,0,2,2,4
0,1,-13,-1,0,-13,0,110,-3,-13,-13
0,82,3,3,1,43,2,168,60,5,10
0,176,1,3,3,5,1,75,17,8,14
0,2,2,0,2,1,1,138,1,3,5
0,141,1,1,2,106,-2,168,37,46,6
0,52,1,0,3,4,2,55,2,2,3
0,7,7,0,6,4,5,98,17,0,1
0,176,1,4,0,112,2,54,4,28,4
0,55,8,4,1,46,-1,14,2,17,3
0,94,5,3,4,6,1,34,5,7,6
0,27,-1,0,-2,2,-3,85,11,1,3
0,0,9,1,2,6,10,74,5,4,6
0,4,0,-1,-3,2,-2,81,3,-2,14
0,4,1,1,0,2,-2,13,3,2,3
0,7,-16,-19,-8,-30,-18,12,7,-23,-17
0,41,16,28,-21,18,29,61,-11,26,23
0,0,-103,-9,-2,-103,-15,27,-37,-103,-103
0,45,16,11,-10,23,41,80,7,29,-25
0,-37,0,-12,0,0,-9,-20,-58,0,0
0,-22,-65,-68,-45,-38,-71,6,-20,-61,-72
0,37,38,-3,13,26,-9,51,-32,-8,24
0,40,-21,17,-4,11,-16,86,-20,-10,-12
0,10,-10,10,7,18,-18,75,-5,19,-7
0,11,2,-3,4,6,-14,77,17,-3,-12
0,49,1,0,-2,122,1,165,24,13,8
0,106,35,3,1,19,1,168,67,21,7
0,30,1,-1,-2,-3,2,9,-2,26,11
0,84,5,1,8,1,-1,124,21,5,-2
0,31,4,3,1,71,-1,124,19,7,13
0,1,0,1,0,0,0,4,1,0,1
0,120,2,2,2,77,0,142,33,14,7
0,25,1,2,0,17,-1,3,25,24,2
0,-1,-2,0,3,-2,4,1,1,-2,-2
0,5,-5,3,-3,27,-3,166,57,6,6
0,100,34,4,4,6,-1,133,52,16,8
0,65,3,4,4,108,0,112,2,28,5
0,83,0,3,-1,49,-1,87,4,11,9
0,140,16,5,4,23,0,178,0,1,0
0,6,7,3,2,1,3,9,5,6,3
0,14,1,0,2,-2,-1,165,50,5,1
0,22,1,3,4,90,-1,149,26,65,11
0,176,6,3,1,114,-1,118,36,22,7
0,56,5,2,-7,20,-11,156,81,16,5
0,2,-5,-6,-5,-2,-7,2,2,2,2
0,-14,6,-12,1,-1,-9,18,-21,-11,0
0,151,32,6,0,69,12,143,67,3,-4
0,110,-40,-23,-35,90,29,80,-28,-26,-33
0,0,0,0,0,-6,0,-19,-38,-16,-11
0,7,-157,-22,-13,-157,-12,1,5,-157,-157
0,-11,46,-22,4,36,-27,117,45,27,24
0,14,29,-9,-12,27,8,41,-4,2,11
0,131,-9,-9,-31,19,-16,67,-9,23,-13
0,110,-3,16,3,30,7,13,16,-4,17
0,2,-1,-6,3,2,0,14,4,-1,0
0,77,19,12,7,9,5,22,3,22,16
0,62,1,1,1,110,0,33,11,6,3
0,158,1,2,2,4,1,126,1,12,5
0,23,16,3,1,79,0,128,46,8,3
0,14,15,-3,-1,3,-1,1,-1,-3,3
0,62,2,1,-1,3,1,10,51,5,1
0,145,1,-1,0,138,2,176,14,87,2
0,177,0,1,-1,102,1,162,43,0,36
0,14,12,3,0,99,1,171,47,10,4
0,18,1,0,5,1,0,60,3,0,0
0,7,-5,-4,6,-5,-2,141,57,-5,-5
0,71,1,0,-1,157,1,154,73,14,2
0,17,1,1,-1,86,1,156,5,13,17
0,71,5,3,2,5,2,144,97,14,21
0,3,7,1,0,17,-1,144,23,11,32
0,175,4,1,4,2,2,161,11,52,5
0,-1,-3,4,2,-1,-2,8,2,2,2
0,78,4,4,5,2,4,138,57,13,6
0,21,6,10,2,32,6,11,12,9,18
0,12,-32,-38,-4,-23,-33,-5,-9,4,-22
0,55,-47,-16,-56,29,-9,96,-38,23,-51
0,59,2,-16,-33,3,18,92,-12,2,-5
0,7,3,4,10,45,37,26,-22,26,16
0,12,-36,-21,-8,-10,-49,-11,-32,14,-38
0,16,-41,-44,-24,-12,-21,1,-12,-22,-29
0,28,-20,-12,-9,58,-3,75,-1,19,-14
0,30,-58,-25,-22,-58,-2,73,1,-58,-58
0,34,-5,-19,-10,-9,-14,24,14,-6,1
0,112,6,9,5,11,7,31,12,8,22
0,29,-2,-2,0,1,-4,122,-4,11,14
0,173,5,7,1,107,0,11,3,23,8
0,48,8,3,2,13,1,93,129,55,4
0,-4,-3,-4,-5,0,0,1,-4,-3,-3
0,-3,-4,-1,0,-1,-1,24,22,2,-1
0,50,1,2,2,2,0,40,2,3,7
0,25,8,4,3,33,6,134,35,24,9
0,67,2,1,2,11,1,4,4,26,5
0,4,-3,1,1,1,-3,16,0,2,4
0,157,0,2,1,105,-1,1,1,25,3
0,4,1,1,2,1,-1,0,0,5,3
0,34,1,1,4,93,0,160,4,9,3
0,161,4,2,1,30,0,143,3,5,4
0,38,-7,-3,1,-7,0,58,40,-7,-7
0,1,-4,-4,-4,-1,0,110,102,15,5
0,86,9,3,2,16,1,85,27,87,4
0,105,16,10,2,105,1,118,68,110,11
0,33,-1,1,1,4,-2,177,32,5,14
0,116,20,12,5,19,4,145,20,20,31
0,-2,-2,-8,-7,-1,-4,56,6,-6,0
0,3,-1,-11,-2,-9,-18,31,-23,-11,-7
0,-3,-54,-17,-1,4,-34,22,1,-22,-26
0,8,12,5,-2,22,-1,40,26,4,6
0,17,34,43,45,87,-12,111,-6,30,44
0,31,3,-3,4,4,-18,32,34,-6,-10
0,-40,-23,-8,-7,-14,-17,12,13,-23,-10
0,11,-7,-15,-17,10,-22,27,-5,1,9
0,30,2,-2,-13,46,17,19,15,19,9
0,54,-6,4,-1,110,5,141,8,38,-5
0,94,-14,3,11,-14,2,26,14,-14,-14
0,27,7,3,6,5,0,111,3,19,12
0,26,6,5,1,19,2,6,4,11,5
0,1,1,2,2,2,1,21,0,18,9
0,18,7,0,1,2,1,38,59,3,2
0,65,-3,-3,-3,-1,-1,170,-3,-1,3
0,148,-3,3,-1,43,-4,8,-4,24,6
0,30,11,2,5,35,1,24,3,20,16
0,154,6,2,3,115,0,33,10,16,5
0,152,3,1,3,14,2,178,1,20,9
0,136,11,1,13,0,0,46,8,11,0
0,3,-2,-2,-2,-1,-1,144,6,3,2
0,33,1,2,1,4,2,33,0,4,5
0,176,0,-1,3,80,0,163,10,44,9
0,73,1,1,1,48,2,84,2,9,14
0,75,1,2,2,2,1,48,1,4,4
0,119,-1,6,1,-1,1,38,0,-1,-1
0,10,7,1,7,6,0,144,35,0,1
0,18,5,3,4,15,3,62,10,2,10
0,67,3,5,8,77,0,123,6,22,8
0,35,6,10,4,32,7,33,5,16,0
0,51,24,28,28,33,25,34,43,35,39
0,-14,-53,25,-18,-39,-12,11,13,-28,-36
