Location,"1990Ð
2000","2000Ð
2010","2010Ð
2014","1990Ð
2014"
Zimbabwe,-1.53,0.75,2.50,0.08
Tajikistan,-1.39,1.28,0.68,0.06
Lesotho,-1.05,0.62,1.30,0.03
Moldova (Republic of),-0.87,1.19,0.78,0.26
Congo,-0.87,1.25,1.61,0.42
Swaziland,-0.78,0.57,0.28,-0.04
Congo (Democratic Republic of the),-0.77,2.18,1.52,0.83
Kenya,-0.58,1.70,0.92,0.62
Ukraine,-0.54,0.92,0.51,0.24
Botswana,-0.41,1.96,0.61,0.74
Namibia,-0.39,0.94,0.70,0.35
Kyrgyzstan,-0.37,0.68,0.84,0.26
Russian Federation,-0.17,0.88,0.47,0.38
Kazakhstan,-0.15,1.20,0.73,0.56
Central African Republic,-0.14,1.58,-0.84,0.45
Cameroon,-0.13,1.07,1.32,0.61
Serbia,-0.05,0.65,0.45,0.32
Romania,0.04,1.06,0.26,0.50
Cuba,0.15,1.28,-0.28,0.54
South Africa,0.17,0.18,0.87,0.29
Mongolia,0.18,1.68,1.11,0.96
Burundi,0.20,2.62,0.66,1.28
Gabon,0.20,0.48,0.76,0.41
Europe and Central Asia,0.22,0.94,0.59,0.58
Canada,0.22,0.41,0.28,0.31
C™te d'Ivoire,0.23,1.12,0.98,0.72
Armenia,0.24,1.08,0.41,0.62
Bulgaria,0.26,0.81,0.29,0.49
United States,0.28,0.28,0.18,0.26
Lithuania,0.32,0.93,0.38,0.58
Tonga,0.32,0.60,0.14,0.41
Slovakia,0.34,0.82,0.48,0.56
Senegal,0.36,1.83,0.55,1.00
Australia,0.36,0.33,0.20,0.32
Jamaica,0.42,0.38,-0.30,0.28
Ecuador,0.45,0.61,0.52,0.53
Samoa,0.45,0.70,0.21,0.52
Brunei Darussalam,0.46,0.29,0.37,0.38
Malta,0.49,0.74,0.45,0.59
Latvia,0.49,1.09,0.25,0.70
Barbados,0.50,0.36,0.18,0.39
Albania,0.50,0.96,0.35,0.67
Greece,0.51,0.81,-0.04,0.55
Japan,0.51,0.31,0.18,0.37
Togo,0.52,0.76,1.29,0.75
Austria,0.53,0.50,0.17,0.46
Sub-Saharan Africa,0.54,1.68,0.94,1.08
"Hong Kong, China (SAR)",0.55,0.85,0.32,0.64
Netherlands,0.56,0.36,0.34,0.44
Small island developing states,0.56,0.79,0.13,0.59
Syrian Arab Republic,0.58,0.88,-1.82,0.30
Iraq,0.58,0.62,0.34,0.56
Haiti,0.58,0.62,0.67,0.61
Belize,0.59,0.38,0.19,0.43
Venezuela (Bolivarian Republic of),0.59,1.17,0.18,0.76
Tanzania (United Republic of),0.60,2.46,1.05,1.44
Philippines,0.61,0.50,0.52,0.55
Very high human development,0.61,0.42,0.26,0.47
Organisation for Economic Co-operation and Development,0.61,0.44,0.24,0.48
Bahrain,0.62,0.32,0.14,0.41
Ghana,0.63,1.33,1.13,1.00
Trinidad and Tobago,0.63,0.74,0.01,0.57
New Zealand,0.64,0.35,0.24,0.45
Germany,0.66,0.58,0.26,0.56
Switzerland,0.67,0.40,0.14,0.47
Iceland,0.69,0.38,0.20,0.48
Uruguay,0.70,0.50,0.40,0.57
Qatar,0.71,0.42,0.18,0.50
World,0.71,0.85,0.47,0.73
Zambia,0.71,2.52,1.36,1.57
Fiji,0.72,0.56,0.36,0.59
Estonia,0.73,0.71,0.69,0.71
Slovenia,0.73,0.61,0.13,0.58
Chile,0.74,0.79,0.56,0.73
Paraguay,0.74,0.70,0.41,0.67
Libya,0.75,0.34,-1.07,0.27
Sao Tome and Principe,0.76,1.02,0.52,0.83
Czech Republic,0.76,0.50,0.21,0.56
Saudi Arabia,0.76,0.79,1.00,0.81
Denmark,0.76,0.53,0.41,0.61
Mexico,0.77,0.65,0.35,0.65
Norway,0.77,0.25,0.11,0.44
Costa Rica,0.77,0.64,0.52,0.67
Argentina,0.78,0.62,0.75,0.71
Italy,0.79,0.47,0.13,0.55
Israel,0.80,0.38,0.31,0.54
Belgium,0.81,0.10,0.21,0.41
High human development,0.81,1.20,0.71,0.95
Panama,0.85,0.64,0.61,0.72
France,0.85,0.38,0.20,0.55
Mauritius,0.86,1.15,0.68,0.95
Cyprus,0.87,0.59,0.04,0.62
Luxembourg,0.88,0.41,0.16,0.56
Hungary,0.90,0.67,0.21,0.69
Finland,0.90,0.25,0.13,0.50
Spain,0.90,0.47,0.27,0.62
Sri Lanka,0.91,0.85,0.62,0.83
Latin America and the Caribbean,0.91,0.70,0.47,0.75
Low human development,0.92,1.90,0.92,1.32
Colombia,0.93,0.76,0.50,0.79
United Arab Emirates,0.94,0.39,0.21,0.59
Honduras,0.95,0.91,-0.16,0.75
Dominican Republic,0.95,0.68,0.50,0.76
Sweden,0.96,0.04,0.16,0.45
Portugal,0.97,0.47,0.33,0.65
Poland,0.99,0.53,0.41,0.70
Yemen,0.99,1.19,0.08,0.92
Peru,1.00,0.58,0.57,0.75
Developing countries,1.02,1.23,0.70,1.06
Arab States,1.02,0.99,0.38,0.90
Guyana,1.05,0.36,0.47,0.66
Pakistan,1.07,1.62,0.79,1.25
Algeria,1.09,1.26,0.35,1.04
Ireland,1.12,0.54,0.21,0.72
Croatia,1.12,0.75,0.32,0.83
United Kingdom,1.13,0.46,0.02,0.67
Korea (Republic of),1.16,0.77,0.33,0.86
Brazil,1.18,0.76,0.60,0.91
Kuwait,1.18,0.06,0.23,0.55
Bolivia (Plurinational State of),1.19,0.61,0.79,0.88
Afghanistan,1.20,2.97,0.97,1.89
Malaysia,1.21,0.62,0.32,0.82
Jordan,1.25,0.53,0.17,0.77
Thailand,1.25,1.00,0.35,1.00
Turkey,1.26,1.23,0.79,1.17
Medium human development,1.28,1.29,0.78,1.20
Egypt,1.31,0.90,0.33,0.98
Sierra Leone,1.32,2.63,1.59,1.91
Benin,1.33,1.78,0.64,1.40
Singapore,1.33,0.92,0.41,1.00
Nicaragua,1.34,0.91,0.51,1.02
Indonesia,1.34,0.92,0.71,1.06
Guatemala,1.35,1.03,0.65,1.10
East Asia and the Pacific,1.39,1.48,0.87,1.34
Least developed countries,1.39,1.95,0.92,1.54
Cambodia,1.40,2.50,0.87,1.77
South Asia,1.42,1.55,0.86,1.38
Tunisia,1.43,0.88,0.26,1.00
Morocco,1.44,1.48,0.69,1.33
El Salvador,1.46,0.79,0.50,1.02
India,1.49,1.67,0.97,1.48
Lao People's Democratic Republic,1.51,1.56,1.62,1.55
Gambia,1.55,1.38,-0.02,1.22
China,1.62,1.74,1.02,1.57
Nepal,1.62,1.64,0.78,1.49
Iran (Islamic Republic of),1.62,1.11,0.74,1.26
Mauritania,1.71,0.98,0.92,1.28
Malawi,1.83,2.14,1.49,1.90
Niger,1.85,2.40,1.69,2.05
Papua New Guinea,1.87,1.51,0.60,1.51
Myanmar,1.90,2.03,0.72,1.76
Sudan,1.90,1.52,0.74,1.55
Viet Nam,1.92,1.29,0.47,1.41
Bangladesh,1.94,1.57,1.07,1.64
Uganda,2.47,1.86,0.51,1.89
Mali,2.97,2.73,0.61,2.47
Rwanda,3.16,3.13,1.61,2.89
Mozambique,3.25,2.96,0.94,2.74
Liechtenstein,,,0.14,
Andorra,,,0.66,
Montenegro,,,0.32,
Belarus,,1.41,0.39,
Oman,,,-0.06,
Bahamas,,-0.06,0.51,
Antigua and Barbuda,,,0.03,
Palau,,0.31,0.44,
Seychelles,,0.39,0.97,
Lebanon,,,0.43,
Georgia,,0.89,0.65,
Saint Kitts and Nevis,,,0.44,
Azerbaijan,,1.46,0.35,
Grenada,,,0.43,
The former Yugoslav Republic of Macedonia,,,0.31,
Bosnia and Herzegovina,,,0.78,
Saint Lucia,,0.66,-0.02,
Dominica,,0.41,0.03,
Saint Vincent and the Grenadines,,0.55,0.30,
Suriname,,,0.24,
Maldives,,1.25,0.86,
Turkmenistan,,,0.80,
"Palestine, State of",,,0.29,
Uzbekistan,,0.98,0.77,
Cabo Verde,,0.96,0.66,
Micronesia (Federated States of),,0.56,0.06,
Bhutan,,,1.39,
Timor-Leste,,2.51,-0.22,
Vanuatu,,,0.19,
Kiribati,,,0.09,
Equatorial Guinea,,1.18,-0.18,
Angola,,2.70,1.11,
Nigeria,,,1.06,
Madagascar,,1.02,0.27,
Solomon Islands,,1.02,0.57,
Comoros,,,0.75,
Djibouti,,2.17,0.97,
South Sudan,,,-0.15,
Ethiopia,,3.78,1.78,
Liberia,,1.20,1.50,
Guinea-Bissau,,,0.42,
Guinea,,1.83,1.50,
Burkina Faso,,,1.58,
Chad,,1.12,1.37,
Eritrea,,,0.62,
,,,,
,,,,
,,,,
,,,,
