Name,Mean,Length,Standard_Deviation
Bata,47.9972602739726,365,49.216079892102414
Aconibe,-0.4657534246575342,365,19.832043523642465
Añisoc,-1.8164383561643835,365,15.59257196445335
Evinayong,-0.6712328767123288,365,12.695346982824095
Mengomeyén,19.575342465753426,365,37.31699588048967
Micomeseng,-0.8821917808219178,365,15.10712064173707
Malabo,82.26849315068493,365,58.192407449864795
Luba,11.295890410958904,365,26.90061295900848
Ebebiyín,9.386301369863014,365,24.381048503247722
Mongomo,1.2027397260273973,365,21.097692523968526
