Date,Bata,Aconibe,Añisoc,Evinayong,Mengomeyén,Micomeseng,Malabo,Luba,Ebebiyín,Mongomo
2021-01-01,53,97,60,64,86,79,56,44,107,58
2021-01-02,50,91,59,93,87,86,18,27,69,54
2021-01-03,57,29,24,36,31,59,24,35,39,23
2021-01-04,48,17,49,16,42,14,15,13,40,49
2021-01-05,5,24,14,24,12,8,14,26,9,6
2021-01-06,0,13,14,9,39,0,4,10,0,0
2021-01-07,13,5,8,11,11,10,5,2,10,16
2021-01-08,1,3,2,4,2,2,6,7,3,2
2021-01-09,1,2,1,1,1,1,1,2,1,1
2021-01-10,1,1,2,1,4,1,2,1,1,1
2021-01-11,1,1,2,2,1,1,2,2,1,1
2021-01-12,1,2,1,1,4,2,1,1,1,1
2021-01-13,2,4,5,2,7,1,1,7,4,4
2021-01-14,2,1,1,2,1,1,2,2,1,3
2021-01-15,1,1,2,1,1,1,1,1,1,2
2021-01-16,3,1,5,2,2,2,24,1,2,4
2021-01-17,1,4,1,1,1,6,3,3,0,5
2021-01-18,3,3,2,1,5,3,3,2,2,4
2021-01-19,1,2,2,3,3,2,8,1,3,4
2021-01-20,3,1,2,2,2,1,1,2,2,2
2021-01-21,2,4,3,3,3,6,3,23,2,2
2021-01-22,0,0,5,1,2,1,1,2,23,23
2021-01-23,1,1,1,2,2,1,2,1,1,1
2021-01-24,3,3,5,3,5,7,3,3,3,9
2021-01-25,26,11,29,32,27,12,13,15,9,9
2021-01-26,92,55,20,32,21,96,26,31,28,21
2021-01-27,73,78,96,85,90,80,60,60,101,76
2021-01-28,77,107,145,111,126,145,115,74,84,132
2021-01-29,56,75,55,131,89,48,44,124,83,86
2021-01-30,81,55,64,64,56,60,43,62,40,66
2021-01-31,90,137,89,90,88,137,47,34,109,104
2021-02-01,28,28,19,13,28,16,13,46,97,54
2021-02-02,44,48,34,47,31,29,14,23,46,47
2021-02-03,11,17,13,13,13,15,10,18,13,38
2021-02-04,12,5,9,16,20,6,4,6,22,25
2021-02-05,6,6,6,6,5,5,13,3,4,5
2021-02-06,4,5,4,4,4,4,10,2,2,5
2021-02-07,6,1,3,4,3,0,3,12,2,0
2021-02-08,1,1,1,1,1,1,1,2,2,1
2021-02-09,4,3,4,2,2,1,2,2,5,1
2021-02-10,3,4,2,2,3,4,11,3,4,3
2021-02-11,1,3,2,1,1,2,1,2,2,3
2021-02-12,6,4,8,6,3,4,7,4,5,5
