Control,Bata,Aconibe,Añisoc,Evinayong,Mengomeyén,Micomeseng,Malabo,Luba,Ebebiyín,Mongomo
0,-43,-35,-45,-42,-31,-45,-58,-18,-31,-31
0,0,0,0,0,0,-20,-86,-86,-32,19
0,-5,0,10,10,0,0,7,4,8,19
0,0,-29,-29,0,-5,-29,-35,-36,-29,0
0,-1,-1,-1,-1,-2,-1,-5,-5,-5,-1
0,34,0,0,38,38,12,12,30,0,0
0,3,0,-2,-2,0,0,-4,0,3,8
0,0,1,0,1,-1,1,-2,5,0,0
0,0,0,0,0,0,0,0,0,0,0
0,-1,0,-1,0,0,-1,15,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,2
0,-3,-3,-3,0,0,0,-3,-3,-3,-3
0,1,0,2,0,0,0,-1,9,0,-1
0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,2,0,1,0,0,0,1,1,1
0,0,0,0,3,0,0,1,2,0,0
0,3,1,3,1,3,1,0,0,1,0
0,-1,-1,-1,-1,-1,-1,-2,9,-1,0
0,0,-1,-3,-2,-2,-1,-3,9,-2,-2
0,1,0,0,0,-1,-2,-1,-1,0,-2
0,-2,2,0,-1,-1,0,-1,-1,-2,-2
0,0,0,-2,-2,0,-2,-2,0,-2,-2
0,4,0,4,0,4,3,0,0,1,0
0,2,0,0,2,2,0,-13,-13,-15,-14
0,-37,-37,-37,-37,-37,-37,-44,-61,-66,-68
0,31,25,0,10,10,31,-37,-15,18,26
0,-36,41,-36,41,41,41,-34,-10,0,36
0,-1,-1,15,45,45,-1,8,83,45,38
0,0,8,4,10,10,10,-19,-19,13,-9
0,1,0,1,-43,-55,1,-109,-101,-44,-40
0,-17,0,-17,-13,-17,-13,-4,-3,0,0
0,0,0,2,0,-5,-1,-8,-15,16,16
0,-2,-2,-3,-2,-3,-2,-10,-10,-6,-5
0,0,3,0,3,7,0,-1,-2,6,7
0,0,0,2,0,3,2,1,17,2,2
0,-1,-1,-1,-3,-1,-3,-1,11,0,-1
0,0,0,0,0,0,4,-1,-3,-4,-4
0,0,2,-1,0,-1,-1,0,0,1,1
0,0,1,-1,1,-1,-1,-1,-1,1,1
0,-1,-1,0,1,-1,-2,1,14,-1,-1
0,1,1,1,1,1,0,-1,-1,1,0
0,1,0,0,0,0,1,-3,-2,1,-1
0,0,0,0,0,0,0,0,20,1,1
0,0,-1,0,0,0,0,6,-1,-2,-2
0,-1,-1,-1,-1,-1,-1,-1,-1,0,-2
0,0,0,0,0,-1,0,0,0,0,-1
0,3,-1,1,0,3,3,3,3,2,0
0,-7,-6,-7,-6,-6,-6,-6,-5,-8,-8
0,-1,0,-1,1,-1,-1,-1,16,0,-2
0,0,0,0,0,0,-1,1,1,0,0
0,0,0,-1,-1,-1,0,1,1,0,0
0,0,0,2,0,0,0,26,26,3,0
0,-9,-9,4,0,0,0,3,2,-9,-9
0,15,18,1,11,15,15,-16,-11,-5,-5
0,0,0,0,0,12,0,0,-4,-4,-4
0,-16,-16,-11,-11,-11,-10,28,28,2,2
0,12,-4,0,0,0,0,43,11,7,7
0,3,9,3,8,9,12,5,42,11,9
0,67,-5,-5,-5,12,67,18,-6,32,62
0,2,64,-2,2,64,2,-18,-18,64,51
0,-5,-13,-5,-5,-8,-13,-17,-15,1,-5
0,0,0,0,5,3,0,8,44,3,19
0,0,0,0,-6,-6,0,-1,-1,-10,2
0,-2,-3,-3,0,-5,-3,-8,-8,3,3
0,0,2,0,3,0,0,2,2,5,6
0,0,-1,0,0,0,0,0,5,0,-1
0,0,1,0,0,0,0,0,8,0,0
0,0,-4,0,-4,-4,-6,-1,13,-5,-3
0,0,-7,7,-1,-7,7,1,1,-7,-7
0,2,2,2,0,0,0,-2,-2,1,0
0,0,1,1,1,0,1,2,3,4,0
0,0,1,0,-1,-1,1,-3,0,1,1
0,0,3,3,3,3,0,-1,0,4,3
0,1,-2,-4,0,1,0,24,-1,-2,0
0,0,0,0,0,0,4,2,3,2,0
0,1,0,1,1,1,1,0,-1,-1,1
0,-1,0,0,0,-1,0,-1,-1,0,0
0,1,1,0,0,0,-1,1,2,1,-1
0,-1,5,0,0,0,-1,32,0,-1,-1
0,-2,-3,-7,-3,-1,-3,-5,-5,0,-8
0,0,0,-1,0,0,0,-1,-1,1,-2
0,0,2,0,0,0,0,1,1,-1,-6
0,13,13,13,-2,17,16,32,20,-1,-3
0,-23,0,0,0,-5,-23,7,7,-23,-23
0,0,2,2,2,-25,2,-48,-48,-58,-58
0,87,-3,0,0,0,87,53,2,61,16
0,0,0,19,1,0,19,-71,-71,10,11
0,20,4,-4,-4,24,24,36,21,24,28
0,6,34,34,18,34,35,-9,-58,18,18
0,-12,-12,-12,-12,-12,-11,-25,-25,4,-5
0,-4,-4,0,-4,-4,2,18,-16,26,7
0,-4,2,-2,-4,-2,-4,-21,-21,1,-2
0,0,-1,0,8,0,8,5,4,11,11
0,0,0,0,2,2,0,2,2,-1,0
0,-2,-2,0,-1,-2,1,-1,-1,-2,-2
0,-1,0,-1,1,1,-1,-1,6,-2,-1
0,0,0,0,0,0,0,2,0,1,1
0,-1,0,1,-1,1,0,0,1,-1,-1
0,0,-2,-2,-2,1,1,1,0,-1,0
0,2,0,2,0,2,2,2,2,0,0
0,7,7,7,7,7,7,1,3,0,2
0,3,-3,0,-1,2,0,-1,-1,-3,-1
0,1,0,0,0,0,3,1,1,1,1
0,0,1,0,0,0,0,-1,0,0,0
0,0,0,0,-4,0,-2,5,-4,-1,-2
0,-5,-2,0,-2,-2,-2,-2,10,-1,-1
0,-4,-3,0,0,0,0,-3,-4,-2,5
0,1,1,0,0,0,-1,-2,-1,2,2
0,1,-1,-1,0,1,-1,14,-2,-1,0
0,0,0,0,0,1,0,-2,-2,1,0
0,-6,-7,-4,-7,-9,-7,-20,-21,-8,-9
0,-4,-4,-4,0,-6,-4,1,1,-4,-4
0,0,0,5,-7,0,1,-40,-40,5,5
0,-2,41,41,16,0,3,-4,0,28,49
0,0,0,-22,0,0,0,-19,-27,-33,-33
0,47,0,84,0,3,47,84,84,-22,50
0,0,3,0,60,0,0,-6,-4,-98,-98
0,-3,0,0,35,0,0,4,-36,1,1
0,0,0,0,0,0,0,-103,-103,-42,-41
0,-15,-15,-15,-3,-12,-20,-22,-22,2,0
0,5,0,0,0,0,-4,1,-20,-18,-18
0,-4,-4,-5,0,0,-4,-2,-12,-6,-6
0,-2,17,17,-2,6,17,0,40,9,9
0,-1,-1,-3,-1,-1,-1,-1,-2,1,1
0,1,1,0,1,1,1,18,18,1,0
0,-1,-1,1,2,0,1,2,2,1,0
0,0,0,1,4,0,4,1,1,1,0
0,-1,0,-1,0,-1,-4,-4,-4,-1,-1
0,2,0,-1,0,0,0,0,3,2,1
