Name,Mean,Length,Standard_Deviation
Bata,-1.5972602739726027,365,16.262594211725826
Aconibe,-0.6712328767123288,365,12.398881988902884
Añisoc,-2.1506849315068495,365,14.59157444757934
Evinayong,-1.8164383561643835,365,14.779208495834947
Mengomeyén,-1.0493150684931507,365,14.638417797989
Micomeseng,0.3917808219178082,365,13.513218532853829
Malabo,-4.049315068493151,365,24.159788151814762
Luba,-5.367123287671233,365,24.923994654929096
Ebebiyín,-2.136986301369863,365,20.103656567305993
Mongomo,-1.4383561643835616,365,19.687661599804144
