Location,Salary
"Apple Valley, MN",107000.0
"Charlotte, NC",112500.0
"Jackson, MS",118269.0
"Dallas, TX",77500.0
"Dallas, TX",109500.0
"Nashville, TN",65500.0
"Boston, MA",62500.0
"Quantico, VA",55000.0
"Palmdale, CA",238500.0
"Social Circle, GA",
"South Burlington, VT",66000.0
"La Grange, IL",103000.0
"Englewood, CO",110000.0
"Mason, OH",133500.0
"Draper, UT",135000.0
"Jacksonville, FL",118500.0
"Irving, TX",130000.0
"Danvers, MA",97500.0
"Englewood, CO",50000.0
"Minneapolis, MN",110000.0
"Watertown, MA",131000.0
Wyoming,83500.0
"Philadelphia, NY",150500.0
"Santa Clara, CA",244000.0
"Frederick, MD",140000.0
"Rockville, MD",75000.0
"Portland, ME",141500.0
"Boston, MA",130500.0
"Dahlgren, VA",
"Fort Worth, TX",47000.0
"New York, NY",94000.0
"Norfolk, VA",75500.0
"Schoolcraft, MI",90000.0
"Holliston, MA",68000.0
"Battle Creek, MI",64000.0
"Orrville, OH",42500.0
"Huntsville, AL",86500.0
"Deer Park, TX",80500.0
"Canton, OH",25200.0
"Chicago, IL",42500.0
Remote,70000.0
"Somerset, NJ",42500.0
"Atlanta, GA",74000.0
"Aberdeen Proving Ground, MD",78500.0
"Denver, CO",41400.0
"Chicago, IL",102000.0
"Rolling Meadows, IL",67000.0
"Sidney, OH",57000.0
"Miami, FL",50500.0
"Aberdeen Proving Ground, MD",108000.0
"Tempe, AZ",62500.0
"Rolling Meadows, IL",
Remote,
"Cambridge, MD",86000.0
"Rolling Meadows, IL",68500.0
"Tempe, AZ",57500.0
"Rolling Meadows, IL",102500.0
Manhattan,72000.0
"Monroe, WI",85000.0
"Portland, OR",18900.0
"Denver, CO",94000.0
"Austin, TX",145000.0
"Camden, NJ",90500.0
"Pittsburgh, PA",82500.0
"Rome, GA",112500.0
"Malvern, PA",122500.0
"Boise, ID",122000.0
"Chandler, AZ",99500.0
"San Mateo, CA",104000.0
"New York, NY",185400.0
"Fort Worth, TX",82500.0
"Southfield, MI",75500.0
"Coconut Creek, FL",94500.0
"Somerville, MA",175000.0
"Santa Clara, CA",35000.0
"Rocky Hill, CT",91000.0
"Rome, GA",112500.0
"Omaha, NE",50000.0
"Nashua, NH",
"La Grange, IL",103000.0
"Skokie, IL",45000.0
"Aurora, CO",62500.0
"San Diego, CA",101000.0
"Santa Clara, CA",244000.0
"Englewood, CO",40000.0
"Austin, TX",102000.0
"Beachwood, OH",87500.0
