analyst,analytics,business,center,data,engineer,lead,manager,principal,project,science,scientist,senior,software,sr,sr.,systems,Salary,Date
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,101000.0,2023-01-23
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,65500.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,170000.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,107000.0,2023-01-23
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,80000.0,2023-01-23
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,62500.0,2023-01-23
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,78000.0,2023-01-23
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,150000.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,238500.0,2023-01-23
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,118500.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,175000.0,2023-01-23
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98000.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,110000.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,130000.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,69000.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,125500.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,97500.0,2023-01-23
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,112500.0,2023-01-23
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,66000.0,2023-01-23
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,129500.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,136500.0,2023-01-23
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75000.0,2023-01-23
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106500.0,2023-01-23
