Municipality,Sex,Workforce,Worked Hours Week,Worked Days Week,Monthly Wage,Workforce MOE
Aguascalientes,Mujer,24863.0,38.0,5.0,3579.0,1435.0
Aguascalientes,Hombre,36973.0,44.0,5.0,4502.0,1730.0
Asientos,Mujer,1063.0,36.0,5.0,3291.0,248.0
Asientos,Hombre,1839.0,46.0,5.0,3719.0,327.0
Calvillo,Mujer,1676.0,35.0,4.0,3238.0,315.0
Calvillo,Hombre,2001.0,43.0,5.0,3652.0,352.0
Cosío,Mujer,1002.0,39.0,5.0,2861.0,226.0
Cosío,Hombre,1178.0,46.0,5.0,3617.0,240.0
Jesús María,Mujer,3235.0,37.0,5.0,3144.0,527.0
Jesús María,Hombre,6170.0,45.0,5.0,4063.0,702.0
Pabellón de Arteaga,Mujer,1601.0,37.0,5.0,3176.0,315.0
Pabellón de Arteaga,Hombre,2424.0,45.0,5.0,3772.0,392.0
Rincón de Romos,Mujer,2100.0,36.0,5.0,2834.0,335.0
Rincón de Romos,Hombre,3129.0,43.0,5.0,3954.0,415.0
San José de Gracia,Mujer,430.0,34.0,4.0,3452.0,165.0
San José de Gracia,Hombre,568.0,39.0,5.0,3583.0,186.0
Tepezalá,Mujer,924.0,35.0,5.0,2399.0,232.0
Tepezalá,Hombre,1554.0,46.0,5.0,3546.0,303.0
El Llano,Mujer,699.0,39.0,5.0,2832.0,208.0
El Llano,Hombre,1361.0,45.0,5.0,3928.0,291.0
San Francisco de los Romo,Mujer,1257.0,38.0,5.0,3721.0,260.0
San Francisco de los Romo,Hombre,2204.0,45.0,5.0,4217.0,348.0
Ensenada,Mujer,14591.0,38.0,4.0,5593.0,2050.0
Ensenada,Hombre,20005.0,43.0,5.0,6435.0,2569.0
Mexicali,Mujer,30516.0,38.0,4.0,5274.0,2408.0
Mexicali,Hombre,42509.0,41.0,5.0,6256.0,2911.0
Tecate,Mujer,4976.0,38.0,4.0,5578.0,1073.0
Tecate,Hombre,7311.0,43.0,5.0,5827.0,1292.0
Tijuana,Mujer,53299.0,39.0,4.0,4723.0,3048.0
Tijuana,Hombre,74654.0,43.0,5.0,5881.0,3674.0
Playas de Rosarito,Mujer,4146.0,39.0,4.0,5010.0,1107.0
Playas de Rosarito,Hombre,5623.0,42.0,5.0,5971.0,1257.0
Comondú,Mujer,3662.0,33.0,4.0,5280.0,689.0
Comondú,Hombre,5870.0,38.0,4.0,7495.0,867.0
Mulegé,Mujer,1799.0,33.0,4.0,6177.0,467.0
Mulegé,Hombre,3166.0,40.0,5.0,7535.0,618.0
La Paz,Mujer,8887.0,37.0,4.0,5536.0,1806.0
La Paz,Hombre,15423.0,42.0,5.0,6391.0,2631.0
Los Cabos,Mujer,5937.0,37.0,5.0,8003.0,956.0
Los Cabos,Hombre,10045.0,42.0,5.0,9212.0,1226.0
Loreto,Mujer,1479.0,34.0,4.0,4648.0,450.0
Loreto,Hombre,1976.0,39.0,5.0,5897.0,532.0
Calkiní,Mujer,3746.0,31.0,5.0,3761.0,522.0
Calkiní,Hombre,3507.0,40.0,5.0,4977.0,545.0
Campeche,Mujer,8380.0,37.0,5.0,5397.0,520.0
Campeche,Hombre,11768.0,43.0,5.0,6079.0,662.0
Carmen,Mujer,5058.0,37.0,5.0,6222.0,657.0
Carmen,Hombre,8631.0,46.0,5.0,7911.0,878.0
Champotón,Mujer,2677.0,33.0,4.0,4042.0,489.0
Champotón,Hombre,3964.0,42.0,5.0,5721.0,568.0
